ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
233,1.6,1.5,0.3,47.9,10.7,3.9,0.341,0.578,16.99,0.3,0.1,0.1,0.1
237,1.1,1.5,1.0,45.8,9.7,3.4,0.328,0.562,17.66,0.2,0.1,0.1,0.1
258,0.8,1.6,1.2,44.4,8.9,3.0,0.34,0.585,16.97,0.2,0.1,0.1,0.1
280,0.7,1.4,1.5,44.9,8.5,2.6,0.309,0.61,16.61,0.3,0.1,0.1,0.1
299,0.7,1.3,2.5,45.9,9.2,2.9,0.323,0.63,16.65,0.3,0.1,0.1,0.1
311,0.8,1.3,1.8,46.6,9.2,2.8,0.317,0.63,16.39,0.4,0.1,0.1,0.1
333,0.9,1.5,1.0,49.0,10.1,3.1,0.315,0.564,16.53,0.4,0.1,0.1,0.1
360,0.8,1.6,1.4,49.4,10.8,3.2,0.311,0.624,16.52,0.3,0.1,0.1,0.0
365,0.8,1.6,0.7,49.6,11.4,3.6,0.329,0.61,16.01,0.3,0.1,0.1,0.0
383,0.8,1.5,2.4,50.2,12.0,3.8,0.332,0.627,16.1,0.3,0.1,0.1,0.0
420,1.1,1.4,1.4,49.0,12.3,4.1,0.348,0.66,15.6,0.4,0.1,0.1,0.0
434,1.4,1.3,1.9,49.2,13.0,4.5,0.362,0.71,15.68,0.5,0.1,0.1,0.0
458,1.5,1.0,0.9,51.0,13.7,4.6,0.325,0.753,16.62,0.5,0.2,0.2,0.0
465,1.4,1.1,1.5,50.2,14.5,4.7,0.324,0.728,16.71,0.4,0.2,0.2,0.0
487,1.5,1.4,0.6,48.6,14.6,4.7,0.322,0.706,16.62,0.4,0.2,0.2,0.0
517,1.4,1.3,0.7,48.3,14.3,4.2,0.292,0.622,16.94,0.3,0.2,0.2,0.0
529,1.3,1.5,0.9,46.3,13.4,3.8,0.282,0.632,17.17,0.3,0.1,0.1,0.0
568,1.4,1.4,1.6,45.3,12.9,4.0,0.309,0.639,16.92,0.3,0.1,0.1,0.0
586,1.6,1.6,1.6,44.1,12.9,4.0,0.309,0.612,17.12,0.3,0.1,0.2,0.0
606,1.5,1.7,2.7,45.0,13.0,3.6,0.28,0.579,16.94,0.5,0.1,0.2,0.0
635,1.5,1.6,0.5,44.4,13.7,4.0,0.285,0.512,17.51,0.4,0.1,0.2,0.0
658,1.2,1.6,0.4,42.5,12.9,3.6,0.276,0.516,17.47,0.4,0.1,0.2,0.0
664,1.0,1.7,0.7,41.7,12.6,3.5,0.274,0.483,17.64,0.5,0.0,0.1,0.0
681,1.1,1.6,0.4,41.7,12.0,3.6,0.294,0.508,17.89,0.6,0.0,0.1,0.0
697,1.0,1.1,1.8,40.1,11.2,3.5,0.31,0.57,18.15,0.6,0.0,0.1,0.0
720,1.1,1.2,0.8,39.3,11.3,3.6,0.317,0.637,17.79,0.6,0.0,0.1,0.0
745,1.1,0.8,2.1,38.3,11.4,3.8,0.336,0.694,17.49,0.6,0.0,0.1,0.0
748,1.1,1.0,0.8,37.4,11.2,3.7,0.335,0.678,17.52,0.6,0.1,0.2,0.0
767,1.2,0.9,0.7,36.7,10.8,3.7,0.348,0.698,17.58,0.7,0.1,0.1,0.0
782,1.2,0.9,1.5,35.5,10.1,4.0,0.385,0.711,17.52,0.5,0.1,0.1,0.1
811,1.0,1.0,1.7,36.2,9.9,3.8,0.38,0.791,17.78,0.6,0.1,0.1,0.1
827,1.0,0.9,0.4,36.8,10.7,3.9,0.368,0.803,17.42,0.5,0.1,0.1,0.1
846,1.1,0.8,0.6,38.2,10.7,3.9,0.368,0.837,17.51,0.4,0.1,0.1,0.1
869,1.1,1.0,1.4,38.3,10.9,3.8,0.353,0.787,17.53,0.3,0.1,0.1,0.1
891,1.3,1.0,1.2,39.6,11.1,4.1,0.376,0.787,17.38,0.3,0.1,0.1,0.1
909,1.2,1.1,1.7,40.8,11.0,4.0,0.37,0.795,17.2,0.3,0.1,0.1,0.1
928,1.2,1.3,1.3,44.3,11.3,4.1,0.367,0.745,17.34,0.4,0.1,0.1,0.1
941,1.1,1.4,1.4,46.4,11.3,4.0,0.356,0.745,17.5,0.4,0.1,0.1,0.1
961,0.9,1.4,1.7,47.3,11.3,3.8,0.339,0.745,17.25,0.3,0.1,0.1,0.1
983,1.0,1.3,1.4,46.5,11.7,3.9,0.335,0.765,17.54,0.3,0.1,0.1,0.0
993,1.0,1.2,1.6,46.7,11.3,3.5,0.32,0.685,17.03,0.2,0.1,0.1,0.0
1016,1.0,1.4,1.0,47.5,11.4,3.6,0.325,0.635,16.74,0.4,0.1,0.1,0.1
1040,1.0,1.4,0.9,45.5,12.0,4.0,0.343,0.635,16.3,0.5,0.1,0.1,0.1
1059,1.0,1.3,1.4,45.4,12.4,4.4,0.364,0.585,16.49,0.5,0.1,0.1,0.2
1082,0.8,1.6,0.9,45.4,13.0,4.5,0.344,0.542,16.52,0.5,0.1,0.1,0.2
1114,0.9,1.8,1.6,44.5,13.1,4.8,0.366,0.51,17.46,0.6,0.1,0.1,0.2
1139,0.8,1.9,1.0,42.4,12.6,4.5,0.353,0.485,16.3,0.4,0.1,0.1,0.2
1146,0.8,1.5,2.7,41.3,13.0,4.8,0.366,0.535,16.12,0.4,0.0,0.0,0.2
1162,0.7,1.4,1.3,40.3,13.7,5.3,0.38,0.525,16.1,0.4,0.0,0.0,0.2
1188,0.6,1.5,0.3,42.0,14.0,5.6,0.393,0.475,15.84,0.4,0.0,0.0,0.2
1201,0.5,1.6,2.9,39.5,13.3,5.3,0.379,0.55,16.43,0.4,0.0,0.0,0.2
1213,0.6,1.6,2.4,41.5,14.1,5.3,0.37,0.5,16.61,0.2,0.0,0.0,0.1
1246,0.8,1.6,0.7,43.0,15.3,5.5,0.356,0.5,16.49,0.1,0.0,0.0,0.1
1269,0.8,1.6,2.4,41.2,14.8,5.3,0.356,0.55,16.0,0.2,0.0,0.0,0.0
1289,0.7,1.6,3.3,41.7,15.7,5.2,0.334,0.493,15.98,0.2,0.0,0.0,0.1
1297,0.9,1.2,1.2,41.5,16.5,5.3,0.324,0.55,15.08,0.1,0.0,0.0,0.1
1326,1.1,0.9,1.0,40.7,16.7,5.6,0.351,0.625,15.96,0.1,0.0,0.0,0.1
1342,1.1,1.2,1.1,39.7,16.1,5.2,0.334,0.588,15.49,0.1,0.0,0.0,0.2
1359,1.1,1.1,2.6,38.7,15.2,4.5,0.306,0.638,15.63,0.2,0.0,0.0,0.2
1388,1.3,1.2,1.7,38.3,15.1,4.2,0.288,0.654,15.68,0.2,0.0,0.0,0.2
1399,1.4,1.2,2.7,41.8,16.2,4.5,0.297,0.646,15.16,0.3,0.0,0.0,0.2
1446,1.4,1.3,0.9,40.6,16.0,5.0,0.322,0.686,15.9,0.3,0.0,0.1,0.2
1467,1.2,1.3,0.3,39.6,14.7,4.5,0.315,0.686,16.32,0.4,0.0,0.1,0.2
1473,1.3,1.2,1.2,41.6,14.4,4.5,0.332,0.736,16.75,0.3,0.0,0.1,0.2
1482,1.5,0.9,0.8,39.0,13.6,4.5,0.345,0.836,16.55,0.3,0.0,0.1,0.1
1503,1.3,0.9,2.3,40.0,13.3,4.0,0.322,0.836,17.13,0.4,0.0,0.1,0.1
1526,1.2,0.9,0.5,42.9,13.9,4.1,0.306,0.836,17.2,0.4,0.0,0.1,0.1
1546,1.1,0.9,1.8,44.1,14.1,4.0,0.289,0.813,17.79,0.4,0.0,0.1,0.0
1572,1.3,1.2,0.9,45.6,14.9,4.6,0.313,0.77,17.64,0.3,0.0,0.1,0.0
1587,1.3,1.1,0.7,45.4,14.3,4.4,0.31,0.779,17.74,0.3,0.0,0.1,0.0
1606,1.2,1.0,0.8,42.6,13.2,4.2,0.314,0.812,18.53,0.3,0.0,0.1,0.1
1632,1.2,0.8,1.2,41.1,12.1,3.8,0.321,0.839,17.78,0.3,0.0,0.0,0.1
1655,1.1,0.8,1.0,43.2,13.6,4.0,0.314,0.839,17.77,0.2,0.0,0.0,0.1
1686,1.3,0.8,1.0,43.5,14.2,4.0,0.288,0.839,17.77,0.3,0.0,0.0,0.1
1704,1.1,0.8,0.9,43.5,13.1,3.8,0.33,0.839,18.26,0.4,0.0,0.0,0.1
1726,1.0,1.0,1.1,45.1,12.6,3.9,0.34,0.81,17.98,0.4,0.0,0.0,0.1
1736,0.9,1.1,1.8,44.3,12.1,3.5,0.32,0.777,17.91,0.4,0.0,0.0,0.1
1752,1.2,1.0,2.5,43.9,12.4,4.0,0.359,0.797,17.49,0.4,0.0,0.0,0.1
1760,1.4,0.7,1.0,44.0,11.9,3.9,0.369,0.84,17.27,0.4,0.0,0.0,0.1
1773,1.4,0.8,1.6,43.6,12.1,4.0,0.374,0.815,17.57,0.4,0.0,0.0,0.1
1802,1.6,1.0,1.0,44.1,12.2,4.6,0.437,0.748,16.39,0.3,0.0,0.0,0.0
1820,1.6,1.0,1.1,45.5,12.5,4.6,0.426,0.761,16.19,0.3,0.0,0.0,0.0
1843,1.7,1.1,0.9,42.7,10.2,4.2,0.432,0.736,16.37,0.3,0.1,0.1,0.0
1864,1.3,1.3,0.6,41.6,9.7,4.0,0.427,0.703,15.87,0.2,0.1,0.1,0.0
1883,1.5,1.5,2.7,44.9,10.0,3.9,0.384,0.663,15.34,0.1,0.1,0.1,0.0
