ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
10,2021,2,Leeds United,Fulham,1,0,0,4,3,1.4,1.7,51,49,Liam Cooper,4-1-4-1,9,6,16.9,1,1,1,Aleksandar Mitrović,4-2-3-1,13,5,21.5,1,1,1,Anthony Taylor,2020-09-19,Sat,15:00
35,2021,4,Wolverhampton Wanderers,Fulham,1,0,0,1,0,1.2,0.9,48,52,Conor Coady,3-5-2,14,5,19.5,1,0,0,Tom Cairney,4-2-3-1,10,2,18.3,1,0,0,Darren England,2020-10-04,Sun,14:00
43,2021,5,Sheffield United,Fulham,0,0,1,1,1,1.7,1.5,42,58,John Egan,3-5-2,9,5,20.1,0,1,1,Tom Cairney,3-4-3,14,6,18.8,1,0,1,Andre Marriner,2020-10-18,Sun,12:00
74,2021,8,West Ham United,Fulham,1,0,0,1,0,1.3,1.7,53,47,Declan Rice,3-4-3,16,7,15.8,1,0,0,Tom Cairney,4-2-3-1,12,2,21.1,2,0,1,Robert Jones,2020-11-07,Sat,20:00
97,2021,10,Leicester City,Fulham,0,1,0,1,2,1.2,2.2,68,32,Kasper Schmeichel,3-4-3,16,3,18.1,1,0,0,Joachim Andersen,5-4-1,9,4,21.5,1,1,1,Simon Hooper,2020-11-30,Mon,17:30
100,2021,11,Manchester City,Fulham,1,0,0,2,0,2.9,0.3,69,31,Kevin De Bruyne,4-2-3-1,14,4,15.9,0,1,1,Joachim Andersen,3-4-1-2,6,1,18.8,0,0,0,Jonathan Moss,2020-12-05,Sat,15:00
131,2021,14,Newcastle United,Fulham,0,0,1,1,1,1.4,1.0,49,51,Jonjo Shelvey,4-4-2,11,4,22.3,2,1,1,Tom Cairney,3-4-3,11,4,18.3,1,0,0,Graham Scott,2020-12-19,Sat,20:00
169,2021,16,Tottenham Hotspur,Fulham,0,0,1,1,1,2.4,1.1,53,47,Hugo Lloris,4-2-3-1,15,6,15.7,1,0,0,Joachim Andersen,3-5-2,15,4,17.3,1,0,0,Paul Tierney,2021-01-13,Wed,20:15
192,2021,20,Brighton And Hove Albion,Fulham,0,0,1,0,0,1.8,0.5,50,50,Lewis Dunk,3-5-2,16,5,16.0,1,0,0,Joachim Andersen,3-4-3,10,2,16.8,0,0,0,Craig Pawson,2021-01-27,Wed,19:30
197,2021,21,West Bromwich Albion,Fulham,0,0,1,2,2,1.0,1.3,38,62,Jake Livermore,3-5-2,5,3,15.3,0,0,0,Joachim Andersen,3-4-3,12,7,17.6,0,0,0,Anthony Taylor,2021-01-30,Sat,15:00
