ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
1,2021,1,Fulham,Arsenal,0,1,0,0,3,0.1,1.9,46,54,Tom Cairney,4-2-3-1,5,2,25.1,0,0,0,Pierre-Emerick Aubameyang,3-4-3,13,5,14.1,2,0,0,Chris Kavanagh,2020-09-12,Sat,12:30
27,2021,3,Fulham,Aston Villa,0,1,0,0,3,0.7,1.4,64,36,Tom Cairney,3-4-3,16,2,16.6,0,0,0,Jack Grealish,4-3-3,12,5,14.5,0,0,0,Stuart Attwell,2020-09-28,Mon,17:45
51,2021,6,Fulham,Crystal Palace,0,1,0,1,2,1.1,2.5,64,36,Tom Cairney,4-3-2-1,16,3,18.5,0,0,0,Luka Milivojević,4-4-2,14,10,11.9,1,0,0,Graham Scott,2020-10-24,Sat,15:00
67,2021,7,Fulham,West Bromwich Albion,1,0,0,2,0,1.5,0.5,47,53,Tom Cairney,4-2-3-1,13,4,18.8,0,0,0,Jake Livermore,4-1-4-1,10,1,21.4,1,0,0,Simon Hooper,2020-11-02,Mon,17:30
83,2021,9,Fulham,Everton,0,1,0,2,3,1.9,2.0,54,46,Tom Cairney,4-2-3-1,13,6,20.1,0,0,1,Lucas Digne,3-4-3,9,7,15.1,0,0,0,Andy Madley,2020-11-22,Sun,12:00
115,2021,12,Fulham,Liverpool,0,0,1,1,1,1.5,1.8,26,74,Joachim Andersen,3-4-3,10,5,16.9,0,0,0,Jordan Henderson,4-3-3,11,5,21.7,1,1,1,Andre Marriner,2020-12-13,Sun,16:30
125,2021,13,Fulham,Brighton And Hove Albion,0,0,1,0,0,1.0,0.5,46,54,Joachim Andersen,3-4-3,9,4,14.7,0,0,0,Lewis Dunk,3-4-3,9,4,23.5,1,0,0,Robert Jones,2020-12-16,Wed,20:00
140,2021,15,Fulham,Southampton,0,0,1,0,0,0.7,0.2,47,53,Joachim Andersen,3-5-2,10,1,17.6,0,0,0,James Ward-Prowse,4-4-2,3,2,22.4,1,0,0,Darren England,2020-12-26,Sat,15:00
174,2021,19,Fulham,Chelsea,0,1,0,0,1,0.7,1.6,31,69,Joachim Andersen,5-4-1,10,2,20.1,1,0,0,César Azpilicueta,4-3-3,21,6,18.6,0,0,0,Peter Bankes,2021-01-16,Sat,17:30
183,2021,18,Fulham,Manchester United,0,1,0,1,2,0.9,1.7,38,62,Joachim Andersen,3-4-3,12,5,18.4,0,0,0,Harry Maguire,4-2-3-1,15,5,15.5,1,0,0,Martin Atkinson,2021-01-20,Wed,20:15
211,2021,22,Fulham,Leicester City,0,1,0,0,2,0.6,1.4,57,43,Joachim Andersen,3-4-3,8,1,18.4,0,0,0,Kasper Schmeichel,4-2-3-1,9,5,15.6,0,0,0,Robert Jones,2021-02-03,Wed,18:00
219,2021,23,Fulham,West Ham United,0,0,1,0,0,1.5,1.0,60,40,Joachim Andersen,4-2-3-1,20,2,16.5,2,0,0,Declan Rice,4-2-3-1,8,1,13.3,1,0,0,Mike Dean,2021-02-06,Sat,17:30
242,2021,25,Fulham,Sheffield United,1,0,0,1,0,1.2,0.9,64,36,Joachim Andersen,4-2-3-1,15,5,21.0,0,0,0,Billy Sharp,3-5-2,4,2,9.8,0,0,0,Martin Atkinson,2021-02-20,Sat,20:00
264,2021,33,Fulham,Tottenham Hotspur,0,1,0,0,1,0.7,1.6,60,40,Joachim Andersen,4-4-2,11,3,17.1,0,0,0,Hugo Lloris,4-2-3-1,9,2,18.9,2,0,0,David Coote,2021-03-04,Thu,18:00
281,2021,28,Fulham,Manchester City,0,1,0,0,3,0.3,2.2,46,54,Joachim Andersen,4-3-3,3,0,11.2,0,0,0,Sergio Agüero,3-4-3,7,6,15.3,0,1,1,Andre Marriner,2021-03-13,Sat,20:00
287,2021,29,Fulham,Leeds United,0,1,0,1,2,1.6,1.3,51,49,Joachim Andersen,4-2-3-1,13,6,13.0,0,0,0,Luke Ayling,4-1-4-1,13,4,17.5,1,0,0,David Coote,2021-03-19,Fri,20:00
301,2021,31,Fulham,Wolverhampton Wanderers,0,1,0,0,1,0.9,0.5,50,50,Joachim Andersen,3-4-3,14,3,17.3,0,0,0,Conor Coady,4-2-3-1,7,3,14.9,1,0,0,Jonathan Moss,2021-04-09,Fri,20:00
347,2021,35,Fulham,Burnley,0,1,0,0,2,1.0,1.5,68,32,Joachim Andersen,4-2-3-1,21,3,18.2,0,0,0,Ben Mee,4-4-2,14,5,14.6,0,0,0,David Coote,2021-05-10,Mon,20:00
372,2021,38,Fulham,Newcastle United,0,1,0,0,2,1.0,1.3,64,36,Tim Ream,3-4-3,14,0,19.6,0,0,0,Jonjo Shelvey,5-3-2,9,3,21.4,0,1,1,Chris Kavanagh,2021-05-23,Sun,16:00
762,2023,1,Fulham,Liverpool,0,0,1,2,2,1.2,1.2,33,67,Tim Ream,4-2-3-1,8,2,18.4,0,1,1,Jordan Henderson,4-3-3,11,3,12.4,0,0,0,Andy Madley,2022-08-06,Sat,12:30
785,2023,3,Fulham,Brentford,1,0,0,3,2,2.4,1.8,43,57,Tim Ream,4-2-3-1,18,9,15.5,1,0,0,Pontus Jansson,4-3-3,13,5,14.1,0,0,0,Peter Bankes,2022-08-20,Sat,15:00
802,2023,5,Fulham,Brighton And Hove Albion,1,0,0,2,1,0.7,1.4,39,61,Tim Ream,4-2-3-1,10,3,15.3,1,0,0,Lewis Dunk,3-5-2,6,2,15.3,0,1,1,Thomas Bramall,2022-08-30,Tue,19:30
832,2023,9,Fulham,Newcastle United,0,1,0,1,4,0.5,3.3,33,67,Tim Ream,4-2-3-1,3,1,16.2,0,0,0,Kieran Trippier,4-3-3,19,10,12.9,0,0,0,Darren England,2022-10-01,Sat,15:00
850,2023,11,Fulham,Bournemouth,0,0,1,2,2,2.1,1.0,69,31,Tim Ream,4-2-3-1,18,3,18.9,0,1,1,Adam Smith,4-2-3-1,10,6,13.0,0,0,0,Graham Scott,2022-10-15,Sat,15:00
865,2023,12,Fulham,Aston Villa,1,0,0,3,0,2.1,1.2,60,40,Tim Ream,4-2-3-1,17,6,16.7,1,1,1,John McGinn,4-3-2-1,12,6,15.0,0,0,0,Michael Oliver,2022-10-20,Thu,19:30
883,2023,14,Fulham,Everton,0,0,1,0,0,1.9,0.9,56,44,Tim Ream,4-2-3-1,24,6,16.4,0,0,0,Séamus Coleman,4-2-3-1,9,4,12.2,0,0,0,John Brooks,2022-10-29,Sat,17:30
906,2023,16,Fulham,Manchester United,0,1,0,1,2,1.4,2.5,53,47,Tom Cairney,4-2-3-1,14,7,14.0,0,0,0,Bruno Fernandes,4-2-3-1,14,9,17.7,0,0,0,Paul Tierney,2022-11-13,Sun,16:30
922,2023,18,Fulham,Southampton,1,0,0,2,1,1.5,0.8,62,38,Tim Ream,4-2-3-1,7,1,18.8,0,0,1,James Ward-Prowse,3-4-3,9,3,24.5,1,0,0,Graham Scott,2022-12-31,Sat,15:00
937,2023,7,Fulham,Chelsea,1,0,0,2,1,1.0,2.1,48,52,Tim Ream,4-2-3-1,8,3,15.3,0,0,0,César Azpilicueta,3-5-2,20,10,16.6,1,0,0,David Coote,2023-01-12,Thu,20:00
959,2023,21,Fulham,Tottenham Hotspur,0,1,0,0,1,1.0,0.9,54,46,Tim Ream,4-2-3-1,10,5,17.3,1,0,0,Hugo Lloris,3-4-3,10,3,17.0,1,0,0,Paul Tierney,2023-01-23,Mon,20:00
972,2023,23,Fulham,Nottingham Forest,1,0,0,2,0,1.5,0.7,50,50,Tim Ream,4-2-3-1,16,3,15.0,1,0,0,Remo Freuler,4-2-3-1,10,1,15.0,0,0,0,Andy Madley,2023-02-11,Sat,15:00
992,2023,25,Fulham,Wolverhampton Wanderers,0,0,1,1,1,0.5,0.8,51,49,Tim Ream,4-2-3-1,10,5,24.2,1,0,0,Rúben Neves,4-4-2,8,2,18.1,0,0,0,Michael Oliver,2023-02-24,Fri,20:00
1020,2023,27,Fulham,Arsenal,0,1,0,0,3,0.8,2.3,45,55,Tim Ream,4-2-3-1,12,2,17.4,0,0,0,Martin Ødegaard,4-3-3,15,7,15.2,1,0,0,David Coote,2023-03-12,Sun,14:00
1051,2023,30,Fulham,West Ham United,0,1,0,0,1,0.7,1.1,76,24,Tim Ream,4-2-3-1,16,3,20.5,0,0,0,Declan Rice,4-4-2,9,5,14.1,0,0,0,Jarred Gillett,2023-04-08,Sat,15:00
1068,2023,32,Fulham,Leeds United,1,0,0,2,1,1.7,0.8,50,50,Tim Ream,4-2-3-1,12,5,24.4,3,0,0,Liam Cooper,4-2-3-1,10,2,16.6,1,0,0,Peter Bankes,2023-04-22,Sat,12:30
