ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
211,0.7,1.5,0.6,46.3,11.4,3.4,0.314,0.74,18.68,0.1,0.0,0.1,0.1
219,0.636,1.545,1.5,47.273,11.091,3.182,0.297,0.728,18.655,0.091,0.0,0.091,0.091
242,0.583,1.417,1.2,48.333,11.833,3.083,0.281,0.75,18.475,0.25,0.0,0.083,0.083
264,0.615,1.308,0.7,49.538,12.077,3.231,0.285,0.77,18.669,0.231,0.0,0.077,0.077
281,0.571,1.286,0.3,50.286,12.0,3.214,0.284,0.75,18.557,0.214,0.0,0.071,0.071
287,0.533,1.4,1.6,50.0,11.4,3.0,0.265,0.734,18.067,0.2,0.0,0.067,0.133
301,0.562,1.438,0.9,50.062,11.5,3.188,0.277,0.719,17.75,0.188,0.0,0.062,0.125
347,0.529,1.412,1.0,50.059,11.647,3.176,0.274,0.716,17.724,0.176,0.0,0.059,0.118
372,0.5,1.444,1.0,51.056,12.167,3.167,0.266,0.71,17.75,0.167,0.0,0.056,0.111
762,0.474,1.474,1.2,51.737,12.263,3.0,0.252,0.69,17.847,0.158,0.0,0.053,0.158
785,0.55,1.5,2.4,50.8,12.05,2.95,0.252,0.672,17.875,0.15,0.05,0.1,0.15
802,0.667,1.524,0.7,50.429,12.333,3.238,0.264,0.668,17.762,0.19,0.048,0.095,0.143
832,0.727,1.5,0.5,49.909,12.227,3.227,0.266,0.661,17.65,0.227,0.045,0.091,0.182
850,0.739,1.609,2.1,49.174,11.826,3.13,0.269,0.658,17.587,0.217,0.043,0.087,0.174
865,0.792,1.625,2.1,50.0,12.083,3.125,0.264,0.659,17.642,0.208,0.083,0.125,0.167
883,0.88,1.56,1.9,50.4,12.28,3.24,0.268,0.672,17.604,0.24,0.12,0.16,0.16
906,0.846,1.5,1.4,50.615,12.731,3.346,0.267,0.685,17.558,0.231,0.115,0.154,0.154
922,0.852,1.519,1.5,50.704,12.778,3.481,0.276,0.688,17.426,0.222,0.111,0.148,0.148
937,0.893,1.5,1.0,51.107,12.571,3.393,0.271,0.687,17.475,0.214,0.107,0.179,0.143
959,0.931,1.483,1.0,51.0,12.414,3.379,0.275,0.695,17.4,0.207,0.103,0.172,0.138
972,0.9,1.467,1.5,51.1,12.333,3.433,0.282,0.694,17.397,0.233,0.1,0.167,0.133
