ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
35,3.0,4.0,0.9,49.0,13.0,5.0,0.385,0.333,21.5,1.0,1.0,1.0,1.0
43,1.5,2.5,1.5,50.5,11.5,3.5,0.292,0.567,19.9,1.0,0.5,0.5,0.5
74,1.333,2.0,1.7,53.0,12.333,4.333,0.338,0.644,19.533,1.0,0.333,0.667,0.667
97,1.0,1.75,2.2,51.5,12.25,3.75,0.295,0.698,19.925,1.25,0.25,0.75,0.5
100,1.2,1.6,0.3,47.6,11.6,3.8,0.325,0.691,20.24,1.2,0.4,0.8,0.4
131,1.0,1.667,1.0,44.833,10.667,3.333,0.298,0.66,20.0,1.0,0.333,0.667,0.5
169,1.0,1.571,1.1,45.714,10.714,3.429,0.308,0.672,19.757,1.0,0.286,0.571,0.571
192,1.0,1.5,0.5,45.875,11.25,3.5,0.303,0.693,19.45,1.0,0.25,0.5,0.5
197,0.889,1.333,1.3,46.333,11.111,3.333,0.291,0.727,19.156,0.889,0.222,0.444,0.444
233,1.0,1.4,2.5,47.9,11.2,3.7,0.32,0.687,19.0,0.8,0.2,0.4,0.4
236,1.091,1.273,0.5,48.091,11.273,3.636,0.314,0.716,18.727,0.727,0.182,0.364,0.364
253,1.083,1.25,1.4,48.5,11.0,3.583,0.319,0.712,18.6,0.667,0.167,0.333,0.333
271,1.0,1.154,1.3,49.385,11.385,3.615,0.314,0.657,18.6,0.692,0.154,0.308,0.308
297,1.0,1.071,1.0,48.5,11.286,3.571,0.313,0.681,18.179,0.643,0.143,0.286,0.286
314,1.0,1.2,0.9,48.4,11.533,3.8,0.323,0.653,18.467,0.6,0.133,0.267,0.267
332,1.0,1.188,0.3,47.312,10.938,3.562,0.303,0.662,19.175,0.562,0.188,0.312,0.25
355,0.941,1.235,0.8,47.529,10.882,3.529,0.303,0.658,19.259,0.529,0.176,0.294,0.235
361,0.944,1.333,0.9,47.833,10.833,3.5,0.303,0.649,19.122,0.5,0.167,0.278,0.222
797,0.0,0.0,0.8,41.0,8.0,2.0,0.25,1.0,15.7,0.0,0.0,1.0,0.0
817,0.5,1.0,0.7,35.0,9.5,2.5,0.261,0.875,14.7,0.0,0.0,0.5,0.0
821,0.667,1.333,0.9,39.333,9.333,2.667,0.285,0.85,15.5,0.0,0.0,0.333,0.0
843,1.25,1.5,0.7,44.25,10.75,3.75,0.331,0.721,15.95,0.5,0.0,0.25,0.0
871,1.2,1.8,1.8,45.4,10.2,3.4,0.315,0.691,16.08,0.6,0.0,0.2,0.2
888,1.5,1.833,1.0,45.0,10.333,3.5,0.323,0.676,15.383,0.5,0.0,0.167,0.167
908,1.429,1.857,2.5,42.857,9.286,3.143,0.324,0.651,16.929,0.429,0.143,0.286,0.286
930,1.625,1.625,1.7,45.5,11.0,4.0,0.338,0.569,16.488,0.5,0.125,0.25,0.25
946,1.556,1.444,1.1,44.778,11.0,3.778,0.321,0.617,16.811,0.444,0.111,0.222,0.222
960,1.4,1.4,0.6,44.1,10.3,3.4,0.289,0.635,17.02,0.4,0.1,0.3,0.2
984,1.273,1.273,0.3,43.182,10.273,3.455,0.299,0.669,17.564,0.364,0.091,0.273,0.182
1011,1.25,1.167,1.4,42.5,9.833,3.333,0.307,0.696,17.433,0.333,0.083,0.25,0.167
1035,1.308,1.308,0.8,44.077,9.769,3.462,0.326,0.673,17.431,0.385,0.077,0.231,0.231
1059,1.286,1.357,1.8,45.0,9.786,3.357,0.317,0.673,17.364,0.357,0.071,0.214,0.214
1076,1.4,1.333,0.1,45.6,10.533,3.6,0.318,0.685,17.4,0.333,0.067,0.2,0.2
1096,1.312,1.312,0.9,45.812,9.938,3.375,0.298,0.684,17.231,0.312,0.062,0.188,0.188
1113,1.235,1.294,1.4,45.647,9.882,3.353,0.301,0.673,17.206,0.294,0.059,0.176,0.235
1137,1.278,1.222,1.8,46.667,9.833,3.333,0.302,0.691,17.222,0.278,0.056,0.167,0.222
1163,1.0,0.0,0.6,58.0,9.0,2.0,0.222,1.0,13.2,0.0,0.0,0.0,0.0
1173,1.5,1.0,1.4,43.5,8.5,2.5,0.299,0.889,15.5,0.0,0.0,0.0,0.5
1192,1.333,2.333,0.6,39.667,7.667,3.0,0.421,0.509,14.133,0.0,0.0,0.0,0.667
1230,1.0,1.75,1.0,42.0,8.25,3.5,0.441,0.632,15.275,0.25,0.0,0.0,0.5
1239,0.8,1.8,0.7,42.6,8.6,3.4,0.413,0.626,15.74,0.2,0.0,0.0,0.4
1259,0.833,1.667,0.9,40.333,8.833,3.667,0.427,0.66,16.333,0.167,0.0,0.0,0.333
1278,0.857,1.857,1.2,41.571,8.857,3.857,0.446,0.637,16.786,0.143,0.0,0.0,0.286
1304,1.125,2.125,0.3,41.25,8.875,4.0,0.459,0.641,16.35,0.125,0.0,0.0,0.25
1321,1.0,2.222,0.3,40.0,8.556,4.0,0.482,0.648,17.1,0.111,0.0,0.0,0.222
1340,0.9,2.3,0.8,41.7,8.5,3.9,0.472,0.583,17.55,0.2,0.0,0.0,0.3
1360,0.818,2.182,1.5,42.0,9.0,3.909,0.455,0.575,17.955,0.364,0.0,0.0,0.364
1392,0.917,2.167,1.2,43.167,9.5,4.167,0.456,0.569,17.558,0.333,0.0,0.0,0.333
1412,1.0,2.077,2.6,43.154,10.077,4.231,0.443,0.593,17.523,0.308,0.0,0.0,0.308
1429,1.0,2.071,1.3,43.786,11.0,4.357,0.43,0.574,17.279,0.286,0.0,0.0,0.286
1434,1.133,2.133,1.5,45.733,11.867,4.667,0.427,0.552,17.3,0.267,0.0,0.0,0.267
1461,1.125,2.188,3.2,47.0,12.25,4.562,0.41,0.534,16.987,0.25,0.0,0.0,0.25
1492,1.176,2.059,1.3,46.706,12.588,4.882,0.419,0.561,16.876,0.235,0.0,0.0,0.235
1518,1.111,1.944,1.1,46.667,12.722,4.778,0.407,0.585,16.906,0.222,0.0,0.0,0.222
1544,0.0,1.0,0.9,45.0,10.0,2.0,0.2,0.8,16.9,0.0,0.0,0.0,0.0
1573,0.5,1.0,1.3,48.5,9.5,3.0,0.322,0.775,15.0,0.0,0.0,0.0,0.0
1585,0.667,0.667,2.6,52.0,10.667,2.333,0.24,0.85,16.733,0.0,0.333,0.333,0.0
1606,1.0,1.25,1.2,49.5,10.75,2.75,0.271,0.78,16.05,0.0,0.25,0.25,0.0
1622,1.0,1.2,1.8,51.6,11.4,2.8,0.26,0.784,16.48,0.0,0.2,0.2,0.0
1647,1.167,1.0,1.5,53.667,12.333,3.5,0.285,0.82,16.567,0.0,0.167,0.167,0.0
1673,1.143,1.0,1.2,53.0,12.571,3.857,0.306,0.798,16.114,0.0,0.143,0.143,0.0
1694,1.25,1.125,1.8,51.25,12.5,3.75,0.299,0.761,16.213,0.125,0.125,0.125,0.0
1721,1.333,1.111,1.7,51.444,12.667,4.111,0.321,0.774,16.211,0.222,0.111,0.111,0.0
1732,1.4,1.3,2.0,51.9,13.5,4.1,0.308,0.696,16.38,0.3,0.1,0.1,0.0
1751,1.455,1.182,1.6,52.636,13.818,3.909,0.291,0.724,16.173,0.364,0.091,0.091,0.0
1783,1.5,1.167,1.7,52.5,13.917,3.917,0.289,0.726,16.175,0.333,0.083,0.083,0.0
1794,1.538,1.154,0.9,51.538,13.692,4.0,0.301,0.732,15.938,0.308,0.077,0.077,0.0
1810,1.5,1.214,1.0,51.214,13.143,3.786,0.292,0.703,15.693,0.286,0.071,0.071,0.071
1839,1.467,1.267,1.0,51.067,12.867,3.733,0.295,0.69,15.64,0.267,0.067,0.067,0.067
1857,1.375,1.25,2.4,51.562,12.812,3.938,0.313,0.688,15.775,0.25,0.062,0.062,0.062
1862,1.412,1.235,0.9,52.353,13.588,4.0,0.306,0.687,15.688,0.235,0.059,0.059,0.059
1886,1.333,1.222,1.0,52.111,13.444,3.944,0.304,0.686,15.644,0.222,0.056,0.056,0.056
