ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
27,0.0,3.0,0.7,46.0,5.0,2.0,0.4,0.4,25.1,0.0,0.0,0.0,0.0
51,0.0,3.0,1.1,55.0,10.5,2.0,0.262,0.4,20.85,0.0,0.0,0.0,0.0
67,0.333,2.667,1.5,58.0,12.333,2.333,0.238,0.533,20.067,0.0,0.0,0.0,0.0
83,0.75,2.0,1.9,55.25,12.5,2.75,0.255,0.65,19.75,0.0,0.0,0.0,0.0
115,1.0,2.2,1.5,55.0,12.6,3.4,0.296,0.634,19.82,0.0,0.0,0.2,0.0
125,1.0,2.0,1.0,50.167,12.167,3.667,0.33,0.662,19.333,0.0,0.0,0.167,0.167
140,0.857,1.714,0.7,49.571,11.714,3.714,0.347,0.71,18.671,0.0,0.0,0.143,0.143
174,0.75,1.5,0.7,49.25,11.5,3.375,0.316,0.746,18.537,0.0,0.0,0.125,0.125
183,0.667,1.444,0.9,47.222,11.333,3.222,0.303,0.756,18.711,0.111,0.0,0.111,0.111
211,0.7,1.5,0.6,46.3,11.4,3.4,0.314,0.74,18.68,0.1,0.0,0.1,0.1
219,0.636,1.545,1.5,47.273,11.091,3.182,0.297,0.728,18.655,0.091,0.0,0.091,0.091
242,0.583,1.417,1.2,48.333,11.833,3.083,0.281,0.75,18.475,0.25,0.0,0.083,0.083
264,0.615,1.308,0.7,49.538,12.077,3.231,0.285,0.77,18.669,0.231,0.0,0.077,0.077
281,0.571,1.286,0.3,50.286,12.0,3.214,0.284,0.75,18.557,0.214,0.0,0.071,0.071
287,0.533,1.4,1.6,50.0,11.4,3.0,0.265,0.734,18.067,0.2,0.0,0.067,0.133
301,0.562,1.438,0.9,50.062,11.5,3.188,0.277,0.719,17.75,0.188,0.0,0.062,0.125
347,0.529,1.412,1.0,50.059,11.647,3.176,0.274,0.716,17.724,0.176,0.0,0.059,0.118
372,0.5,1.444,1.0,51.056,12.167,3.167,0.266,0.71,17.75,0.167,0.0,0.056,0.111
785,2.0,2.0,2.4,33.0,8.0,2.0,0.25,0.333,18.4,0.0,1.0,1.0,0.0
802,2.5,2.0,0.7,38.0,13.0,5.5,0.375,0.467,16.95,0.5,0.5,0.5,0.0
832,2.333,1.667,0.5,38.333,12.0,4.667,0.35,0.478,16.4,0.667,0.333,0.333,0.333
850,2.0,2.25,2.1,37.0,9.75,3.75,0.346,0.508,16.35,0.5,0.25,0.25,0.25
865,2.0,2.2,2.1,43.4,11.4,3.6,0.31,0.54,16.86,0.4,0.4,0.4,0.2
883,2.167,1.833,1.9,46.167,12.333,4.0,0.317,0.617,16.833,0.5,0.5,0.5,0.167
906,1.857,1.571,1.4,47.571,14.0,4.286,0.308,0.671,16.771,0.429,0.429,0.429,0.143
922,1.75,1.625,1.5,48.25,14.0,4.625,0.332,0.685,16.425,0.375,0.375,0.375,0.125
937,1.778,1.556,1.0,49.778,13.222,4.222,0.311,0.683,16.689,0.333,0.333,0.444,0.111
959,1.8,1.5,1.0,49.6,12.7,4.1,0.317,0.704,16.55,0.3,0.3,0.4,0.1
972,1.636,1.455,1.5,50.0,12.455,4.182,0.334,0.701,16.618,0.364,0.273,0.364,0.091
992,1.667,1.333,0.5,50.0,12.75,4.083,0.322,0.726,16.483,0.417,0.25,0.333,0.083
1020,1.615,1.308,0.8,50.077,12.538,4.154,0.335,0.709,17.077,0.462,0.231,0.308,0.077
1051,1.5,1.429,0.7,49.714,12.5,4.0,0.323,0.699,17.1,0.429,0.214,0.286,0.071
1068,1.4,1.4,1.7,51.467,12.733,3.933,0.314,0.706,17.327,0.4,0.2,0.267,0.067
1091,1.438,1.375,0.2,51.375,12.688,4.0,0.321,0.693,17.769,0.562,0.188,0.25,0.062
1105,1.412,1.412,1.6,50.588,12.176,3.824,0.316,0.696,18.041,0.529,0.176,0.235,0.118
1123,1.611,1.5,1.7,50.944,12.444,4.0,0.322,0.689,18.011,0.556,0.167,0.222,0.222
1184,0.0,3.0,1.0,55.0,10.0,2.0,0.2,0.571,22.3,1.0,0.0,0.0,1.0
1209,0.5,1.5,1.1,66.0,11.5,2.0,0.177,0.786,20.9,1.5,0.0,0.0,0.5
1214,0.333,1.667,2.2,62.667,11.0,2.333,0.218,0.69,18.333,1.0,0.0,0.0,0.333
1241,1.0,1.5,1.0,62.0,13.25,3.25,0.238,0.643,18.8,0.75,0.0,0.0,0.25
1270,0.8,1.4,2.9,58.6,14.2,3.0,0.213,0.674,18.76,0.8,0.0,0.0,0.2
1284,1.167,1.5,2.5,58.833,13.5,3.167,0.244,0.662,19.45,0.667,0.333,0.333,0.333
1298,1.714,1.286,2.3,59.429,13.571,3.571,0.271,0.71,19.143,0.714,0.286,0.286,0.286
1314,2.125,1.125,1.3,59.875,13.625,4.125,0.308,0.746,18.963,0.625,0.25,0.25,0.25
1335,1.889,1.222,1.2,60.556,14.222,4.222,0.303,0.663,18.667,0.667,0.222,0.222,0.222
1351,1.9,1.2,1.6,58.5,14.3,4.2,0.299,0.664,18.62,0.7,0.2,0.2,0.2
1371,1.727,1.091,1.6,59.545,15.273,4.273,0.29,0.694,18.5,0.636,0.182,0.182,0.182
1382,1.833,1.083,1.5,58.667,14.583,4.417,0.338,0.699,17.908,0.583,0.167,0.167,0.167
1403,1.769,1.154,1.3,58.154,14.615,4.385,0.332,0.671,17.662,0.538,0.154,0.154,0.154
1422,1.857,1.071,2.6,56.143,14.429,4.429,0.338,0.694,17.443,0.5,0.143,0.143,0.143
1448,1.933,1.0,1.2,55.267,14.533,4.6,0.345,0.715,17.127,0.467,0.133,0.133,0.133
1470,1.812,1.0,0.8,55.938,14.5,4.562,0.341,0.72,17.156,0.438,0.125,0.125,0.125
1480,1.765,1.118,1.1,55.0,14.353,4.588,0.346,0.711,17.153,0.471,0.118,0.118,0.118
1498,1.722,1.111,0.1,54.889,14.056,4.444,0.339,0.713,17.028,0.444,0.111,0.111,0.111
1555,2.0,1.0,1.5,54.0,18.0,6.0,0.333,0.75,15.8,1.0,0.0,0.0,0.0
1564,1.5,1.0,2.2,54.0,19.5,5.5,0.286,0.708,16.1,1.5,0.0,0.0,0.0
1593,2.0,1.0,1.8,49.0,20.333,7.333,0.357,0.739,15.867,1.0,0.0,0.0,0.0
1620,1.75,1.5,1.3,49.75,17.5,6.25,0.351,0.654,14.975,0.75,0.0,0.25,0.0
1633,1.8,1.4,1.0,53.4,19.2,7.4,0.373,0.623,15.64,0.6,0.0,0.2,0.0
1659,1.667,1.833,1.1,54.333,17.667,6.667,0.361,0.553,15.9,0.5,0.0,0.167,0.0
1665,1.857,1.714,0.2,52.714,16.0,6.0,0.357,0.569,15.671,0.429,0.0,0.143,0.0
1688,1.75,1.625,0.9,50.375,14.25,5.5,0.437,0.592,15.513,0.375,0.0,0.125,0.0
1703,1.556,1.444,1.1,51.111,14.333,5.444,0.426,0.637,16.011,0.333,0.0,0.111,0.0
1717,1.6,1.5,2.2,51.2,14.0,5.5,0.438,0.648,16.02,0.3,0.0,0.1,0.0
1749,1.636,1.545,0.7,53.182,13.909,5.182,0.412,0.589,16.418,0.273,0.182,0.273,0.091
1767,1.5,1.5,2.1,53.0,13.5,4.917,0.396,0.54,16.258,0.25,0.167,0.25,0.083
1777,1.538,1.462,0.2,53.154,14.308,5.308,0.398,0.537,16.077,0.231,0.154,0.231,0.077
1807,1.429,1.5,1.0,53.786,14.0,4.929,0.369,0.542,16.521,0.214,0.143,0.214,0.071
1825,1.467,1.4,0.7,54.0,13.933,4.867,0.365,0.572,16.6,0.2,0.133,0.2,0.067
1846,1.562,1.438,0.3,52.938,13.812,4.938,0.374,0.578,16.625,0.188,0.125,0.188,0.062
1871,1.529,1.471,0.8,52.235,13.353,4.706,0.362,0.586,16.806,0.235,0.118,0.176,0.059
1891,1.5,1.556,1.3,52.889,13.611,4.778,0.36,0.585,16.883,0.222,0.111,0.167,0.056
