ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
100,1.1,1.9,0.3,51.3,12.1,3.6,0.311,0.663,20.03,0.6,0.2,0.5,0.2
115,1.1,1.8,1.5,49.8,12.2,3.5,0.287,0.673,19.4,0.6,0.2,0.5,0.3
125,0.9,1.5,1.0,47.5,11.9,3.5,0.299,0.72,18.94,0.5,0.1,0.4,0.3
131,0.9,1.2,1.0,45.7,11.2,3.7,0.331,0.78,18.75,0.5,0.1,0.4,0.3
140,1.0,1.2,0.7,45.6,11.3,3.9,0.347,0.775,18.75,0.5,0.1,0.4,0.4
169,0.9,1.1,1.1,44.5,10.9,3.4,0.314,0.795,18.63,0.4,0.1,0.3,0.3
174,0.9,1.0,0.7,42.8,10.8,3.5,0.322,0.798,18.51,0.5,0.1,0.3,0.3
183,0.7,1.1,0.9,41.2,10.5,3.3,0.311,0.781,18.64,0.6,0.1,0.3,0.3
192,0.8,1.2,0.5,40.3,10.5,3.6,0.336,0.755,18.37,0.4,0.1,0.2,0.3
197,0.6,0.9,1.3,39.9,10.2,3.2,0.31,0.798,18.04,0.4,0.1,0.1,0.3
211,0.6,1.0,0.6,42.9,10.5,3.5,0.324,0.765,17.65,0.3,0.0,0.0,0.3
219,0.6,1.0,1.5,45.5,10.7,3.5,0.32,0.775,17.61,0.3,0.0,0.0,0.2
233,0.5,0.9,2.5,48.9,11.7,3.2,0.28,0.795,17.57,0.5,0.0,0.0,0.1
236,0.7,0.9,0.5,49.3,12.0,3.1,0.261,0.795,17.7,0.5,0.0,0.0,0.1
242,0.7,0.9,1.2,49.5,11.7,3.0,0.262,0.787,17.59,0.4,0.0,0.0,0.0
253,0.8,0.9,1.4,51.2,12.2,3.4,0.285,0.787,17.93,0.4,0.0,0.0,0.0
264,0.7,0.8,0.7,52.5,12.3,3.4,0.283,0.703,18.06,0.4,0.0,0.0,0.0
271,0.7,0.8,1.3,55.4,12.4,3.5,0.291,0.67,17.76,0.3,0.0,0.0,0.0
281,0.7,0.6,0.3,55.3,12.2,3.3,0.279,0.71,17.19,0.3,0.0,0.0,0.0
287,0.7,0.9,1.6,54.9,11.5,3.1,0.259,0.66,16.63,0.3,0.0,0.0,0.1
297,0.6,0.9,1.0,53.8,11.6,3.0,0.247,0.677,16.17,0.3,0.0,0.0,0.1
301,0.7,1.0,0.9,52.8,12.3,3.6,0.281,0.642,16.58,0.3,0.0,0.0,0.1
314,0.7,1.1,0.9,51.8,11.7,3.7,0.292,0.608,16.66,0.1,0.0,0.0,0.1
332,0.6,1.2,0.3,49.9,10.7,3.4,0.267,0.588,18.04,0.1,0.1,0.1,0.1
347,0.5,1.3,1.0,49.7,10.9,3.4,0.26,0.582,18.38,0.1,0.1,0.1,0.1
355,0.4,1.5,0.8,50.1,11.5,3.2,0.241,0.542,18.1,0.1,0.1,0.1,0.1
361,0.5,1.8,0.9,49.4,10.9,3.1,0.246,0.592,17.92,0.0,0.1,0.1,0.1
372,0.6,1.8,1.0,47.7,10.6,3.3,0.281,0.625,17.89,0.0,0.1,0.1,0.1
762,0.5,2.0,1.2,50.4,11.0,3.0,0.251,0.558,18.58,0.0,0.1,0.1,0.2
775,0.7,1.9,1.5,49.1,11.5,3.2,0.276,0.542,19.3,0.0,0.2,0.2,0.1
785,0.6,1.7,2.4,48.1,11.0,2.8,0.255,0.592,19.57,0.0,0.2,0.3,0.1
797,0.8,1.6,0.8,47.7,11.3,3.0,0.258,0.627,18.87,0.1,0.2,0.3,0.1
802,0.9,1.7,0.7,45.6,11.0,3.0,0.264,0.635,18.51,0.1,0.2,0.3,0.1
817,1.0,1.7,0.7,46.4,11.8,3.3,0.294,0.605,17.06,0.2,0.1,0.2,0.2
821,1.1,1.7,0.9,46.1,11.7,3.3,0.297,0.625,16.71,0.2,0.1,0.2,0.2
832,1.4,1.7,0.5,45.2,11.1,3.7,0.33,0.598,16.62,0.4,0.1,0.2,0.2
843,1.4,1.8,0.7,43.2,10.4,3.5,0.333,0.608,16.56,0.4,0.1,0.2,0.2
850,1.4,2.0,2.1,43.9,10.4,3.2,0.296,0.582,16.54,0.5,0.1,0.2,0.3
865,1.6,2.0,2.1,44.4,10.8,3.5,0.312,0.615,16.47,0.5,0.2,0.3,0.2
871,1.7,1.8,1.8,47.1,11.7,3.9,0.323,0.682,16.3,0.6,0.2,0.3,0.2
883,2.0,2.0,1.9,47.3,12.0,4.1,0.334,0.642,15.92,0.6,0.2,0.2,0.2
888,1.7,1.8,1.0,48.6,12.6,3.8,0.309,0.682,16.01,0.5,0.2,0.2,0.2
906,1.7,1.8,1.4,48.7,11.8,3.6,0.315,0.657,17.26,0.5,0.3,0.3,0.3
908,1.6,1.9,2.5,50.1,12.2,4.0,0.335,0.685,17.13,0.4,0.3,0.3,0.2
922,1.8,1.7,1.5,51.7,13.6,4.7,0.345,0.605,16.76,0.5,0.3,0.3,0.2
930,1.7,1.6,1.7,52.0,12.8,4.1,0.313,0.638,16.91,0.3,0.3,0.4,0.2
937,1.7,1.2,1.0,52.6,13.6,4.2,0.298,0.678,17.23,0.3,0.3,0.4,0.2
946,1.8,1.0,1.1,52.4,13.6,4.3,0.31,0.711,17.1,0.2,0.3,0.4,0.1
959,1.6,0.9,1.0,49.3,12.2,4.0,0.293,0.724,17.1,0.2,0.2,0.4,0.1
960,1.3,1.0,0.6,48.7,11.5,3.9,0.308,0.691,17.16,0.2,0.1,0.3,0.1
972,1.0,0.8,1.5,47.8,11.4,3.9,0.312,0.731,18.27,0.2,0.1,0.3,0.1
984,1.2,0.8,0.3,47.2,10.6,3.6,0.306,0.731,18.13,0.3,0.1,0.3,0.1
992,1.2,0.6,0.5,47.7,10.8,3.7,0.312,0.781,17.11,0.3,0.0,0.2,0.0
1011,1.2,0.5,1.4,47.5,10.4,3.5,0.312,0.753,18.13,0.4,0.0,0.2,0.0
1020,1.1,0.8,0.8,47.4,9.0,3.0,0.324,0.793,18.53,0.4,0.0,0.2,0.1
1035,0.9,1.0,0.8,45.7,9.5,3.1,0.327,0.784,18.39,0.4,0.0,0.1,0.1
1051,0.9,1.2,0.7,47.5,9.4,3.1,0.328,0.75,18.1,0.4,0.0,0.1,0.1
