ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
211,0.7,1.5,0.6,46.3,11.4,3.4,18.68,0.1,0.0,0.1
219,0.7,1.4,1.5,47.4,11.7,3.3,18.01,0.1,0.0,0.1
242,0.7,1.1,1.2,47.0,12.1,3.3,18.0,0.3,0.0,0.1
264,0.7,0.9,0.7,47.0,12.0,3.5,18.25,0.3,0.0,0.1
281,0.5,1.0,0.3,48.3,11.8,3.4,18.08,0.3,0.0,0.1
287,0.3,1.0,1.6,47.5,10.8,2.8,17.19,0.3,0.0,0.0
301,0.3,1.1,0.9,50.0,11.1,2.9,16.8,0.3,0.0,0.0
347,0.3,1.2,1.0,50.4,11.6,2.8,17.06,0.3,0.0,0.0
372,0.3,1.4,1.0,52.5,12.7,3.0,17.12,0.3,0.0,0.0
762,0.3,1.5,1.2,55.8,13.1,2.8,17.07,0.2,0.0,0.0
785,0.4,1.5,2.4,55.3,12.7,2.5,17.07,0.2,0.1,0.1
802,0.7,1.5,0.7,53.9,13.7,3.3,16.78,0.3,0.1,0.1
832,0.9,1.6,0.5,51.8,12.7,3.4,16.66,0.2,0.1,0.1
850,0.9,2.0,2.1,48.7,11.5,3.0,16.18,0.2,0.1,0.1
865,1.1,2.1,2.1,49.6,12.2,3.0,16.36,0.2,0.2,0.2
883,1.4,1.8,1.9,51.0,13.6,3.6,16.91,0.3,0.3,0.3
906,1.3,1.6,1.4,51.5,14.7,3.6,17.25,0.3,0.3,0.3
922,1.4,1.7,1.5,51.8,14.7,4.0,16.92,0.3,0.3,0.3
937,1.6,1.6,1.0,51.2,13.3,3.8,16.98,0.3,0.3,0.4
959,1.8,1.5,1.0,49.6,12.7,4.1,16.55,0.3,0.3,0.4
972,1.6,1.4,1.5,51.7,12.9,4.4,16.44,0.4,0.2,0.3
992,1.5,1.2,0.5,52.4,12.7,3.8,16.39,0.4,0.2,0.3
1020,1.4,1.2,0.8,53.6,12.7,4.0,17.28,0.4,0.2,0.3
1051,1.3,1.1,0.7,54.8,13.6,4.1,17.4,0.4,0.2,0.3
1068,1.1,1.0,1.7,55.5,13.4,4.1,17.56,0.4,0.1,0.2
