ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
1628,1.0,2.1,1.6,41.5,10.0,3.0,17.23,0.4,0.0,0.0
1639,1.091,2.0,1.6,40.818,9.818,3.0,16.7,0.364,0.0,0.0
1645,1.083,1.917,0.6,40.75,9.917,3.25,16.933,0.417,0.0,0.0
1651,1.0,1.846,0.5,41.846,9.692,3.154,16.777,0.385,0.0,0.0
1666,0.929,1.786,1.3,42.714,9.643,3.071,16.836,0.357,0.0,0.0
1671,0.933,1.8,1.1,42.8,10.2,3.2,16.94,0.333,0.0,0.0
1683,1.0,1.75,0.7,43.0,10.188,3.188,16.862,0.312,0.0,0.0
1699,0.941,1.882,0.2,42.941,10.176,3.118,16.918,0.294,0.0,0.0
1707,0.889,1.833,1.6,42.333,9.778,2.944,17.544,0.278,0.0,0.0
1717,0.947,1.737,1.5,41.368,9.684,3.053,17.468,0.263,0.053,0.053
1728,1.0,1.75,0.3,40.65,9.5,3.0,17.495,0.25,0.1,0.1
1738,0.952,1.762,0.5,40.952,9.286,3.0,17.676,0.238,0.095,0.095
1742,0.909,1.955,0.5,40.591,9.227,3.045,17.632,0.227,0.091,0.091
1754,0.913,2.043,1.8,40.13,8.957,3.043,17.465,0.217,0.087,0.087
1766,0.917,2.042,0.4,40.833,9.208,3.167,17.562,0.292,0.083,0.083
1778,0.92,2.0,1.1,40.2,9.0,3.16,17.644,0.32,0.08,0.08
1787,0.923,2.077,1.4,40.269,9.308,3.231,17.65,0.346,0.077,0.077
1795,0.963,2.111,1.5,40.815,9.407,3.222,17.696,0.333,0.074,0.074
1803,0.929,2.071,0.4,40.964,9.607,3.357,17.629,0.321,0.071,0.071
1816,0.966,2.138,1.2,41.448,9.655,3.345,17.766,0.345,0.069,0.069
1822,1.0,2.1,0.8,41.3,9.667,3.3,17.733,0.333,0.067,0.067
1837,1.0,2.097,1.1,41.419,9.548,3.258,17.652,0.323,0.065,0.065
1847,1.031,2.094,0.2,40.969,9.656,3.281,17.756,0.312,0.062,0.062
1855,1.0,2.152,0.1,40.485,9.485,3.182,17.815,0.303,0.061,0.061
1864,0.971,2.176,0.8,39.971,9.324,3.088,17.859,0.294,0.059,0.059
1873,1.0,2.171,0.9,40.029,9.4,3.143,17.914,0.286,0.057,0.057
1885,0.972,2.139,1.4,40.278,9.444,3.167,18.011,0.278,0.056,0.056
1899,0.946,2.135,0.7,40.541,9.73,3.135,17.946,0.27,0.054,0.054
