ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
1554,1.0,4.0,0.3,25.0,1.0,1.0,1.0,0.0,21.1,0.0,0.0,0.0,1.0
1565,0.5,2.0,1.6,28.5,3.5,1.0,0.583,0.5,18.85,0.0,0.0,0.0,0.5
1583,0.667,1.667,0.6,34.667,6.667,2.667,0.543,0.556,17.267,0.0,0.0,0.0,0.333
1603,0.75,2.25,1.3,38.0,7.25,2.5,0.463,0.583,17.25,0.0,0.0,0.0,0.25
1628,1.2,2.6,1.6,37.4,8.0,3.0,0.461,0.567,17.28,0.0,0.0,0.0,0.4
1645,1.333,2.333,0.6,36.833,8.0,3.0,0.447,0.606,16.3,0.0,0.0,0.0,0.333
1671,1.143,2.143,1.1,39.429,7.857,2.857,0.424,0.626,16.1,0.0,0.0,0.0,0.429
1699,1.25,2.0,0.2,40.25,8.125,2.875,0.408,0.652,16.05,0.0,0.0,0.0,0.375
1717,1.111,1.889,1.5,39.333,7.556,2.556,0.363,0.669,17.4,0.0,0.0,0.0,0.333
1742,1.2,1.9,0.5,38.1,7.4,2.5,0.36,0.602,17.46,0.0,0.1,0.1,0.5
1766,1.182,2.091,0.4,37.364,7.0,2.545,0.418,0.577,17.127,0.0,0.091,0.091,0.455
1787,1.167,2.0,1.4,36.333,6.75,2.583,0.446,0.599,17.333,0.083,0.083,0.083,0.417
1795,1.231,2.077,1.5,37.769,7.154,2.615,0.431,0.591,17.454,0.077,0.077,0.077,0.385
1816,1.143,2.0,1.2,38.286,7.714,2.929,0.433,0.602,17.336,0.071,0.071,0.071,0.357
1837,1.2,1.933,1.1,38.2,7.867,2.867,0.418,0.618,17.3,0.067,0.067,0.067,0.333
1855,1.25,1.938,0.1,37.5,8.188,2.938,0.411,0.628,17.531,0.062,0.062,0.062,0.312
1864,1.176,2.0,0.8,36.647,7.941,2.765,0.387,0.591,17.635,0.059,0.059,0.059,0.353
1885,1.222,2.0,1.4,36.944,8.167,2.889,0.388,0.577,17.756,0.056,0.056,0.056,0.333
