ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
203,1.9,2.1,2.1,60.6,14.8,4.9,0.344,0.687,17.26,0.3,0.0,0.0,0.4
232,2.0,2.0,0.9,59.545,14.182,5.0,0.381,0.704,16.9,0.273,0.0,0.0,0.364
238,2.0,2.167,1.7,59.083,13.75,5.0,0.395,0.646,16.958,0.25,0.0,0.0,0.417
275,1.846,2.077,1.4,59.0,14.077,5.154,0.395,0.657,16.669,0.231,0.0,0.0,0.385
287,1.714,2.071,1.3,59.429,14.286,4.929,0.375,0.646,16.793,0.214,0.0,0.0,0.429
302,1.733,2.0,0.1,58.733,14.2,4.867,0.37,0.659,16.84,0.267,0.0,0.0,0.4
331,1.75,1.938,0.6,56.875,13.438,4.688,0.41,0.671,17.069,0.25,0.0,0.0,0.375
354,1.647,1.941,1.5,56.941,13.294,4.529,0.396,0.661,17.335,0.235,0.0,0.0,0.412
362,1.778,1.833,1.7,56.667,13.444,4.611,0.395,0.68,17.306,0.222,0.0,0.0,0.389
382,1.789,1.737,0.5,56.263,13.526,4.737,0.399,0.697,17.384,0.211,0.0,0.0,0.368
409,1.75,1.9,1.2,56.0,13.35,4.65,0.394,0.681,17.58,0.2,0.0,0.0,0.35
421,1.714,1.857,1.5,56.381,13.286,4.524,0.383,0.68,17.51,0.19,0.0,0.0,0.333
453,1.682,1.818,0.2,56.773,13.682,4.727,0.384,0.688,17.641,0.182,0.0,0.0,0.318
478,1.609,1.783,0.7,56.652,13.217,4.522,0.368,0.691,17.817,0.174,0.0,0.0,0.304
500,1.625,1.75,1.4,56.458,13.208,4.542,0.368,0.69,17.946,0.167,0.0,0.0,0.292
505,1.6,1.76,0.6,56.48,13.4,4.64,0.369,0.682,18.084,0.2,0.0,0.0,0.28
532,1.538,1.692,1.4,55.962,13.308,4.615,0.369,0.694,18.058,0.231,0.0,0.0,0.269
540,1.556,1.741,0.3,55.481,13.222,4.593,0.369,0.678,18.107,0.296,0.037,0.037,0.333
581,1.5,1.929,2.2,54.821,12.964,4.536,0.373,0.673,18.364,0.321,0.036,0.036,0.321
602,1.552,1.931,1.8,54.724,13.138,4.552,0.37,0.67,18.31,0.379,0.034,0.034,0.31
606,1.6,1.967,0.3,54.9,13.233,4.633,0.372,0.656,18.163,0.367,0.033,0.033,0.3
627,1.548,2.0,0.2,55.0,13.032,4.484,0.36,0.658,18.355,0.355,0.032,0.032,0.29
638,1.5,2.125,1.7,54.438,12.719,4.406,0.37,0.653,18.441,0.344,0.031,0.031,0.344
665,1.455,2.091,2.0,54.273,12.909,4.394,0.365,0.656,18.285,0.333,0.03,0.03,0.333
682,1.5,2.088,0.7,54.206,12.971,4.412,0.364,0.658,18.153,0.353,0.029,0.029,0.324
711,1.543,2.029,0.5,54.114,12.886,4.429,0.368,0.668,18.146,0.343,0.029,0.029,0.314
729,1.5,1.972,0.3,53.917,12.778,4.361,0.364,0.677,18.125,0.333,0.028,0.028,0.306
760,1.486,1.973,1.3,53.432,12.514,4.297,0.372,0.68,17.932,0.324,0.027,0.027,0.297
776,1.5,1.947,1.8,53.368,12.526,4.316,0.373,0.683,18.111,0.316,0.053,0.053,0.289
794,1.513,1.949,1.8,53.462,12.538,4.333,0.373,0.679,17.954,0.308,0.051,0.051,0.282
816,1.475,1.925,1.7,53.525,12.475,4.275,0.369,0.68,17.955,0.325,0.05,0.05,0.275
844,1.488,2.0,1.0,53.878,12.585,4.317,0.368,0.671,18.051,0.341,0.049,0.049,0.293
866,1.476,2.0,1.3,53.69,12.524,4.31,0.369,0.669,18.052,0.333,0.048,0.048,0.286
884,1.442,2.0,1.8,53.698,12.558,4.256,0.364,0.63,18.058,0.326,0.047,0.047,0.279
901,1.455,1.977,1.1,53.205,12.591,4.295,0.365,0.636,18.089,0.386,0.045,0.045,0.273
923,1.489,2.022,0.4,53.022,12.578,4.311,0.366,0.632,18.047,0.422,0.044,0.044,0.267
938,1.457,1.978,2.4,52.739,12.478,4.239,0.361,0.64,18.043,0.435,0.043,0.043,0.261
968,1.447,1.979,0.9,52.638,12.553,4.213,0.357,0.639,17.93,0.426,0.043,0.043,0.255
970,1.417,1.958,0.6,53.0,12.5,4.208,0.358,0.636,17.912,0.417,0.042,0.042,0.25
983,1.429,1.959,0.5,52.612,12.408,4.163,0.356,0.637,17.922,0.429,0.041,0.041,0.245
1005,1.4,1.94,1.0,52.54,12.32,4.08,0.349,0.639,17.932,0.42,0.04,0.04,0.24
1026,1.373,1.922,1.6,52.353,12.294,4.039,0.346,0.639,17.849,0.431,0.039,0.039,0.235
1033,1.423,1.923,0.7,52.019,12.269,4.038,0.346,0.642,17.846,0.462,0.038,0.038,0.231
1068,1.415,1.962,0.8,51.679,12.17,4.057,0.353,0.629,17.779,0.453,0.038,0.038,0.245
1089,1.407,1.963,1.6,51.648,12.13,4.019,0.35,0.629,17.757,0.463,0.037,0.037,0.241
1098,1.4,2.0,0.2,51.764,12.182,4.055,0.351,0.625,17.704,0.473,0.036,0.036,0.236
1125,1.393,2.0,0.9,51.196,12.036,4.018,0.354,0.626,17.604,0.464,0.036,0.036,0.25
