ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
102,1.5,1.7,0.8,59.8,15.2,5.2,16.84,0.4,0.1,0.1
108,1.455,1.818,1.6,59.273,14.545,5.0,16.836,0.364,0.091,0.091
122,1.417,1.833,2.7,59.583,14.333,5.083,16.908,0.333,0.167,0.167
134,1.692,1.846,1.8,60.231,15.154,5.462,16.892,0.308,0.154,0.154
144,1.714,2.143,1.9,60.143,15.286,5.357,16.679,0.286,0.143,0.143
152,1.667,2.0,1.2,59.533,14.933,5.2,16.973,0.267,0.2,0.2
158,1.875,1.875,1.1,60.5,14.875,5.25,17.075,0.25,0.188,0.188
173,1.765,1.941,0.3,60.647,15.059,5.235,17.159,0.235,0.176,0.176
186,1.667,1.889,0.7,60.944,14.611,5.056,17.228,0.222,0.167,0.167
203,1.684,1.842,2.1,60.789,14.316,4.895,17.037,0.211,0.158,0.158
212,1.75,1.8,1.3,60.2,14.0,4.95,16.85,0.2,0.15,0.15
225,1.714,1.81,1.9,60.333,14.095,5.048,16.752,0.19,0.143,0.143
232,1.727,1.727,0.9,60.636,14.227,5.136,16.641,0.227,0.136,0.136
238,1.739,1.826,1.7,60.348,14.0,5.13,16.683,0.217,0.13,0.13
248,1.667,1.792,1.3,60.25,14.167,5.208,16.537,0.208,0.125,0.125
251,1.72,1.72,0.9,59.68,14.04,5.28,16.524,0.24,0.12,0.12
275,1.654,1.692,1.4,60.038,14.0,5.192,16.615,0.231,0.115,0.115
278,1.593,1.704,0.4,60.222,14.111,5.074,16.681,0.222,0.111,0.111
287,1.536,1.643,1.3,59.429,13.857,5.036,16.657,0.214,0.107,0.107
292,1.552,1.621,2.4,59.069,13.828,5.0,16.686,0.241,0.103,0.103
302,1.567,1.6,0.1,58.9,14.133,5.1,16.74,0.267,0.1,0.1
316,1.581,1.581,2.3,57.935,13.742,5.0,16.861,0.258,0.097,0.097
326,1.562,1.562,0.3,58.031,13.688,5.0,16.709,0.25,0.094,0.094
331,1.515,1.515,0.6,57.606,13.455,4.939,16.867,0.242,0.091,0.091
339,1.471,1.529,2.5,57.618,13.382,4.853,17.006,0.235,0.088,0.088
354,1.514,1.514,1.5,57.486,13.457,4.914,16.949,0.229,0.086,0.086
362,1.583,1.472,1.7,57.333,13.528,4.944,16.944,0.222,0.083,0.083
374,1.595,1.432,2.3,57.108,13.568,5.0,16.995,0.216,0.081,0.081
382,1.632,1.421,0.5,57.289,13.632,5.079,17.045,0.237,0.105,0.105
392,1.615,1.513,1.2,57.128,13.538,5.026,17.154,0.231,0.103,0.103
409,1.625,1.525,1.2,57.425,13.625,5.0,17.248,0.225,0.1,0.1
419,1.61,1.512,1.2,57.585,13.585,4.927,17.22,0.22,0.098,0.098
421,1.571,1.548,1.5,57.262,13.476,4.905,17.171,0.214,0.095,0.095
436,1.558,1.535,1.2,57.442,13.674,5.0,17.247,0.209,0.093,0.093
445,1.545,1.545,1.3,57.341,13.705,5.0,17.298,0.205,0.091,0.091
453,1.533,1.511,0.2,57.533,13.844,4.956,17.331,0.222,0.089,0.089
466,1.5,1.5,1.6,57.457,13.609,4.848,17.426,0.217,0.087,0.087
478,1.489,1.489,0.7,57.553,13.681,4.809,17.464,0.213,0.106,0.106
488,1.5,1.479,1.3,57.438,13.667,4.812,17.535,0.208,0.104,0.104
