ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
225,1.4,1.6,1.9,61.2,14.0,5.1,0.385,0.591,16.59,0.1,0.3,0.3,0.2
248,1.455,1.455,1.3,61.727,14.273,5.273,0.387,0.628,16.382,0.182,0.273,0.273,0.182
251,1.583,1.333,0.9,60.417,14.0,5.417,0.408,0.659,16.367,0.25,0.25,0.25,0.167
278,1.462,1.308,0.4,61.077,13.923,5.231,0.395,0.666,16.562,0.231,0.231,0.231,0.154
292,1.357,1.214,2.4,59.429,13.429,5.143,0.407,0.69,16.521,0.214,0.214,0.214,0.143
316,1.4,1.2,2.3,59.067,14.067,5.333,0.403,0.644,16.64,0.267,0.2,0.2,0.133
326,1.375,1.188,0.3,59.188,13.938,5.312,0.404,0.657,16.35,0.25,0.188,0.188,0.125
339,1.294,1.118,2.5,58.294,13.471,5.176,0.41,0.678,16.676,0.235,0.176,0.176,0.118
374,1.389,1.111,2.3,58.0,13.611,5.278,0.411,0.677,16.583,0.222,0.167,0.167,0.111
392,1.474,1.105,1.2,58.316,13.737,5.421,0.416,0.683,16.705,0.263,0.211,0.211,0.105
419,1.5,1.15,1.2,58.85,13.9,5.35,0.407,0.685,16.915,0.25,0.2,0.2,0.15
436,1.429,1.238,1.2,58.143,13.667,5.286,0.409,0.682,16.833,0.238,0.19,0.19,0.143
445,1.409,1.273,1.3,57.909,13.727,5.273,0.405,0.681,16.955,0.227,0.182,0.182,0.136
466,1.391,1.217,1.6,58.261,14.0,5.174,0.394,0.695,17.035,0.261,0.174,0.174,0.13
488,1.375,1.208,1.3,58.417,14.125,5.083,0.385,0.698,17.125,0.25,0.208,0.208,0.125
511,1.36,1.2,1.4,58.32,14.28,5.08,0.381,0.696,17.148,0.28,0.2,0.2,0.12
526,1.346,1.154,1.2,58.423,14.269,4.962,0.372,0.708,17.262,0.269,0.231,0.231,0.115
546,1.37,1.185,1.6,58.593,14.222,5.0,0.375,0.694,17.263,0.259,0.222,0.222,0.111
569,1.357,1.286,1.9,58.321,14.0,4.857,0.366,0.693,17.532,0.25,0.25,0.25,0.107
587,1.414,1.276,0.7,58.207,14.276,4.931,0.364,0.686,17.579,0.241,0.241,0.241,0.103
623,1.367,1.267,1.8,58.333,14.233,4.9,0.363,0.686,17.53,0.233,0.233,0.233,0.1
630,1.387,1.355,1.5,58.194,14.29,4.935,0.363,0.682,17.587,0.226,0.226,0.226,0.097
651,1.344,1.438,0.2,57.938,14.438,4.844,0.355,0.679,17.6,0.25,0.219,0.219,0.094
659,1.303,1.485,2.5,57.727,14.121,4.727,0.352,0.679,17.748,0.242,0.212,0.212,0.091
671,1.324,1.471,1.2,57.559,14.088,4.794,0.357,0.681,17.65,0.265,0.206,0.206,0.088
718,1.314,1.457,1.3,57.514,14.029,4.743,0.354,0.684,17.654,0.257,0.2,0.2,0.086
734,1.278,1.528,0.4,57.083,13.833,4.639,0.348,0.674,17.503,0.25,0.194,0.194,0.083
743,1.243,1.568,1.6,56.432,13.595,4.514,0.339,0.656,17.551,0.243,0.189,0.189,0.081
765,1.237,1.553,0.8,56.263,13.737,4.5,0.335,0.661,17.487,0.263,0.184,0.184,0.079
788,1.256,1.538,2.1,55.846,13.692,4.487,0.335,0.665,17.515,0.282,0.179,0.179,0.077
804,1.3,1.5,1.0,55.425,13.65,4.525,0.34,0.674,17.485,0.275,0.175,0.175,0.075
836,1.293,1.488,0.4,55.756,13.659,4.537,0.34,0.669,17.471,0.268,0.171,0.171,0.073
853,1.262,1.452,1.8,55.476,13.476,4.452,0.336,0.677,17.455,0.262,0.167,0.167,0.071
871,1.233,1.442,1.6,55.279,13.512,4.442,0.334,0.679,17.47,0.256,0.163,0.186,0.07
890,1.25,1.477,2.2,55.318,13.523,4.455,0.335,0.669,17.443,0.25,0.159,0.182,0.068
916,1.311,1.511,0.6,55.422,13.6,4.422,0.331,0.663,17.409,0.244,0.178,0.2,0.067
933,1.304,1.543,1.6,54.891,13.5,4.348,0.326,0.663,17.45,0.283,0.174,0.196,0.065
957,1.319,1.553,0.5,55.043,13.511,4.362,0.327,0.628,17.377,0.277,0.17,0.191,0.085
978,1.292,1.521,1.8,55.104,13.417,4.375,0.332,0.615,17.498,0.292,0.167,0.188,0.083
996,1.265,1.531,0.9,54.673,13.469,4.408,0.333,0.615,17.378,0.286,0.163,0.184,0.082
1015,1.26,1.5,0.9,54.8,13.48,4.4,0.332,0.622,17.354,0.28,0.16,0.18,0.08
1043,1.275,1.51,1.8,54.471,13.451,4.392,0.332,0.617,17.4,0.275,0.157,0.176,0.078
1055,1.288,1.5,0.9,54.596,13.596,4.423,0.331,0.605,17.398,0.269,0.154,0.173,0.077
1066,1.283,1.566,1.4,54.472,13.547,4.472,0.337,0.599,17.385,0.283,0.151,0.17,0.075
1077,1.278,1.648,1.5,53.963,13.537,4.444,0.335,0.59,17.389,0.278,0.148,0.167,0.074
1108,1.273,1.636,2.0,53.727,13.527,4.418,0.333,0.592,17.344,0.273,0.145,0.164,0.073
1132,1.286,1.643,1.5,53.411,13.429,4.393,0.334,0.587,17.3,0.268,0.143,0.179,0.107
