ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
23,3.0,4.0,1.2,51.0,6.0,3.0,0.5,0.0,19.9,1.0,0.0,0.0,2.0
49,2.0,2.0,2.7,57.5,11.5,5.5,0.485,0.5,19.45,0.5,0.0,0.0,1.0
72,2.333,1.333,0.8,58.0,16.667,6.667,0.435,0.667,18.6,0.667,0.0,0.0,0.667
92,2.0,2.0,2.9,59.5,14.75,5.75,0.409,0.583,18.675,0.75,0.0,0.0,0.5
102,1.8,1.6,0.8,59.4,16.4,5.8,0.38,0.667,18.24,0.6,0.0,0.0,0.4
134,1.667,1.833,1.8,58.5,15.0,5.333,0.379,0.672,18.0,0.5,0.0,0.0,0.333
152,1.714,2.429,1.2,58.571,15.286,5.143,0.358,0.653,17.414,0.429,0.0,0.0,0.429
158,2.125,2.125,1.1,60.625,15.125,5.25,0.367,0.696,17.562,0.375,0.0,0.0,0.375
186,1.889,2.222,0.7,60.889,15.444,5.222,0.357,0.675,17.667,0.333,0.0,0.0,0.444
203,1.9,2.1,2.1,60.6,14.8,4.9,0.344,0.687,17.26,0.3,0.0,0.0,0.4
232,2.0,2.0,0.9,59.545,14.182,5.0,0.381,0.704,16.9,0.273,0.0,0.0,0.364
238,2.0,2.167,1.7,59.083,13.75,5.0,0.395,0.646,16.958,0.25,0.0,0.0,0.417
275,1.846,2.077,1.4,59.0,14.077,5.154,0.395,0.657,16.669,0.231,0.0,0.0,0.385
287,1.714,2.071,1.3,59.429,14.286,4.929,0.375,0.646,16.793,0.214,0.0,0.0,0.429
302,1.733,2.0,0.1,58.733,14.2,4.867,0.37,0.659,16.84,0.267,0.0,0.0,0.4
331,1.75,1.938,0.6,56.875,13.438,4.688,0.41,0.671,17.069,0.25,0.0,0.0,0.375
354,1.647,1.941,1.5,56.941,13.294,4.529,0.396,0.661,17.335,0.235,0.0,0.0,0.412
362,1.778,1.833,1.7,56.667,13.444,4.611,0.395,0.68,17.306,0.222,0.0,0.0,0.389
409,1.0,5.0,1.2,51.0,10.0,3.0,0.3,0.375,21.3,0.0,0.0,0.0,0.0
421,1.0,3.0,1.5,57.5,11.0,2.5,0.233,0.521,18.7,0.0,0.0,0.0,0.0
453,1.0,2.333,0.2,60.0,14.667,4.667,0.292,0.633,19.267,0.0,0.0,0.0,0.0
478,0.75,2.0,0.7,58.5,11.75,3.5,0.219,0.662,19.875,0.0,0.0,0.0,0.0
500,1.0,1.8,1.4,57.2,12.0,3.8,0.252,0.663,20.08,0.0,0.0,0.0,0.0
505,1.0,1.833,0.6,57.167,13.0,4.333,0.275,0.636,20.3,0.167,0.0,0.0,0.0
532,0.857,1.571,1.4,55.143,12.714,4.286,0.288,0.688,19.886,0.286,0.0,0.0,0.0
540,1.0,1.75,0.3,53.625,12.5,4.25,0.297,0.633,19.825,0.5,0.125,0.125,0.25
581,0.889,2.333,2.2,51.778,11.778,4.111,0.32,0.622,20.433,0.556,0.111,0.111,0.222
602,1.1,2.3,1.8,51.8,12.4,4.2,0.315,0.62,20.07,0.7,0.1,0.1,0.2
606,1.273,2.364,0.3,52.545,12.727,4.455,0.327,0.586,19.509,0.636,0.091,0.091,0.182
627,1.167,2.417,0.2,53.0,12.25,4.083,0.299,0.596,19.892,0.583,0.083,0.083,0.167
638,1.077,2.692,1.7,51.769,11.538,3.923,0.328,0.588,19.985,0.538,0.077,0.077,0.308
665,1.0,2.571,2.0,51.571,12.071,3.929,0.319,0.6,19.507,0.5,0.071,0.071,0.286
682,1.133,2.533,0.7,51.6,12.267,4.0,0.32,0.61,19.127,0.533,0.067,0.067,0.267
711,1.25,2.375,0.5,51.562,12.125,4.062,0.331,0.634,19.05,0.5,0.062,0.062,0.25
729,1.176,2.235,0.3,51.294,11.941,3.941,0.325,0.656,18.953,0.471,0.059,0.059,0.235
760,1.167,2.222,1.3,50.444,11.444,3.833,0.344,0.663,18.511,0.444,0.056,0.056,0.222
794,2.0,2.0,1.8,57.0,13.0,5.0,0.385,0.5,12.0,0.0,0.0,0.0,0.0
816,1.0,1.5,1.7,56.5,11.5,3.5,0.292,0.625,15.0,0.5,0.0,0.0,0.0
844,1.333,2.667,1.0,60.333,13.333,4.333,0.313,0.512,17.3,0.667,0.0,0.0,0.333
866,1.25,2.5,1.3,56.75,12.5,4.25,0.334,0.534,17.5,0.5,0.0,0.0,0.25
884,1.0,2.4,1.8,56.2,12.8,3.8,0.296,0.227,17.66,0.4,0.0,0.0,0.2
901,1.167,2.167,1.1,52.167,13.0,4.167,0.318,0.339,17.95,0.833,0.0,0.0,0.167
923,1.429,2.429,0.4,51.143,12.857,4.286,0.332,0.352,17.7,1.0,0.0,0.0,0.143
938,1.25,2.125,2.4,49.75,12.25,3.875,0.306,0.433,17.725,1.0,0.0,0.0,0.125
968,1.222,2.111,0.9,49.556,12.667,3.778,0.293,0.452,17.167,0.889,0.0,0.0,0.111
970,1.1,2.0,0.6,51.6,12.4,3.8,0.304,0.456,17.16,0.8,0.0,0.0,0.1
983,1.182,2.0,0.5,50.0,12.0,3.636,0.299,0.476,17.273,0.818,0.0,0.0,0.091
1005,1.083,1.917,1.0,49.917,11.667,3.333,0.274,0.498,17.367,0.75,0.0,0.0,0.083
1026,1.0,1.846,1.6,49.385,11.615,3.231,0.267,0.511,17.085,0.769,0.0,0.0,0.077
1033,1.214,1.857,0.7,48.357,11.571,3.286,0.274,0.528,17.129,0.857,0.0,0.0,0.071
1068,1.2,2.0,0.8,47.4,11.267,3.4,0.303,0.493,16.94,0.8,0.0,0.0,0.133
1089,1.188,2.0,1.6,47.562,11.188,3.312,0.297,0.5,16.919,0.812,0.0,0.0,0.125
1098,1.176,2.118,0.2,48.176,11.412,3.471,0.303,0.496,16.794,0.824,0.0,0.0,0.118
1125,1.167,2.111,0.9,46.611,11.0,3.389,0.314,0.505,16.533,0.778,0.0,0.0,0.167
