ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
203,1.9,2.1,2.1,60.6,14.8,4.9,17.26,0.3,0.0,0.0
232,1.9,1.8,0.9,60.4,15.0,5.2,16.6,0.2,0.0,0.0
238,2.0,2.2,1.7,59.4,14.2,4.9,16.46,0.2,0.0,0.0
275,1.7,2.3,1.4,59.3,13.3,4.7,16.09,0.1,0.0,0.0
287,1.6,2.1,1.3,59.4,14.1,4.6,16.04,0.0,0.0,0.0
302,1.7,2.2,0.1,58.4,13.1,4.4,16.14,0.1,0.0,0.0
331,1.8,2.0,0.6,55.9,12.5,4.3,16.51,0.1,0.0,0.0
354,1.6,1.6,1.5,55.8,11.9,4.1,17.28,0.1,0.0,0.0
362,1.5,1.6,1.7,53.5,12.1,4.1,17.1,0.1,0.0,0.0
382,1.7,1.3,0.5,52.1,11.8,4.3,17.13,0.1,0.0,0.0
409,1.6,1.7,1.2,51.4,11.9,4.4,17.9,0.1,0.0,0.0
421,1.4,1.7,1.5,52.9,12.3,4.0,18.18,0.1,0.0,0.0
453,1.3,1.4,0.2,54.0,13.6,4.4,18.46,0.1,0.0,0.0
478,1.3,1.4,0.7,53.6,12.1,3.7,19.31,0.1,0.0,0.0
500,1.5,1.3,1.4,52.3,11.7,4.0,19.56,0.1,0.0,0.0
505,1.4,1.4,0.6,53.1,12.2,4.3,19.95,0.1,0.0,0.0
532,1.2,1.3,1.4,54.5,13.1,4.5,19.64,0.2,0.0,0.0
540,1.4,1.4,0.3,53.0,13.1,4.7,19.42,0.4,0.1,0.1
581,1.0,2.1,2.2,51.5,12.1,4.4,20.27,0.5,0.1,0.1
602,1.1,2.3,1.8,51.8,12.4,4.2,20.07,0.7,0.1,0.1
606,1.3,2.1,0.3,52.7,13.0,4.6,19.33,0.7,0.1,0.1
627,1.2,2.3,0.2,52.1,12.5,4.4,20.13,0.7,0.1,0.1
638,1.1,2.8,1.7,49.3,10.6,3.7,20.2,0.7,0.1,0.1
665,1.1,2.8,2.0,48.8,12.2,4.1,19.36,0.7,0.1,0.1
682,1.2,2.9,0.7,48.8,12.4,4.1,18.65,0.8,0.1,0.1
711,1.4,2.7,0.5,48.2,11.6,3.9,18.3,0.7,0.1,0.1
729,1.4,2.7,0.3,48.6,11.4,3.7,18.3,0.6,0.1,0.1
760,1.3,2.6,1.3,47.9,10.6,3.5,17.46,0.4,0.0,0.0
776,1.5,2.0,1.8,49.3,11.3,3.7,17.4,0.3,0.1,0.1
794,1.4,2.0,1.8,49.8,10.8,3.7,16.92,0.1,0.1,0.1
816,1.1,1.8,1.7,49.4,10.2,3.2,17.33,0.2,0.1,0.1
844,1.3,2.0,1.0,50.4,11.2,3.8,17.11,0.3,0.1,0.1
866,1.4,1.6,1.3,51.3,11.9,4.0,16.81,0.3,0.1,0.1
884,1.4,1.7,1.8,51.8,11.4,3.8,17.31,0.3,0.1,0.1
901,1.3,1.6,1.1,49.8,11.3,3.9,17.87,0.5,0.1,0.1
923,1.3,2.0,0.4,49.2,11.5,3.9,17.7,0.7,0.1,0.1
938,1.3,2.0,2.4,48.5,11.4,3.8,17.75,0.8,0.1,0.1
968,1.3,2.0,0.9,49.7,12.7,3.9,17.92,0.8,0.1,0.1
970,1.1,2.0,0.6,51.6,12.4,3.8,17.16,0.8,0.0,0.0
983,1.1,2.0,0.5,49.3,11.9,3.5,17.8,0.9,0.0,0.0
1005,1.1,2.0,1.0,48.6,11.7,3.3,17.84,0.8,0.0,0.0
1026,0.9,1.6,1.6,46.1,11.1,2.9,17.02,0.8,0.0,0.0
1033,1.2,1.6,0.7,45.0,11.2,2.9,16.98,1.0,0.0,0.0
1068,1.3,1.8,0.8,43.0,10.5,3.2,16.58,1.0,0.0,0.0
1089,1.2,1.9,1.6,44.8,10.1,2.8,16.3,0.8,0.0,0.0
1098,1.0,1.9,0.2,46.1,10.4,2.9,16.16,0.7,0.0,0.0
1125,1.1,2.1,0.9,44.1,10.0,3.0,15.58,0.6,0.0,0.0
