ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
102,1.5,1.7,0.8,59.8,15.2,5.2,0.383,0.583,16.84,0.4,0.1,0.1,0.4
108,1.3,1.6,1.6,60.1,15.4,5.2,0.37,0.653,16.53,0.3,0.1,0.1,0.2
122,1.0,1.5,2.7,61.3,15.7,5.2,0.353,0.688,16.61,0.2,0.1,0.1,0.1
134,1.4,1.7,1.8,61.7,16.5,5.4,0.346,0.638,16.38,0.2,0.1,0.1,0.1
144,1.5,2.2,1.9,62.5,17.0,5.1,0.312,0.692,16.62,0.2,0.1,0.1,0.2
152,1.6,2.1,1.2,61.0,16.7,5.2,0.326,0.725,17.45,0.2,0.2,0.2,0.2
158,1.8,2.1,1.1,62.6,15.4,4.9,0.336,0.725,17.62,0.1,0.2,0.2,0.2
173,1.7,2.0,0.3,62.2,16.1,5.0,0.327,0.732,17.67,0.1,0.2,0.2,0.2
186,1.6,1.7,0.7,62.4,15.9,4.9,0.322,0.749,17.62,0.0,0.2,0.2,0.2
203,1.8,1.8,2.1,61.6,14.3,4.7,0.329,0.729,17.18,0.0,0.2,0.2,0.2
212,2.0,1.9,1.3,60.6,12.8,4.7,0.377,0.716,16.86,0.0,0.2,0.2,0.2
225,2.0,1.8,1.9,61.5,13.6,5.1,0.384,0.713,16.66,0.0,0.2,0.2,0.2
232,2.1,1.6,0.9,61.9,14.1,5.2,0.375,0.738,16.32,0.1,0.1,0.1,0.2
238,1.8,1.8,1.7,60.5,12.5,4.7,0.39,0.688,16.41,0.1,0.1,0.1,0.3
248,1.6,1.3,1.3,60.4,12.6,5.0,0.406,0.714,16.34,0.1,0.1,0.1,0.2
251,1.8,1.3,0.9,59.9,12.7,5.4,0.439,0.714,15.85,0.2,0.0,0.0,0.2
275,1.3,1.4,1.4,59.3,12.6,5.1,0.42,0.689,15.88,0.2,0.0,0.0,0.2
278,1.3,1.3,0.4,59.5,12.5,4.8,0.404,0.689,15.87,0.2,0.0,0.0,0.2
287,1.3,1.2,1.3,56.7,12.5,5.0,0.432,0.739,15.63,0.2,0.0,0.0,0.2
292,1.3,1.2,2.4,55.8,12.9,5.2,0.441,0.742,16.02,0.3,0.0,0.0,0.2
302,1.2,1.2,0.1,56.3,14.4,5.4,0.401,0.655,16.52,0.4,0.0,0.0,0.2
316,1.3,1.1,2.3,52.9,13.0,4.9,0.457,0.674,17.09,0.4,0.0,0.0,0.2
326,1.2,1.2,0.3,52.3,12.5,4.7,0.457,0.66,16.86,0.3,0.0,0.0,0.2
331,1.0,0.8,0.6,51.3,12.2,4.5,0.452,0.76,17.29,0.3,0.0,0.0,0.1
339,1.0,0.9,2.5,51.3,11.5,4.0,0.431,0.73,18.13,0.3,0.0,0.0,0.2
354,1.0,1.0,1.5,52.0,12.0,4.0,0.411,0.696,18.01,0.2,0.0,0.0,0.2
362,1.4,0.9,1.7,50.3,12.3,4.3,0.426,0.721,17.8,0.2,0.0,0.0,0.2
374,1.6,0.7,2.3,48.7,12.1,4.8,0.46,0.771,17.84,0.2,0.0,0.0,0.1
382,1.9,0.8,0.5,51.3,13.0,5.2,0.453,0.751,18.13,0.3,0.1,0.1,0.1
392,1.8,1.2,1.2,51.5,12.7,5.1,0.453,0.706,18.51,0.2,0.1,0.1,0.1
409,1.8,1.3,1.2,53.0,12.1,4.7,0.441,0.777,18.77,0.1,0.1,0.1,0.2
419,1.7,1.3,1.2,56.5,13.1,4.7,0.358,0.758,18.33,0.1,0.1,0.1,0.2
421,1.6,1.5,1.5,54.8,12.8,4.6,0.361,0.735,18.65,0.1,0.1,0.1,0.2
436,1.7,1.6,1.2,56.9,14.4,5.2,0.352,0.72,18.5,0.1,0.1,0.1,0.2
445,1.8,1.6,1.3,56.4,14.8,5.5,0.367,0.737,18.29,0.1,0.1,0.1,0.1
453,1.6,1.5,0.2,57.7,15.2,5.1,0.338,0.77,18.67,0.2,0.1,0.1,0.1
466,1.2,1.6,1.6,57.9,13.9,4.5,0.301,0.745,19.16,0.2,0.1,0.1,0.1
478,1.1,1.7,0.7,59.2,14.1,4.1,0.272,0.72,19.2,0.2,0.2,0.2,0.1
488,1.0,1.7,1.3,58.0,13.8,3.8,0.26,0.707,19.4,0.1,0.1,0.1,0.1
500,1.0,1.3,1.4,58.5,14.6,4.0,0.258,0.736,19.04,0.2,0.1,0.1,0.1
505,0.9,1.3,0.6,57.3,14.7,4.3,0.273,0.715,19.09,0.3,0.1,0.1,0.0
511,0.8,1.2,1.4,55.2,14.6,4.5,0.293,0.748,19.22,0.4,0.1,0.1,0.0
526,0.9,0.9,1.2,56.9,15.1,4.3,0.263,0.786,19.71,0.4,0.2,0.2,0.0
532,1.0,1.0,1.4,56.7,14.2,4.0,0.268,0.733,19.4,0.4,0.2,0.2,0.0
540,1.1,1.1,0.3,55.7,13.8,3.9,0.271,0.692,19.39,0.6,0.3,0.3,0.2
546,1.0,1.8,1.6,52.8,12.4,3.9,0.306,0.645,20.04,0.6,0.3,0.3,0.2
569,1.1,2.1,1.9,52.5,12.9,4.0,0.318,0.637,20.35,0.6,0.4,0.4,0.2
581,1.3,2.1,2.2,51.8,13.4,4.4,0.333,0.612,20.32,0.6,0.3,0.3,0.2
587,1.4,2.2,0.7,51.8,13.9,4.4,0.322,0.605,19.91,0.8,0.3,0.3,0.2
602,1.3,2.2,1.8,52.4,13.4,4.3,0.325,0.605,19.75,0.7,0.3,0.3,0.2
606,1.5,2.3,0.3,52.7,13.2,4.3,0.33,0.58,19.0,0.6,0.3,0.3,0.2
623,1.5,2.6,1.8,54.2,12.8,3.9,0.293,0.55,19.67,0.5,0.3,0.3,0.2
627,1.6,3.0,0.2,53.5,13.0,4.3,0.317,0.506,19.59,0.5,0.2,0.2,0.2
630,1.4,3.4,1.5,50.9,12.0,3.9,0.337,0.522,19.97,0.5,0.2,0.2,0.4
638,1.2,3.5,1.7,51.6,12.8,3.7,0.311,0.557,19.83,0.4,0.1,0.1,0.2
651,1.2,2.9,0.2,52.8,14.1,3.8,0.282,0.579,18.63,0.3,0.1,0.1,0.2
659,1.1,2.8,2.5,52.8,13.7,3.8,0.295,0.579,18.4,0.3,0.0,0.0,0.2
665,1.0,2.8,2.0,52.5,12.8,3.8,0.317,0.604,17.95,0.4,0.0,0.0,0.2
671,1.0,2.8,1.2,52.5,12.5,3.8,0.322,0.619,17.65,0.3,0.0,0.0,0.2
682,1.1,2.8,0.7,51.9,12.4,3.7,0.317,0.632,17.82,0.3,0.0,0.0,0.2
711,1.1,2.5,0.5,51.0,11.8,3.5,0.323,0.707,18.22,0.3,0.0,0.0,0.2
718,1.1,2.2,1.3,49.9,12.0,3.7,0.345,0.737,17.55,0.3,0.0,0.0,0.2
729,0.9,2.2,0.3,48.7,11.1,3.2,0.322,0.715,16.84,0.3,0.0,0.0,0.2
734,1.0,1.8,0.4,48.6,11.1,3.2,0.322,0.743,15.83,0.3,0.0,0.0,0.0
743,1.0,1.7,1.6,46.9,9.7,3.0,0.311,0.683,15.96,0.2,0.0,0.0,0.0
760,1.1,1.7,1.3,47.0,9.7,3.0,0.311,0.691,16.14,0.3,0.0,0.0,0.0
765,1.3,1.5,0.8,47.0,10.6,3.4,0.325,0.704,16.36,0.3,0.1,0.1,0.0
776,1.3,1.5,1.8,45.8,10.5,3.1,0.304,0.713,16.78,0.3,0.1,0.1,0.0
788,1.2,1.5,2.1,46.3,10.3,3.1,0.309,0.688,16.6,0.2,0.1,0.1,0.0
794,1.4,1.4,1.8,44.6,10.3,3.4,0.334,0.708,16.45,0.2,0.1,0.1,0.0
804,1.1,1.5,1.0,45.1,10.3,3.1,0.304,0.683,16.46,0.3,0.1,0.1,0.0
816,1.2,1.6,1.7,47.3,10.8,3.4,0.318,0.633,16.41,0.3,0.1,0.1,0.0
836,1.4,1.7,0.4,49.9,11.8,3.9,0.339,0.628,17.38,0.4,0.1,0.1,0.1
844,1.3,1.5,1.0,50.7,12.1,3.8,0.289,0.65,17.96,0.4,0.1,0.1,0.1
853,1.4,1.4,1.8,52.0,12.6,4.2,0.329,0.71,17.84,0.4,0.1,0.1,0.1
866,1.3,1.4,1.3,51.7,12.2,4.2,0.335,0.702,18.14,0.3,0.1,0.2,0.1
871,1.1,1.5,1.6,52.0,12.3,3.9,0.31,0.522,17.5,0.3,0.0,0.1,0.1
884,1.1,1.7,1.8,53.7,12.5,4.0,0.313,0.464,17.27,0.2,0.0,0.1,0.1
890,1.1,1.6,2.2,51.2,12.6,4.1,0.317,0.504,18.01,0.5,0.0,0.1,0.1
901,1.2,1.9,1.1,53.3,13.1,3.8,0.285,0.444,17.97,0.5,0.1,0.2,0.1
