ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
225,1.4,1.6,1.9,61.2,14.0,5.1,0.385,0.591,16.59,0.1,0.3,0.3,0.2
248,1.2,1.3,1.3,62.8,14.8,5.2,0.36,0.651,16.33,0.1,0.2,0.2,0.1
251,1.4,1.2,0.9,62.3,14.7,5.2,0.365,0.751,16.8,0.2,0.2,0.2,0.1
278,1.4,1.2,0.4,62.6,14.7,5.3,0.373,0.76,17.41,0.2,0.2,0.2,0.1
292,1.3,0.8,2.4,59.7,14.3,5.3,0.393,0.817,17.21,0.2,0.2,0.2,0.0
316,1.5,0.9,2.3,58.5,14.1,5.7,0.412,0.717,17.24,0.3,0.2,0.2,0.0
326,1.5,0.8,0.3,58.3,14.1,5.6,0.404,0.727,16.67,0.3,0.1,0.1,0.0
339,1.0,0.6,2.5,55.9,12.2,4.9,0.414,0.777,17.19,0.3,0.1,0.1,0.0
374,1.2,0.7,2.3,56.1,12.8,5.3,0.428,0.744,16.58,0.3,0.0,0.0,0.0
392,1.5,0.7,1.2,55.9,13.7,5.9,0.449,0.774,16.63,0.4,0.1,0.1,0.0
419,1.6,0.7,1.2,56.5,13.8,5.6,0.429,0.779,17.24,0.4,0.1,0.1,0.1
436,1.4,1.0,1.2,54.2,13.0,5.3,0.432,0.741,17.33,0.3,0.1,0.1,0.1
445,1.2,1.2,1.3,54.9,13.4,5.1,0.402,0.708,17.66,0.2,0.1,0.1,0.1
466,1.3,1.1,1.6,54.6,14.1,5.1,0.394,0.733,17.65,0.3,0.1,0.1,0.1
488,1.4,1.2,1.3,57.0,15.1,5.0,0.354,0.708,17.97,0.3,0.2,0.2,0.1
511,1.3,1.2,1.4,57.2,14.6,4.7,0.347,0.775,17.91,0.3,0.2,0.2,0.1
526,1.3,1.1,1.2,57.2,14.8,4.4,0.32,0.789,18.72,0.3,0.3,0.3,0.1
546,1.5,1.3,1.6,59.1,15.5,4.7,0.316,0.722,18.26,0.3,0.3,0.3,0.1
569,1.3,1.6,1.9,58.9,14.7,4.1,0.285,0.722,19.24,0.3,0.4,0.4,0.1
587,1.3,1.6,0.7,58.0,15.3,4.0,0.266,0.692,19.24,0.2,0.3,0.3,0.1
623,1.1,1.5,1.8,57.3,14.9,4.0,0.274,0.688,18.76,0.2,0.3,0.3,0.0
630,1.3,1.6,1.5,58.3,15.6,4.2,0.267,0.681,19.17,0.2,0.3,0.3,0.0
651,1.2,1.8,0.2,58.0,16.0,3.9,0.244,0.674,19.02,0.3,0.3,0.3,0.0
659,1.1,2.1,2.5,56.5,14.4,3.7,0.254,0.641,19.39,0.2,0.3,0.3,0.0
671,1.2,2.1,1.2,55.5,14.0,4.1,0.29,0.641,18.91,0.3,0.2,0.2,0.0
718,1.2,2.1,1.3,55.5,13.4,3.9,0.287,0.654,18.92,0.2,0.2,0.2,0.0
734,1.1,2.5,0.4,53.6,12.7,3.8,0.287,0.587,18.13,0.2,0.1,0.1,0.0
743,0.9,2.6,1.6,50.6,11.9,3.2,0.241,0.554,18.33,0.2,0.1,0.1,0.0
765,0.9,2.3,0.8,50.5,13.0,3.5,0.25,0.571,17.36,0.3,0.0,0.0,0.0
788,0.8,2.3,2.1,49.0,12.0,3.2,0.251,0.604,17.33,0.4,0.0,0.0,0.0
804,1.1,2.2,1.0,46.7,11.9,3.4,0.271,0.637,17.35,0.4,0.0,0.0,0.0
836,1.0,1.9,0.4,48.2,11.7,3.3,0.269,0.632,17.11,0.4,0.0,0.0,0.0
853,1.0,1.5,1.8,47.6,10.4,3.2,0.275,0.672,16.99,0.3,0.0,0.0,0.0
871,1.0,1.3,1.6,47.2,11.5,3.5,0.277,0.68,16.55,0.3,0.0,0.1,0.0
890,1.0,1.5,2.2,47.7,11.6,3.3,0.258,0.63,16.74,0.2,0.0,0.1,0.0
916,1.3,1.7,0.6,48.1,12.1,3.3,0.251,0.59,16.55,0.2,0.1,0.2,0.0
933,1.4,1.6,1.6,47.0,12.3,3.3,0.248,0.623,17.26,0.4,0.1,0.2,0.0
957,1.6,1.5,0.5,49.9,13.2,3.8,0.284,0.523,16.73,0.4,0.1,0.2,0.1
978,1.5,1.4,1.8,50.7,12.2,3.9,0.318,0.44,17.54,0.4,0.1,0.2,0.1
996,1.3,1.5,0.9,50.1,12.6,4.1,0.322,0.417,16.84,0.3,0.1,0.2,0.1
1015,1.1,1.5,0.9,52.3,12.8,3.9,0.301,0.417,16.83,0.3,0.1,0.2,0.1
1043,1.2,1.6,1.8,49.2,12.6,3.8,0.298,0.4,17.11,0.3,0.1,0.2,0.1
1055,1.4,1.7,0.9,50.9,14.1,4.3,0.31,0.3,17.16,0.3,0.1,0.2,0.1
1066,1.5,2.1,1.4,51.0,13.7,4.6,0.347,0.254,17.02,0.4,0.1,0.1,0.1
1077,1.4,2.4,1.5,48.0,13.6,4.4,0.335,0.243,17.15,0.4,0.1,0.1,0.1
1108,1.1,2.2,2.0,46.1,13.2,4.4,0.34,0.27,17.05,0.4,0.0,0.0,0.1
1132,1.2,2.1,1.5,46.6,13.1,4.6,0.367,0.236,16.61,0.2,0.0,0.1,0.3
