ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
104,1.9,1.4,1.4,51.6,9.4,3.7,20.29,0.5,0.7,0.8
117,1.909,1.364,1.5,53.182,9.727,3.727,20.118,0.545,0.636,0.727
120,2.0,1.25,0.8,53.25,10.167,3.917,19.8,0.5,0.583,0.667
133,1.846,1.308,1.7,53.846,10.462,3.769,19.854,0.462,0.538,0.615
138,1.857,1.214,0.9,53.143,10.857,3.714,19.764,0.429,0.571,0.643
148,1.867,1.267,1.9,53.2,10.8,3.6,19.62,0.467,0.533,0.6
162,1.812,1.25,0.6,54.0,11.125,3.5,19.669,0.562,0.5,0.625
175,1.824,1.235,2.2,54.118,11.0,3.471,19.7,0.529,0.471,0.588
181,1.833,1.167,1.4,53.722,11.278,3.5,19.444,0.5,0.444,0.556
193,1.842,1.105,1.2,52.789,11.105,3.632,19.321,0.474,0.421,0.526
203,1.8,1.1,1.8,53.4,11.5,3.75,19.425,0.55,0.4,0.5
211,1.762,1.19,1.4,53.286,11.81,3.952,19.419,0.571,0.381,0.476
222,1.773,1.136,0.8,52.818,11.682,4.0,19.245,0.545,0.364,0.455
226,1.696,1.087,1.9,52.957,11.739,3.957,19.27,0.565,0.348,0.435
244,1.75,1.083,1.1,52.333,11.708,4.042,19.233,0.583,0.333,0.417
254,1.76,1.08,0.4,52.2,11.88,4.16,19.292,0.6,0.32,0.4
260,1.731,1.154,1.2,51.885,11.731,4.115,19.246,0.577,0.308,0.385
269,1.704,1.148,0.9,52.222,11.889,4.111,19.274,0.556,0.296,0.37
283,1.714,1.143,4.0,52.607,11.75,4.107,19.196,0.536,0.286,0.357
293,1.828,1.103,0.3,53.241,12.0,4.276,19.097,0.517,0.276,0.345
306,1.767,1.133,0.9,52.933,11.767,4.2,19.103,0.5,0.267,0.333
320,1.774,1.194,2.1,53.258,11.871,4.194,19.01,0.484,0.258,0.323
328,1.812,1.156,1.5,53.844,12.031,4.281,19.056,0.5,0.25,0.312
