ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
203,1.5,1.2,1.8,55.5,11.6,3.5,17.94,0.4,0.1,0.2
226,1.455,1.364,1.9,55.091,12.182,3.909,18.064,0.455,0.091,0.182
254,1.583,1.333,0.4,53.667,12.083,4.083,18.092,0.5,0.083,0.167
283,1.538,1.462,4.0,52.923,11.769,4.0,18.092,0.462,0.077,0.154
293,1.786,1.357,0.3,54.214,12.286,4.357,17.964,0.429,0.071,0.143
320,1.667,1.4,2.1,53.533,11.8,4.2,18.053,0.4,0.067,0.133
328,1.75,1.312,1.5,54.688,12.125,4.375,18.206,0.438,0.062,0.125
338,1.765,1.294,2.2,55.353,12.176,4.412,18.135,0.471,0.059,0.118
371,1.778,1.444,1.9,56.056,12.889,4.667,18.028,0.5,0.056,0.111
384,1.789,1.579,0.5,55.579,12.632,4.632,18.268,0.474,0.158,0.211
416,1.75,1.5,0.6,55.6,12.45,4.65,18.21,0.45,0.15,0.2
433,1.667,1.476,2.4,54.81,12.143,4.476,17.919,0.429,0.143,0.19
452,1.682,1.5,2.4,55.318,12.591,4.455,17.868,0.409,0.136,0.182
471,1.783,1.522,1.3,55.043,13.0,4.739,17.891,0.435,0.13,0.174
491,1.708,1.542,0.4,55.417,13.125,4.875,17.867,0.5,0.125,0.167
506,1.64,1.6,2.1,54.76,12.76,4.8,18.128,0.48,0.12,0.16
537,1.731,1.615,2.6,54.808,12.962,4.923,17.992,0.462,0.115,0.154
560,1.815,1.556,0.4,54.519,12.741,4.889,18.033,0.481,0.148,0.185
583,1.786,1.5,1.2,53.893,12.5,4.75,17.921,0.464,0.143,0.179
593,1.793,1.552,1.4,53.724,12.552,4.724,17.931,0.448,0.138,0.172
613,1.767,1.533,1.4,53.4,12.633,4.733,17.993,0.467,0.133,0.167
638,1.774,1.548,0.4,53.452,12.613,4.613,18.045,0.452,0.161,0.194
667,1.75,1.5,1.0,53.375,12.438,4.594,18.078,0.438,0.156,0.188
688,1.758,1.485,1.0,53.333,12.424,4.576,18.112,0.455,0.152,0.182
703,1.765,1.471,0.3,53.265,12.412,4.529,18.2,0.5,0.147,0.176
730,1.714,1.429,1.5,53.571,12.2,4.457,18.371,0.543,0.143,0.171
736,1.694,1.444,2.0,53.917,12.306,4.556,18.411,0.528,0.139,0.167
755,1.73,1.405,3.4,54.216,12.514,4.649,18.414,0.514,0.135,0.162
768,1.789,1.395,0.6,54.132,12.5,4.684,18.266,0.5,0.132,0.158
784,1.795,1.41,0.3,54.179,12.538,4.692,18.39,0.487,0.128,0.154
810,1.775,1.425,0.7,54.375,12.375,4.6,18.375,0.5,0.125,0.15
837,1.732,1.415,1.3,54.341,12.317,4.537,18.5,0.537,0.122,0.146
849,1.786,1.381,1.0,54.262,12.429,4.595,18.481,0.548,0.119,0.143
866,1.744,1.349,0.8,54.256,12.465,4.605,18.502,0.558,0.116,0.14
877,1.75,1.318,0.7,54.068,12.295,4.523,18.484,0.545,0.114,0.136
910,1.711,1.311,0.5,53.667,12.244,4.533,18.438,0.533,0.111,0.133
930,1.674,1.348,1.7,53.804,12.152,4.478,18.474,0.522,0.109,0.13
954,1.638,1.34,0.9,53.957,12.213,4.511,18.483,0.532,0.106,0.128
975,1.646,1.354,1.7,53.604,12.146,4.458,18.35,0.542,0.104,0.125
994,1.694,1.347,0.0,53.51,12.204,4.49,18.294,0.531,0.102,0.122
1013,1.66,1.34,2.4,53.14,11.98,4.4,18.516,0.52,0.1,0.12
1042,1.647,1.373,0.5,53.039,12.078,4.431,18.512,0.529,0.098,0.118
1050,1.635,1.385,0.6,52.712,12.019,4.423,18.477,0.538,0.096,0.115
1069,1.604,1.377,2.4,52.679,12.057,4.415,18.447,0.528,0.094,0.113
1093,1.611,1.37,3.4,52.481,12.093,4.444,18.457,0.519,0.111,0.13
1117,1.618,1.382,0.4,52.509,12.127,4.436,18.465,0.509,0.109,0.145
1138,1.589,1.411,1.4,52.179,11.982,4.429,18.375,0.5,0.107,0.143
1530,1.596,1.404,1.0,52.105,12.0,4.421,18.36,0.491,0.105,0.14
1542,1.586,1.397,0.4,51.724,11.914,4.397,18.326,0.483,0.103,0.138
1562,1.576,1.407,0.7,51.814,11.864,4.373,18.364,0.475,0.102,0.136
1584,1.567,1.4,0.8,51.917,11.867,4.333,18.325,0.467,0.1,0.133
1601,1.557,1.377,0.8,51.803,11.77,4.295,18.333,0.459,0.098,0.131
1631,1.548,1.403,1.1,52.016,11.758,4.242,18.384,0.452,0.097,0.129
1652,1.54,1.413,1.7,51.778,11.619,4.175,18.39,0.444,0.111,0.143
1667,1.562,1.406,1.3,51.578,11.562,4.203,18.302,0.438,0.109,0.141
1685,1.569,1.415,0.8,51.646,11.538,4.185,18.243,0.446,0.108,0.138
1700,1.545,1.439,1.3,51.682,11.5,4.182,18.205,0.439,0.106,0.136
1724,1.522,1.448,1.7,51.701,11.493,4.164,18.125,0.433,0.104,0.134
1732,1.5,1.456,0.6,51.779,11.632,4.162,18.129,0.456,0.103,0.132
1762,1.478,1.464,0.2,51.609,11.58,4.159,18.103,0.449,0.101,0.13
1772,1.457,1.471,0.5,51.443,11.5,4.129,18.127,0.443,0.1,0.129
1809,1.437,1.507,1.0,51.394,11.451,4.113,18.113,0.437,0.099,0.127
1829,1.417,1.528,0.5,51.417,11.444,4.097,18.115,0.431,0.097,0.125
1849,1.397,1.548,0.3,51.507,11.384,4.068,18.06,0.425,0.096,0.123
1863,1.378,1.541,1.4,51.378,11.297,4.014,18.069,0.419,0.095,0.122
1885,1.387,1.52,0.8,51.347,11.333,4.013,18.06,0.44,0.093,0.12
