ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
25,3.0,0.0,2.9,64.0,11.0,5.0,0.455,1.0,19.3,1.0,2.0,2.0,0.0
56,4.0,1.0,0.7,46.0,7.5,4.5,0.727,0.8,24.7,0.5,2.5,2.5,0.0
68,3.0,0.667,2.9,45.333,7.0,3.667,0.596,0.867,26.3,0.667,1.667,1.667,0.0
86,3.25,0.75,1.6,42.25,7.5,4.5,0.641,0.838,23.45,0.5,1.5,1.5,0.0
104,2.6,1.2,1.4,42.6,8.2,4.4,0.586,0.815,22.02,0.4,1.2,1.2,0.0
133,2.5,1.167,1.7,47.0,9.0,4.333,0.539,0.68,21.417,0.5,1.0,1.0,0.0
148,2.429,1.0,1.9,46.571,10.0,4.143,0.489,0.725,21.014,0.429,1.0,1.0,0.0
162,2.25,1.0,0.6,49.0,10.75,3.875,0.444,0.635,20.938,0.625,0.875,1.0,0.0
193,2.222,1.0,1.2,49.778,10.556,3.778,0.431,0.62,20.856,0.556,0.778,0.889,0.0
211,2.1,1.0,1.4,51.3,11.4,4.0,0.42,0.608,20.91,0.7,0.7,0.8,0.0
222,2.091,0.909,0.8,50.545,11.182,4.091,0.432,0.643,20.427,0.636,0.636,0.727,0.0
244,1.917,0.833,1.1,51.0,11.333,4.0,0.415,0.673,20.375,0.667,0.583,0.667,0.0
260,1.923,0.846,1.2,50.846,11.692,4.231,0.417,0.66,20.4,0.692,0.538,0.615,0.0
269,1.857,0.857,0.9,51.571,12.0,4.214,0.405,0.674,20.371,0.643,0.5,0.571,0.0
306,1.867,0.867,0.9,52.333,11.733,4.2,0.411,0.662,20.153,0.6,0.467,0.533,0.0
329,1.875,1.0,1.9,53.0,11.938,4.188,0.402,0.637,19.906,0.562,0.438,0.5,0.0
348,1.824,1.0,0.9,54.0,12.588,4.471,0.402,0.628,19.829,0.588,0.412,0.471,0.059
364,1.833,1.0,0.8,53.611,12.556,4.389,0.393,0.594,19.856,0.611,0.389,0.444,0.056
405,1.0,4.0,1.5,48.0,5.0,1.0,0.2,0.429,14.3,0.0,0.0,0.0,0.0
429,1.5,2.5,1.6,51.5,7.0,2.0,0.267,0.548,15.15,0.0,0.0,0.0,0.5
447,1.333,2.333,1.2,55.333,9.333,2.333,0.249,0.532,16.733,0.0,0.0,0.0,0.667
469,1.5,2.25,1.5,51.5,9.25,3.0,0.326,0.524,17.025,0.0,0.0,0.0,0.5
488,1.6,2.0,0.7,50.4,9.4,3.6,0.381,0.579,18.0,0.0,0.0,0.0,0.4
515,1.5,1.833,1.5,49.333,9.333,3.5,0.373,0.616,17.75,0.0,0.0,0.0,0.333
528,1.571,1.857,1.1,50.143,10.143,3.857,0.377,0.63,17.686,0.0,0.0,0.0,0.286
550,1.5,1.875,2.7,51.25,10.375,3.875,0.371,0.614,17.462,0.0,0.0,0.0,0.25
603,1.667,2.333,0.5,48.667,10.778,4.333,0.393,0.546,17.4,0.111,0.0,0.0,0.444
624,1.5,2.3,1.7,47.4,10.2,4.0,0.374,0.573,17.39,0.2,0.0,0.0,0.4
637,1.455,2.273,1.5,48.818,10.818,4.273,0.378,0.551,17.591,0.273,0.0,0.0,0.364
660,1.5,2.083,0.4,49.333,11.75,4.417,0.369,0.588,17.6,0.333,0.0,0.0,0.333
675,1.385,2.077,0.8,49.692,11.308,4.308,0.379,0.594,17.408,0.308,0.0,0.0,0.385
694,1.357,2.0,0.6,49.429,11.286,4.214,0.371,0.609,17.357,0.286,0.0,0.0,0.357
697,1.333,2.0,0.9,50.667,11.067,4.067,0.363,0.616,17.293,0.267,0.0,0.0,0.333
719,1.312,1.938,0.5,51.438,11.062,4.0,0.358,0.619,17.244,0.25,0.0,0.0,0.312
742,1.294,2.0,2.5,51.941,10.765,3.882,0.356,0.616,17.429,0.235,0.0,0.0,0.294
750,1.5,1.944,0.1,52.333,10.889,4.056,0.366,0.627,17.372,0.222,0.0,0.0,0.278
795,2.0,4.0,2.5,50.0,6.0,2.0,0.333,0.429,14.6,0.0,0.0,0.0,0.0
819,1.5,3.0,1.4,52.5,11.5,3.5,0.314,0.464,16.25,0.0,0.0,0.0,0.0
825,1.667,3.667,1.8,50.667,9.667,3.667,0.431,0.476,15.767,0.0,0.0,0.0,0.333
840,1.75,4.25,1.0,52.0,11.75,4.25,0.407,0.471,17.5,0.0,0.25,0.25,0.25
873,1.6,3.8,0.9,52.6,11.2,4.4,0.437,0.477,16.64,0.2,0.2,0.2,0.2
891,2.0,3.167,2.3,50.5,10.167,4.333,0.497,0.564,16.317,0.167,0.167,0.167,0.167
899,2.0,2.714,1.8,50.571,11.857,4.857,0.478,0.626,16.486,0.143,0.143,0.143,0.143
918,2.0,2.375,1.0,50.0,11.375,4.875,0.496,0.673,17.088,0.125,0.125,0.25,0.125
942,1.889,2.333,1.0,49.222,10.889,4.556,0.473,0.665,16.533,0.111,0.111,0.222,0.111
965,1.7,2.3,2.6,50.4,10.4,4.2,0.442,0.658,16.68,0.1,0.1,0.2,0.1
990,1.909,2.273,1.6,49.273,10.273,4.273,0.453,0.644,16.555,0.091,0.091,0.182,0.091
1008,1.75,2.333,1.9,48.75,11.0,4.167,0.428,0.642,16.758,0.167,0.083,0.167,0.083
1025,1.615,2.231,1.3,50.0,11.0,3.846,0.395,0.651,16.685,0.154,0.077,0.154,0.154
1036,1.571,2.143,0.2,49.786,11.214,3.643,0.372,0.64,16.693,0.143,0.071,0.143,0.143
