ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
16,3.0,0.0,1.2,64.0,11.0,5.0,0.455,1.0,19.3,1.0,2.0,2.0,0.0
25,3.5,1.0,2.9,65.5,12.5,5.5,0.442,0.8,16.9,0.5,1.0,1.0,0.0
33,4.0,1.333,0.6,53.0,9.667,5.0,0.628,0.733,21.3,0.333,1.667,1.667,0.0
46,3.0,1.75,0.6,57.0,8.25,3.75,0.471,0.675,20.525,0.25,1.25,1.25,0.0
56,2.4,1.6,0.7,55.6,8.8,4.0,0.468,0.69,20.26,0.6,1.0,1.0,0.0
68,2.167,1.333,2.9,53.667,8.333,3.667,0.445,0.742,21.8,0.667,0.833,0.833,0.0
76,2.429,1.286,2.0,50.714,8.429,4.143,0.493,0.743,20.814,0.571,0.857,0.857,0.0
86,2.25,1.125,1.6,50.5,8.375,3.75,0.447,0.775,21.062,0.5,0.875,1.0,0.0
97,2.0,1.333,1.2,49.778,8.667,3.778,0.437,0.77,20.533,0.444,0.778,0.889,0.0
104,1.9,1.4,1.4,51.6,9.4,3.7,0.412,0.743,20.29,0.5,0.7,0.8,0.1
117,1.909,1.364,1.5,53.182,9.727,3.727,0.403,0.675,20.118,0.545,0.636,0.727,0.091
120,2.0,1.25,0.8,53.25,10.167,3.917,0.403,0.702,19.8,0.5,0.583,0.667,0.083
133,1.846,1.308,1.7,53.846,10.462,3.769,0.383,0.7,19.854,0.462,0.538,0.615,0.077
138,1.857,1.214,0.9,53.143,10.857,3.714,0.369,0.721,19.764,0.429,0.571,0.643,0.071
148,1.867,1.267,1.9,53.2,10.8,3.6,0.358,0.706,19.62,0.467,0.533,0.6,0.067
162,1.812,1.25,0.6,54.0,11.125,3.5,0.343,0.662,19.669,0.562,0.5,0.625,0.062
175,1.824,1.235,2.2,54.118,11.0,3.471,0.342,0.653,19.7,0.529,0.471,0.588,0.059
181,1.833,1.167,1.4,53.722,11.278,3.5,0.337,0.672,19.444,0.5,0.444,0.556,0.056
193,1.842,1.105,1.2,52.789,11.105,3.632,0.359,0.689,19.321,0.474,0.421,0.526,0.053
203,1.8,1.1,1.8,53.4,11.5,3.75,0.357,0.68,19.425,0.55,0.4,0.5,0.05
