ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
104,1.9,1.4,1.4,51.6,9.4,3.7,0.412,0.743,20.29,0.5,0.7,0.8,0.1
117,1.8,1.5,1.5,52.1,9.6,3.6,0.398,0.643,20.2,0.5,0.5,0.6,0.1
120,1.7,1.3,0.8,50.8,9.7,3.6,0.395,0.683,20.38,0.5,0.5,0.6,0.1
133,1.2,1.3,1.7,54.1,10.7,3.4,0.309,0.689,19.42,0.5,0.2,0.3,0.1
138,1.4,1.0,0.9,51.6,11.9,3.7,0.328,0.739,19.46,0.5,0.3,0.4,0.1
148,1.6,1.1,1.9,52.0,11.8,3.4,0.303,0.714,19.3,0.4,0.3,0.4,0.1
162,1.6,1.2,0.6,54.2,12.8,3.4,0.282,0.614,18.39,0.5,0.3,0.5,0.1
175,1.4,1.2,2.2,56.5,12.8,3.0,0.237,0.589,18.92,0.5,0.2,0.4,0.1
181,1.5,1.2,1.4,56.3,13.6,3.3,0.25,0.589,18.15,0.5,0.1,0.2,0.1
193,1.7,0.9,1.2,55.5,13.3,3.5,0.288,0.617,18.23,0.5,0.1,0.2,0.1
203,1.7,0.8,1.8,55.2,13.6,3.8,0.301,0.617,18.56,0.6,0.1,0.2,0.0
211,1.6,1.0,1.4,53.4,14.1,4.2,0.315,0.667,18.65,0.6,0.1,0.2,0.0
222,1.5,1.0,0.8,52.3,13.5,4.1,0.33,0.667,18.58,0.6,0.1,0.2,0.0
226,1.5,0.8,1.9,51.8,13.4,4.2,0.339,0.7,18.51,0.7,0.1,0.2,0.0
244,1.6,0.9,1.1,51.2,12.9,4.5,0.375,0.675,18.49,0.8,0.0,0.1,0.0
254,1.6,0.8,0.4,50.7,13.5,5.0,0.399,0.675,18.8,0.8,0.0,0.1,0.0
260,1.6,1.0,1.2,48.5,12.7,5.1,0.424,0.675,18.57,0.6,0.0,0.0,0.1
269,1.5,1.0,0.9,49.0,13.4,5.2,0.415,0.711,18.55,0.6,0.0,0.0,0.1
283,1.5,1.1,4.0,50.6,12.6,5.2,0.44,0.661,18.75,0.6,0.0,0.0,0.1
293,1.8,1.1,0.3,54.1,13.7,5.5,0.413,0.561,18.67,0.6,0.0,0.0,0.1
306,1.7,1.2,0.9,52.0,12.3,5.1,0.421,0.561,18.46,0.4,0.0,0.0,0.1
320,1.8,1.2,2.1,53.2,12.0,4.7,0.403,0.536,18.15,0.3,0.0,0.0,0.1
328,1.9,1.2,1.5,56.1,12.8,4.9,0.389,0.536,18.64,0.4,0.0,0.0,0.1
329,2.1,1.3,1.9,57.1,12.8,5.1,0.404,0.486,18.36,0.4,0.0,0.0,0.1
338,1.9,1.3,2.2,60.3,14.0,5.4,0.389,0.461,18.38,0.4,0.0,0.0,0.2
348,1.9,1.6,0.9,62.2,14.9,5.6,0.381,0.444,17.93,0.4,0.0,0.0,0.2
364,2.0,1.4,0.8,62.5,15.3,5.6,0.369,0.444,18.15,0.5,0.0,0.0,0.1
371,2.0,1.5,1.9,60.6,14.4,5.5,0.387,0.418,18.05,0.5,0.0,0.0,0.2
384,2.0,1.8,0.5,59.0,14.4,5.5,0.387,0.368,18.6,0.5,0.2,0.2,0.2
400,1.6,1.8,0.6,57.5,13.4,5.1,0.395,0.468,18.68,0.5,0.2,0.2,0.2
405,1.7,2.0,1.5,57.9,13.4,5.0,0.375,0.461,18.18,0.5,0.2,0.2,0.2
416,1.7,1.8,0.6,57.1,12.8,4.9,0.382,0.503,18.16,0.5,0.2,0.2,0.3
429,1.4,1.9,1.6,53.8,11.7,4.3,0.357,0.49,17.32,0.4,0.2,0.2,0.3
433,1.3,2.0,2.4,53.5,11.8,4.1,0.34,0.49,17.61,0.3,0.2,0.2,0.4
447,1.4,2.1,1.2,53.1,11.7,3.6,0.319,0.474,17.43,0.2,0.2,0.2,0.3
452,1.4,1.9,2.4,50.3,10.1,3.2,0.339,0.49,17.6,0.1,0.2,0.2,0.3
469,1.6,2.0,1.5,50.5,11.1,4.0,0.364,0.557,17.41,0.1,0.2,0.2,0.3
471,1.7,1.9,1.3,50.9,11.4,4.3,0.381,0.577,17.7,0.1,0.2,0.2,0.2
488,1.5,1.7,0.7,52.6,12.2,4.7,0.381,0.637,17.17,0.3,0.0,0.0,0.2
491,1.5,1.8,0.4,51.4,12.2,4.5,0.358,0.617,17.11,0.3,0.0,0.0,0.2
506,1.4,1.7,2.1,50.5,12.1,4.7,0.413,0.631,18.12,0.3,0.0,0.0,0.2
515,1.6,1.8,1.5,50.6,13.0,5.2,0.425,0.615,17.98,0.3,0.0,0.0,0.2
528,1.8,1.9,1.1,52.2,13.9,5.7,0.448,0.599,18.5,0.3,0.0,0.0,0.2
537,1.8,1.9,2.6,51.8,13.7,5.8,0.46,0.599,18.1,0.3,0.0,0.0,0.1
550,2.0,1.7,2.7,49.9,12.2,5.8,0.499,0.665,18.33,0.4,0.1,0.1,0.1
560,2.1,2.1,0.4,48.7,12.7,6.1,0.5,0.615,18.23,0.5,0.1,0.1,0.3
583,1.8,1.9,1.2,47.5,11.1,5.1,0.467,0.649,17.88,0.4,0.1,0.1,0.4
593,1.8,2.1,1.4,47.8,11.5,4.9,0.436,0.631,17.51,0.4,0.1,0.1,0.4
603,1.9,2.0,0.5,45.8,11.4,4.6,0.419,0.646,17.76,0.3,0.1,0.1,0.4
613,1.8,2.1,1.4,45.0,11.0,4.4,0.406,0.648,17.84,0.4,0.1,0.1,0.4
624,2.0,2.0,1.7,46.6,11.8,4.2,0.339,0.624,17.36,0.4,0.2,0.2,0.4
637,1.7,2.0,1.5,47.3,11.7,4.1,0.336,0.607,17.86,0.5,0.2,0.2,0.3
638,1.7,1.8,0.4,47.3,12.4,4.1,0.323,0.636,17.9,0.6,0.2,0.2,0.3
660,1.7,1.6,0.4,46.5,11.9,4.1,0.347,0.686,18.22,0.6,0.2,0.2,0.3
667,1.3,1.8,1.0,47.2,11.8,4.0,0.34,0.653,17.82,0.5,0.1,0.1,0.4
675,1.2,1.3,0.8,49.6,11.6,3.6,0.316,0.736,18.05,0.5,0.1,0.1,0.2
688,1.2,1.4,1.0,50.5,12.1,3.8,0.326,0.716,18.23,0.5,0.1,0.1,0.1
694,1.2,1.2,0.6,50.7,11.9,3.7,0.323,0.703,18.52,0.7,0.1,0.1,0.2
697,1.2,1.3,0.9,53.1,11.2,3.4,0.315,0.7,18.18,0.6,0.1,0.1,0.2
703,1.3,1.2,0.3,55.8,11.8,3.6,0.322,0.685,18.1,0.5,0.1,0.1,0.2
719,1.1,1.0,0.5,56.7,11.1,3.7,0.353,0.751,18.56,0.7,0.0,0.0,0.2
730,1.1,1.1,1.5,56.4,10.0,3.2,0.346,0.775,18.64,0.6,0.0,0.0,0.2
736,1.0,1.3,2.0,57.5,9.4,3.4,0.368,0.725,18.85,0.5,0.0,0.0,0.2
742,1.2,1.3,2.5,58.9,10.7,3.8,0.351,0.725,18.79,0.5,0.0,0.0,0.2
750,1.7,1.2,0.1,59.4,11.4,4.2,0.355,0.739,18.92,0.5,0.0,0.0,0.1
755,1.6,1.2,3.4,57.5,10.4,3.9,0.372,0.741,19.51,0.4,0.0,0.0,0.1
768,1.9,1.2,0.6,58.0,10.5,4.2,0.394,0.661,19.12,0.4,0.0,0.0,0.2
772,1.9,1.3,0.5,58.5,10.7,4.4,0.405,0.644,19.32,0.2,0.0,0.0,0.1
784,2.0,1.5,0.3,56.7,10.5,4.4,0.413,0.616,19.14,0.2,0.0,0.0,0.1
795,2.0,1.6,2.5,56.6,10.0,4.2,0.403,0.582,19.27,0.3,0.0,0.0,0.1
810,2.1,1.8,0.7,55.7,11.2,4.5,0.392,0.532,18.64,0.1,0.0,0.0,0.1
819,2.0,1.6,1.4,55.0,11.6,4.5,0.379,0.525,18.95,0.3,0.0,0.0,0.1
825,2.1,1.9,1.8,53.1,10.6,4.1,0.396,0.525,18.45,0.3,0.0,0.0,0.2
837,2.0,2.5,1.3,52.2,10.4,3.9,0.389,0.471,18.87,0.3,0.1,0.1,0.2
840,1.9,2.4,1.0,51.4,10.8,3.9,0.376,0.491,19.0,0.4,0.1,0.1,0.2
849,1.9,2.5,1.0,53.6,11.5,4.3,0.382,0.455,17.81,0.5,0.1,0.1,0.2
866,1.5,2.4,0.8,53.9,11.7,4.2,0.368,0.555,18.47,0.6,0.1,0.1,0.1
873,1.5,2.2,0.9,52.9,10.8,3.8,0.352,0.622,17.93,0.6,0.1,0.1,0.1
877,1.7,1.8,0.7,51.9,10.7,4.0,0.399,0.679,17.94,0.6,0.1,0.1,0.1
891,1.6,1.7,2.3,49.3,11.1,4.4,0.432,0.725,17.8,0.5,0.1,0.1,0.1
899,1.7,1.5,1.8,48.9,11.6,4.7,0.439,0.775,17.76,0.5,0.1,0.1,0.1
910,1.9,1.4,0.5,48.2,11.4,5.0,0.481,0.825,17.54,0.3,0.1,0.2,0.1
918,1.7,1.2,1.0,49.5,11.6,4.8,0.44,0.8,18.07,0.3,0.1,0.2,0.1
930,1.6,0.8,1.7,48.2,10.5,4.4,0.435,0.815,17.01,0.3,0.0,0.1,0.1
942,1.2,0.9,1.0,49.2,10.3,4.3,0.434,0.765,17.13,0.3,0.0,0.1,0.1
954,1.1,0.9,0.9,49.8,10.0,3.9,0.395,0.775,17.61,0.2,0.0,0.1,0.1
965,1.3,1.1,2.6,48.1,9.5,3.6,0.381,0.725,16.88,0.2,0.0,0.1,0.1
975,1.5,1.3,1.7,47.3,9.9,4.0,0.417,0.675,16.64,0.2,0.0,0.1,0.1
990,1.5,1.4,1.6,48.2,10.9,4.2,0.377,0.65,16.73,0.2,0.0,0.1,0.1
994,1.5,1.6,0.0,48.9,11.8,4.0,0.343,0.633,16.99,0.3,0.0,0.1,0.1
1008,1.3,1.7,1.9,47.3,9.7,3.2,0.306,0.582,18.18,0.3,0.0,0.1,0.1
1013,1.1,1.8,2.4,49.2,10.0,2.7,0.244,0.558,17.63,0.3,0.0,0.0,0.2
1025,1.2,1.8,1.3,48.0,10.9,3.1,0.254,0.582,17.45,0.4,0.0,0.0,0.1
1036,1.2,1.7,0.2,48.4,11.6,3.0,0.233,0.572,17.92,0.4,0.0,0.0,0.1
1042,1.3,1.8,0.5,47.1,10.4,2.6,0.259,0.6,17.41,0.3,0.0,0.0,0.1
1050,1.4,1.8,0.6,44.6,10.7,2.9,0.287,0.6,17.28,0.4,0.0,0.0,0.1
1063,1.2,1.7,2.3,46.0,11.2,3.1,0.293,0.636,17.76,0.3,0.0,0.0,0.1
1069,0.9,1.8,2.4,45.2,11.4,3.0,0.274,0.586,17.66,0.3,0.0,0.0,0.2
1077,0.7,1.8,2.1,44.5,11.3,3.0,0.277,0.578,18.0,0.3,0.1,0.1,0.2
1093,0.8,1.6,3.4,46.1,10.9,3.0,0.281,0.582,17.44,0.3,0.1,0.1,0.2
1105,1.0,1.7,2.8,48.0,12.2,3.4,0.31,0.603,16.39,0.3,0.1,0.2,0.3
1117,1.3,2.1,0.4,45.8,12.7,4.1,0.354,0.557,16.9,0.5,0.2,0.4,0.2
1128,1.2,2.1,0.1,44.4,11.4,3.9,0.418,0.547,16.41,0.4,0.2,0.4,0.2
1138,1.1,2.0,1.4,42.0,10.1,3.9,0.511,0.597,15.83,0.4,0.2,0.4,0.2
1530,1.2,1.9,1.0,42.0,11.1,4.1,0.475,0.586,16.2,0.4,0.2,0.4,0.2
1533,1.2,1.8,0.6,41.4,10.9,4.0,0.474,0.609,16.17,0.3,0.2,0.4,0.2
1542,1.3,1.9,0.4,40.9,10.5,4.0,0.485,0.59,16.73,0.4,0.2,0.4,0.2
1556,1.3,1.8,1.2,43.6,10.3,3.9,0.482,0.65,17.36,0.4,0.2,0.4,0.1
1562,1.3,1.9,0.7,42.8,9.8,3.7,0.484,0.617,17.38,0.4,0.1,0.3,0.2
1575,1.3,1.9,0.3,42.7,9.5,3.6,0.48,0.63,17.64,0.3,0.1,0.3,0.2
1584,1.3,2.1,0.8,39.9,8.6,3.5,0.512,0.634,17.2,0.3,0.1,0.2,0.1
1592,1.1,1.6,3.1,40.1,7.6,3.0,0.501,0.705,16.99,0.1,0.0,0.0,0.1
1601,1.4,1.5,0.8,42.5,8.9,2.9,0.419,0.736,17.3,0.1,0.1,0.1,0.1
1615,1.5,1.8,1.5,46.7,9.9,2.9,0.328,0.676,18.35,0.1,0.1,0.1,0.1
1629,1.4,1.8,0.6,47.6,10.6,3.0,0.322,0.66,18.27,0.1,0.1,0.1,0.1
1631,1.3,2.0,1.1,49.5,10.5,3.2,0.363,0.576,19.0,0.1,0.1,0.1,0.1
1643,1.3,2.0,1.1,48.6,9.8,2.8,0.323,0.576,18.63,0.0,0.2,0.2,0.1
1652,1.3,2.2,1.7,46.9,9.6,2.8,0.332,0.55,18.26,0.0,0.2,0.2,0.1
1667,1.4,2.1,1.3,47.4,9.5,3.0,0.363,0.604,17.61,0.0,0.2,0.2,0.0
1672,1.5,2.2,0.2,47.2,9.3,3.1,0.376,0.595,17.46,0.1,0.2,0.2,0.0
1685,1.3,2.2,0.8,48.7,9.2,2.9,0.341,0.584,17.67,0.1,0.2,0.2,0.0
1697,1.2,2.5,0.3,49.6,9.5,3.1,0.352,0.509,17.36,0.1,0.2,0.2,0.0
1700,1.0,2.6,1.3,47.0,8.2,2.9,0.36,0.495,17.33,0.1,0.1,0.1,0.0
1711,0.9,2.5,0.4,45.8,8.2,3.1,0.378,0.515,16.47,0.1,0.1,0.1,0.0
1724,0.9,2.6,1.7,44.1,6.6,2.8,0.403,0.525,16.05,0.1,0.1,0.1,0.0
1732,0.9,2.5,0.6,44.9,8.1,2.7,0.339,0.575,15.52,0.3,0.1,0.1,0.0
1746,0.8,2.5,1.6,45.2,8.6,3.1,0.389,0.508,15.27,0.3,0.0,0.0,0.0
1752,0.9,2.2,0.3,45.1,9.1,3.1,0.371,0.558,15.52,0.3,0.0,0.0,0.0
1762,0.6,2.5,0.2,46.4,9.2,2.6,0.307,0.513,16.06,0.4,0.0,0.0,0.0
1772,0.4,2.5,0.5,44.8,8.8,2.5,0.31,0.502,16.59,0.3,0.0,0.0,0.0
1791,0.4,2.5,0.4,45.5,9.2,2.7,0.323,0.472,16.64,0.3,0.0,0.0,0.0
1799,0.4,2.4,0.1,44.3,9.3,2.5,0.298,0.447,17.18,0.4,0.0,0.0,0.0
1809,0.3,2.2,1.0,45.5,9.2,2.7,0.373,0.473,17.69,0.4,0.0,0.0,0.1
1814,0.3,2.3,0.1,45.5,9.2,2.7,0.373,0.453,18.23,0.4,0.0,0.0,0.1
1829,0.2,2.3,0.5,44.3,9.0,2.5,0.323,0.453,18.66,0.4,0.0,0.0,0.1
1832,0.2,2.4,1.5,44.4,7.6,2.3,0.333,0.443,18.23,0.2,0.0,0.0,0.1
1849,0.4,2.4,0.3,44.5,8.3,2.5,0.323,0.503,17.97,0.2,0.0,0.0,0.3
1856,0.2,2.4,1.1,44.8,7.6,2.2,0.298,0.507,17.9,0.2,0.0,0.0,0.3
1863,0.2,2.3,1.4,44.0,7.4,2.2,0.301,0.504,18.13,0.1,0.0,0.1,0.3
1879,0.4,2.1,1.1,44.9,8.2,2.4,0.296,0.544,17.89,0.3,0.0,0.1,0.3
1885,0.6,1.9,0.8,44.6,8.4,2.7,0.319,0.561,17.55,0.3,0.0,0.1,0.3
1896,0.8,1.7,0.3,45.4,8.3,2.8,0.332,0.661,16.88,0.2,0.0,0.1,0.3
