ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
203,1.5,1.2,1.8,55.5,11.6,3.5,0.294,0.752,17.94,0.4,0.1,0.2,0.1
226,1.2,1.3,1.9,53.9,12.0,3.7,0.295,0.742,18.42,0.5,0.1,0.2,0.1
254,1.5,1.1,0.4,50.8,12.7,4.3,0.35,0.767,18.44,0.6,0.1,0.2,0.1
283,1.6,1.3,4.0,50.2,12.4,4.1,0.342,0.692,18.33,0.4,0.1,0.2,0.2
293,2.0,1.3,0.3,52.4,13.5,4.9,0.377,0.592,17.68,0.4,0.0,0.0,0.2
320,1.9,1.3,2.1,50.0,12.4,4.8,0.398,0.592,17.8,0.3,0.0,0.0,0.1
328,1.9,1.3,1.5,51.8,12.6,4.9,0.399,0.592,18.22,0.4,0.0,0.0,0.1
338,2.1,1.2,2.2,52.3,12.5,5.2,0.423,0.575,17.87,0.5,0.0,0.0,0.1
371,2.1,1.4,1.9,53.7,14.0,5.9,0.439,0.558,17.73,0.5,0.0,0.0,0.1
384,2.1,1.8,0.5,53.7,13.2,5.9,0.464,0.458,18.48,0.5,0.2,0.2,0.1
416,2.0,1.8,0.6,55.7,13.3,5.8,0.445,0.458,18.48,0.5,0.2,0.2,0.1
433,1.9,1.6,2.4,54.5,12.1,5.1,0.417,0.496,17.76,0.4,0.2,0.2,0.1
452,1.8,1.7,2.4,57.3,13.2,4.9,0.381,0.454,17.6,0.3,0.2,0.2,0.1
471,2.1,1.6,1.3,57.8,14.6,5.7,0.393,0.521,17.63,0.4,0.2,0.2,0.0
491,1.6,1.8,0.4,57.1,14.3,5.6,0.396,0.581,17.73,0.6,0.2,0.2,0.0
506,1.6,1.9,2.1,56.6,14.2,5.7,0.431,0.588,18.24,0.6,0.2,0.2,0.0
537,1.7,2.1,2.6,55.0,14.3,5.8,0.434,0.538,17.65,0.5,0.2,0.2,0.1
560,1.9,2.0,0.4,53.1,13.7,5.7,0.453,0.588,17.86,0.5,0.3,0.3,0.1
583,1.8,1.6,1.2,50.0,11.8,4.9,0.434,0.655,17.73,0.4,0.3,0.3,0.2
593,1.8,1.5,1.4,50.2,12.4,4.9,0.412,0.717,17.29,0.4,0.1,0.1,0.2
613,1.8,1.6,1.4,49.0,13.0,4.9,0.39,0.692,17.56,0.5,0.1,0.1,0.2
638,2.0,1.7,0.4,50.6,13.6,4.9,0.382,0.638,18.31,0.5,0.2,0.2,0.2
667,1.9,1.5,1.0,49.1,12.1,4.9,0.421,0.705,18.54,0.5,0.2,0.2,0.2
688,1.7,1.4,1.0,49.4,11.1,4.2,0.404,0.721,18.62,0.5,0.2,0.2,0.2
703,1.9,1.3,0.3,48.1,10.7,3.7,0.379,0.711,19.0,0.5,0.2,0.2,0.3
730,1.9,1.0,1.5,50.6,10.8,3.6,0.344,0.754,18.98,0.7,0.2,0.2,0.3
736,1.6,1.0,2.0,51.6,10.6,3.6,0.35,0.754,19.5,0.7,0.2,0.2,0.2
755,1.5,1.0,3.4,53.4,11.9,4.0,0.332,0.754,19.44,0.6,0.1,0.1,0.2
768,1.8,1.1,0.6,54.8,12.5,4.5,0.366,0.654,19.23,0.6,0.1,0.1,0.2
784,1.8,1.0,0.3,55.5,12.5,4.6,0.373,0.625,19.72,0.6,0.1,0.1,0.2
810,1.8,1.1,0.7,57.3,11.6,4.2,0.356,0.583,19.52,0.6,0.1,0.1,0.2
837,1.6,1.0,1.3,57.1,11.4,4.3,0.368,0.6,19.91,0.8,0.0,0.0,0.2
849,1.9,1.0,1.0,57.1,12.4,4.6,0.352,0.6,19.77,0.9,0.0,0.0,0.2
866,1.7,0.9,0.8,57.3,12.6,4.7,0.354,0.617,19.79,0.9,0.0,0.0,0.2
877,1.7,0.8,0.7,56.8,11.9,4.5,0.349,0.667,19.45,0.7,0.0,0.0,0.1
910,1.7,0.9,0.5,54.0,12.4,4.8,0.359,0.647,18.67,0.5,0.0,0.0,0.1
930,1.6,1.0,1.7,53.4,11.6,4.2,0.334,0.622,18.7,0.5,0.0,0.0,0.2
954,1.3,1.1,0.9,53.0,11.1,4.0,0.334,0.572,18.74,0.6,0.0,0.0,0.2
975,1.1,1.2,1.7,51.6,10.8,3.6,0.306,0.622,18.67,0.7,0.0,0.0,0.1
994,1.3,1.1,0.0,50.9,10.9,3.7,0.311,0.663,17.92,0.7,0.0,0.0,0.1
1013,1.2,1.0,2.4,48.2,10.4,3.6,0.294,0.68,19.08,0.6,0.0,0.0,0.1
1042,1.3,1.2,0.5,47.7,11.1,4.0,0.309,0.68,18.56,0.5,0.0,0.0,0.1
1050,1.0,1.4,0.6,46.2,10.3,3.7,0.313,0.64,18.46,0.5,0.0,0.0,0.1
1069,1.0,1.5,2.4,45.9,10.3,3.6,0.306,0.626,18.21,0.4,0.0,0.0,0.1
1093,1.0,1.6,3.4,45.5,11.2,4.1,0.328,0.592,18.34,0.4,0.1,0.1,0.1
1117,1.2,1.7,0.4,47.3,11.6,4.0,0.307,0.584,18.59,0.4,0.1,0.2,0.2
1138,1.2,1.7,1.4,44.7,11.2,4.2,0.382,0.599,17.92,0.4,0.1,0.2,0.1
1530,1.4,1.7,1.0,43.4,11.0,4.0,0.373,0.615,17.78,0.3,0.1,0.2,0.1
1542,1.3,1.6,0.4,42.7,10.8,4.1,0.393,0.649,18.21,0.2,0.1,0.2,0.1
1562,1.0,1.7,0.7,43.5,10.2,3.8,0.387,0.634,18.71,0.2,0.1,0.2,0.1
1584,1.1,1.7,0.8,45.8,11.3,4.0,0.403,0.664,17.37,0.2,0.1,0.2,0.1
1601,1.1,1.4,0.8,45.5,10.2,3.6,0.401,0.714,17.42,0.1,0.1,0.2,0.1
1631,1.1,1.5,1.1,48.4,10.4,3.3,0.366,0.694,17.9,0.0,0.1,0.2,0.1
1652,1.2,1.6,1.7,47.0,9.3,2.9,0.337,0.675,18.09,0.0,0.2,0.3,0.1
1667,1.3,1.6,1.3,46.7,8.7,2.9,0.37,0.696,17.46,0.0,0.1,0.2,0.1
1685,1.3,1.6,0.8,46.9,8.3,2.8,0.371,0.696,17.02,0.1,0.1,0.1,0.0
1700,1.3,1.6,1.3,48.9,8.8,2.8,0.315,0.681,17.25,0.1,0.1,0.1,0.0
1724,1.1,1.7,1.7,49.4,8.6,2.7,0.312,0.674,16.79,0.1,0.1,0.1,0.0
1732,1.0,1.8,0.6,52.1,10.0,2.8,0.288,0.641,16.99,0.3,0.1,0.1,0.0
1762,0.9,1.8,0.2,50.4,9.9,2.9,0.305,0.581,16.56,0.3,0.1,0.1,0.0
1772,0.8,1.9,0.5,48.6,9.3,2.9,0.322,0.561,16.94,0.3,0.1,0.1,0.0
1809,0.7,2.3,1.0,48.9,9.5,3.0,0.326,0.494,16.77,0.3,0.1,0.1,0.0
1829,0.6,2.3,0.5,47.7,9.5,3.2,0.344,0.494,16.45,0.3,0.1,0.1,0.0
1849,0.5,2.4,0.3,49.8,9.9,3.4,0.372,0.467,15.98,0.3,0.0,0.0,0.0
1863,0.2,2.4,1.4,50.1,9.6,2.8,0.297,0.467,16.58,0.3,0.0,0.0,0.0
1885,0.2,2.2,0.8,49.4,10.0,2.9,0.296,0.496,16.87,0.4,0.0,0.0,0.0
