ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
204,1.9,1.4,2.0,62.0,13.6,4.9,0.365,0.676,17.9,0.7,0.2,0.2,0.4
226,2.0,1.364,1.7,62.455,13.636,4.909,0.364,0.66,17.7,0.636,0.182,0.182,0.364
257,1.917,1.5,2.7,62.417,13.75,4.833,0.356,0.647,17.508,0.75,0.167,0.167,0.333
286,1.923,1.385,0.9,62.231,13.923,5.077,0.367,0.674,17.231,0.692,0.154,0.154,0.308
294,1.857,1.286,2.4,61.143,13.786,5.0,0.364,0.697,17.157,0.643,0.143,0.143,0.286
316,1.933,1.2,1.4,61.333,13.933,5.133,0.369,0.718,17.227,0.6,0.133,0.133,0.267
352,1.875,1.188,2.7,59.938,14.125,5.25,0.372,0.723,17.219,0.562,0.125,0.125,0.25
359,2.0,1.235,1.9,59.176,14.294,5.412,0.378,0.68,17.082,0.529,0.118,0.118,0.235
369,2.0,1.222,2.6,60.111,14.944,5.444,0.37,0.679,17.15,0.556,0.111,0.111,0.222
388,2.053,1.158,1.6,60.053,15.211,5.316,0.358,0.696,17.1,0.579,0.105,0.105,0.211
419,2.1,1.1,4.3,59.55,15.4,5.35,0.356,0.712,17.11,0.6,0.1,0.1,0.2
437,2.143,1.048,2.8,59.381,16.095,5.476,0.352,0.725,17.062,0.619,0.095,0.095,0.19
451,2.182,1.136,3.3,59.727,16.091,5.455,0.35,0.692,17.059,0.636,0.091,0.091,0.182
470,2.304,1.087,3.4,60.391,16.217,5.565,0.353,0.706,17.013,0.609,0.087,0.087,0.174
490,2.417,1.042,1.2,60.458,16.333,5.667,0.356,0.718,16.996,0.583,0.083,0.083,0.167
517,2.4,1.12,2.4,60.8,16.32,5.64,0.354,0.689,16.984,0.6,0.08,0.08,0.16
522,2.462,1.115,2.7,61.038,16.308,5.692,0.357,0.682,16.965,0.615,0.077,0.077,0.154
549,2.407,1.074,1.1,61.222,16.333,5.63,0.353,0.694,16.841,0.593,0.074,0.074,0.148
560,2.393,1.107,2.3,61.036,16.393,5.643,0.352,0.69,16.836,0.571,0.071,0.071,0.143
570,2.31,1.103,1.3,61.103,16.517,5.552,0.345,0.667,16.772,0.552,0.069,0.103,0.138
592,2.3,1.133,1.9,60.6,16.3,5.567,0.354,0.667,16.81,0.533,0.067,0.1,0.133
