ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
106,2.2,1.7,1.2,59.9,15.9,5.7,0.36,0.53,18.15,0.7,0.4,0.4,0.5
115,2.364,1.545,1.8,59.909,15.455,5.727,0.377,0.572,18.064,0.727,0.364,0.364,0.455
123,2.25,1.5,1.0,61.083,15.083,5.667,0.383,0.591,18.367,0.75,0.417,0.417,0.417
128,2.231,1.462,2.5,62.154,15.231,6.077,0.404,0.584,18.215,0.692,0.385,0.385,0.385
146,2.571,1.357,1.5,62.286,15.143,6.143,0.411,0.614,17.921,0.714,0.357,0.357,0.357
155,2.467,1.333,1.4,63.267,15.267,5.867,0.391,0.618,18.007,0.8,0.333,0.333,0.333
164,2.312,1.25,1.5,63.812,15.0,5.75,0.389,0.641,18.025,0.75,0.312,0.312,0.312
177,2.176,1.235,1.2,63.941,15.118,5.471,0.37,0.633,17.888,0.706,0.294,0.294,0.294
184,2.056,1.167,1.6,64.0,15.222,5.333,0.359,0.654,17.889,0.667,0.278,0.278,0.278
195,1.947,1.158,2.5,64.421,15.842,5.368,0.352,0.654,17.926,0.632,0.263,0.263,0.316
204,2.0,1.15,2.0,63.7,15.75,5.45,0.359,0.647,17.805,0.6,0.25,0.25,0.3
214,2.048,1.143,1.0,63.857,15.667,5.429,0.359,0.64,17.705,0.571,0.238,0.238,0.286
223,1.955,1.136,1.2,63.818,15.455,5.227,0.347,0.645,17.85,0.545,0.227,0.227,0.273
226,1.913,1.261,1.7,63.478,15.087,5.087,0.344,0.625,17.917,0.565,0.261,0.261,0.304
241,1.875,1.333,1.4,63.417,15.083,5.042,0.341,0.62,17.812,0.625,0.25,0.25,0.292
257,1.8,1.36,2.7,63.72,15.08,5.08,0.344,0.619,17.784,0.64,0.24,0.24,0.32
265,1.808,1.308,0.3,63.577,15.115,5.192,0.35,0.634,17.635,0.615,0.231,0.231,0.308
271,1.741,1.296,0.9,63.222,14.815,5.037,0.342,0.638,17.711,0.593,0.222,0.222,0.296
286,1.679,1.286,0.9,63.214,14.857,4.964,0.336,0.639,17.696,0.607,0.214,0.214,0.286
294,1.655,1.241,2.4,62.655,14.759,4.931,0.336,0.652,17.645,0.586,0.207,0.207,0.276
303,1.7,1.2,2.3,62.7,14.8,5.0,0.34,0.663,17.663,0.567,0.2,0.2,0.267
316,1.71,1.194,1.4,62.774,15.065,5.161,0.343,0.668,17.632,0.581,0.194,0.194,0.258
322,1.688,1.188,2.4,62.031,15.125,5.219,0.345,0.672,17.616,0.562,0.188,0.188,0.25
342,1.667,1.182,1.7,62.212,15.333,5.333,0.347,0.674,17.615,0.576,0.182,0.182,0.242
352,1.676,1.147,2.7,61.971,15.294,5.353,0.349,0.684,17.497,0.559,0.176,0.176,0.235
359,1.743,1.171,1.9,61.543,15.343,5.429,0.353,0.664,17.423,0.543,0.171,0.171,0.229
369,1.75,1.167,2.6,61.944,15.639,5.444,0.349,0.664,17.447,0.556,0.167,0.167,0.222
373,1.784,1.135,1.6,61.865,15.757,5.378,0.344,0.673,17.414,0.568,0.162,0.162,0.216
388,1.789,1.105,1.6,62.053,15.842,5.368,0.342,0.682,17.342,0.579,0.158,0.158,0.211
