ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
214,2.1,0.9,1.0,65.4,17.9,6.0,0.354,0.617,17.71,0.5,0.3,0.3,0.2
223,1.909,0.909,1.2,65.182,17.273,5.545,0.33,0.629,18.0,0.455,0.273,0.273,0.182
241,1.833,1.167,1.4,64.417,16.417,5.25,0.327,0.593,18.117,0.5,0.333,0.333,0.25
265,1.692,1.231,0.3,64.923,16.308,5.308,0.332,0.594,18.038,0.538,0.308,0.308,0.308
271,1.571,1.214,0.9,64.143,15.643,5.0,0.319,0.605,18.157,0.5,0.286,0.286,0.286
303,1.467,1.2,2.3,64.067,15.667,4.867,0.31,0.609,18.1,0.533,0.267,0.267,0.267
322,1.5,1.188,2.4,64.125,16.125,5.188,0.318,0.621,18.012,0.562,0.25,0.25,0.25
342,1.471,1.176,1.7,64.353,16.471,5.412,0.323,0.628,17.988,0.588,0.235,0.235,0.235
373,1.5,1.111,1.6,63.778,16.333,5.444,0.329,0.649,17.744,0.556,0.222,0.222,0.222
391,1.526,1.053,2.7,64.053,16.474,5.421,0.326,0.668,17.584,0.579,0.211,0.211,0.211
407,1.55,1.0,2.5,64.1,17.0,5.55,0.324,0.684,17.51,0.55,0.2,0.2,0.2
423,1.524,1.0,3.1,64.143,17.286,5.571,0.321,0.683,17.448,0.524,0.238,0.238,0.19
450,1.591,0.955,0.9,63.909,17.636,5.773,0.325,0.698,17.4,0.545,0.227,0.227,0.182
474,1.609,1.0,1.5,63.261,17.13,5.652,0.332,0.682,17.296,0.565,0.217,0.217,0.174
498,1.625,1.042,4.3,63.042,17.0,5.542,0.327,0.681,17.442,0.542,0.208,0.208,0.167
502,1.72,1.0,2.9,63.0,17.08,5.68,0.333,0.694,17.28,0.52,0.2,0.2,0.16
534,1.808,0.962,2.2,63.038,17.192,5.692,0.332,0.706,17.212,0.5,0.192,0.192,0.154
545,1.778,0.926,2.7,63.0,17.259,5.63,0.327,0.68,17.17,0.481,0.222,0.222,0.148
580,1.821,0.929,2.7,63.393,17.464,5.714,0.328,0.679,17.143,0.464,0.214,0.214,0.143
603,1.862,0.897,1.8,63.552,17.793,5.966,0.333,0.69,17.128,0.448,0.207,0.207,0.138
620,1.867,0.867,3.6,63.567,17.933,6.133,0.339,0.701,17.08,0.433,0.2,0.2,0.133
627,1.903,0.871,5.9,63.742,18.29,6.161,0.336,0.678,17.103,0.419,0.194,0.194,0.129
644,2.031,0.844,2.4,63.719,18.375,6.344,0.343,0.688,17.122,0.406,0.25,0.25,0.125
669,2.0,0.818,2.2,63.848,18.485,6.303,0.34,0.697,17.182,0.424,0.242,0.242,0.121
696,2.0,0.794,2.0,64.118,18.5,6.176,0.333,0.706,17.226,0.412,0.265,0.265,0.118
710,2.057,0.771,1.7,64.314,18.371,6.143,0.333,0.715,17.177,0.4,0.257,0.257,0.114
728,2.056,0.75,1.3,64.806,18.361,6.083,0.33,0.723,17.125,0.389,0.25,0.25,0.111
752,2.027,0.757,2.7,64.784,18.459,6.0,0.325,0.721,17.192,0.405,0.243,0.243,0.108
780,2.053,0.763,2.0,64.737,18.737,6.026,0.323,0.723,17.15,0.395,0.237,0.237,0.105
796,2.026,0.769,3.3,64.923,18.872,5.974,0.319,0.722,17.156,0.385,0.231,0.231,0.103
809,2.2,0.75,1.5,65.025,18.875,6.125,0.327,0.729,17.018,0.375,0.225,0.225,0.1
830,2.195,0.756,1.5,65.195,18.976,6.122,0.325,0.723,17.037,0.366,0.22,0.22,0.098
857,2.214,0.81,2.1,64.929,18.881,6.143,0.329,0.718,17.031,0.381,0.214,0.214,0.095
862,2.186,0.791,1.7,64.279,18.744,6.047,0.324,0.724,17.042,0.372,0.209,0.209,0.093
884,2.159,0.773,1.7,64.045,18.818,6.068,0.324,0.731,17.052,0.364,0.205,0.205,0.114
902,2.133,0.8,1.9,64.133,18.889,6.156,0.327,0.729,17.038,0.356,0.2,0.2,0.111
918,2.152,0.804,2.2,64.043,18.804,6.174,0.33,0.731,16.937,0.348,0.196,0.196,0.109
950,2.149,0.809,1.4,63.894,18.851,6.149,0.328,0.726,16.968,0.362,0.191,0.191,0.106
980,2.104,0.792,2.3,63.562,18.771,6.083,0.326,0.732,16.937,0.354,0.188,0.188,0.104
1001,2.102,0.776,2.6,63.469,18.694,6.082,0.327,0.737,16.933,0.367,0.184,0.184,0.102
1010,2.1,0.76,2.8,63.34,18.62,6.08,0.329,0.742,16.866,0.36,0.18,0.18,0.1
1056,2.196,0.745,3.9,63.255,18.608,6.118,0.331,0.747,16.784,0.353,0.176,0.176,0.098
1071,2.192,0.769,2.8,63.173,18.635,6.115,0.33,0.745,16.731,0.346,0.173,0.192,0.096
1092,2.208,0.792,2.2,63.491,18.623,6.094,0.329,0.742,16.651,0.34,0.17,0.189,0.094
1096,2.241,0.833,1.8,63.556,18.481,6.037,0.328,0.737,16.641,0.333,0.185,0.204,0.093
1102,2.218,0.818,2.2,63.436,18.4,5.964,0.325,0.742,16.749,0.327,0.2,0.218,0.091
1122,2.196,0.804,0.7,63.268,18.339,5.946,0.325,0.747,16.786,0.321,0.196,0.214,0.089
1154,2.175,0.807,3.0,63.316,18.193,5.93,0.328,0.745,16.811,0.316,0.193,0.211,0.105
1178,2.19,0.81,2.5,63.328,18.31,5.983,0.329,0.746,16.81,0.328,0.19,0.224,0.103
1195,2.203,0.797,3.0,63.322,18.288,5.949,0.327,0.751,16.775,0.322,0.186,0.22,0.102
1221,2.217,0.8,2.2,63.317,18.333,5.95,0.326,0.751,16.817,0.35,0.2,0.233,0.1
1237,2.213,0.787,3.2,63.541,18.443,5.934,0.324,0.755,16.908,0.361,0.213,0.246,0.098
1258,2.226,0.774,1.7,63.677,18.484,5.968,0.325,0.759,16.95,0.387,0.21,0.242,0.097
1278,2.238,0.762,2.1,63.587,18.46,6.032,0.329,0.762,16.983,0.381,0.206,0.238,0.095
1309,2.266,0.797,2.3,63.547,18.578,6.125,0.331,0.757,17.013,0.391,0.203,0.234,0.094
1317,2.231,0.785,1.0,63.615,18.815,6.154,0.33,0.761,17.023,0.385,0.2,0.231,0.092
1337,2.212,0.788,7.0,63.439,18.727,6.106,0.328,0.757,17.07,0.394,0.197,0.227,0.091
1356,2.239,0.806,2.9,63.403,18.925,6.194,0.329,0.75,17.057,0.388,0.209,0.254,0.09
1374,2.265,0.809,2.8,63.206,19.044,6.294,0.331,0.749,17.099,0.412,0.206,0.265,0.088
1390,2.275,0.812,3.3,63.304,19.13,6.348,0.332,0.749,17.074,0.406,0.203,0.261,0.087
1417,2.3,0.814,2.7,63.257,19.271,6.443,0.334,0.748,17.071,0.4,0.2,0.257,0.086
1432,2.282,0.817,2.8,63.113,19.254,6.423,0.333,0.749,17.099,0.408,0.211,0.268,0.085
1442,2.278,0.819,1.8,63.0,19.403,6.444,0.332,0.748,17.092,0.403,0.208,0.264,0.083
1460,2.288,0.822,2.7,63.26,19.534,6.479,0.332,0.747,17.105,0.411,0.205,0.26,0.082
1496,2.257,0.824,3.3,63.338,19.554,6.459,0.331,0.747,17.043,0.419,0.203,0.257,0.081
1513,2.28,0.84,4.5,63.08,19.627,6.533,0.333,0.746,17.02,0.413,0.2,0.253,0.08
1540,2.276,0.829,2.5,63.132,19.842,6.618,0.333,0.749,16.991,0.408,0.197,0.25,0.079
1553,2.273,0.818,0.9,63.117,19.831,6.636,0.334,0.752,16.947,0.416,0.195,0.247,0.078
1567,2.244,0.821,2.0,63.179,19.756,6.615,0.335,0.751,16.921,0.41,0.192,0.244,0.077
1599,2.253,0.81,1.9,63.114,19.747,6.684,0.338,0.754,16.916,0.405,0.19,0.241,0.076
1616,2.25,0.812,1.6,62.862,19.6,6.65,0.34,0.751,16.989,0.412,0.2,0.25,0.075
1626,2.247,0.815,2.0,62.691,19.556,6.667,0.342,0.752,16.952,0.407,0.198,0.247,0.074
1650,2.244,0.805,3.4,62.683,19.488,6.646,0.342,0.755,16.941,0.402,0.195,0.244,0.073
1673,2.241,0.795,2.1,62.458,19.458,6.639,0.343,0.758,16.948,0.398,0.205,0.253,0.072
1697,2.238,0.81,2.0,62.44,19.417,6.607,0.342,0.753,16.912,0.393,0.202,0.25,0.071
1718,2.247,0.812,2.7,62.506,19.412,6.612,0.342,0.744,16.893,0.388,0.2,0.247,0.071
1742,2.244,0.826,2.0,62.395,19.395,6.593,0.341,0.741,16.893,0.395,0.209,0.256,0.07
1769,2.264,0.828,1.7,62.483,19.356,6.586,0.341,0.74,16.903,0.391,0.207,0.253,0.069
1790,2.261,0.83,1.7,62.341,19.239,6.534,0.34,0.74,16.903,0.386,0.216,0.261,0.068
1793,2.258,0.82,3.9,62.326,19.157,6.494,0.339,0.732,16.896,0.382,0.213,0.258,0.067
1818,2.267,0.822,1.5,62.422,19.233,6.478,0.337,0.732,16.889,0.378,0.233,0.278,0.067
1835,2.253,0.813,1.8,62.538,19.209,6.44,0.336,0.724,16.892,0.385,0.231,0.275,0.066
1859,2.25,0.815,2.2,62.457,19.163,6.435,0.336,0.724,16.877,0.391,0.228,0.272,0.065
1880,2.28,0.817,2.4,62.441,19.226,6.43,0.335,0.724,16.903,0.387,0.226,0.269,0.065
1895,2.277,0.83,2.1,62.255,19.17,6.415,0.336,0.723,16.9,0.394,0.223,0.266,0.064
