ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
15,4.0,3.0,2.1,49.0,20.0,4.0,0.2,0.0,18.4,0.0,2.0,2.0,0.0
28,3.0,1.5,2.7,55.0,19.0,4.5,0.239,0.5,18.3,0.5,1.0,1.0,0.5
38,3.0,1.333,1.8,58.667,19.667,5.667,0.286,0.556,18.167,0.333,0.667,0.667,0.333
39,2.75,2.75,2.6,61.25,18.25,6.25,0.358,0.508,17.7,0.5,0.5,0.5,0.25
53,2.6,2.6,2.3,60.6,19.0,6.6,0.359,0.526,17.36,0.8,0.4,0.4,0.2
62,2.5,2.333,1.7,60.833,18.667,6.333,0.348,0.438,17.6,0.833,0.333,0.333,0.333
77,2.429,2.143,1.2,62.429,17.143,6.0,0.37,0.471,17.943,0.857,0.429,0.429,0.286
86,2.25,2.0,3.1,60.375,16.125,5.5,0.351,0.475,18.462,0.875,0.5,0.5,0.375
90,2.333,1.778,0.2,59.889,17.0,6.111,0.363,0.533,17.822,0.778,0.444,0.444,0.333
106,2.2,1.7,1.2,59.9,15.9,5.7,0.36,0.53,18.15,0.7,0.4,0.4,0.5
115,2.364,1.545,1.8,59.909,15.455,5.727,0.377,0.572,18.064,0.727,0.364,0.364,0.455
123,2.25,1.5,1.0,61.083,15.083,5.667,0.383,0.591,18.367,0.75,0.417,0.417,0.417
128,2.231,1.462,2.5,62.154,15.231,6.077,0.404,0.584,18.215,0.692,0.385,0.385,0.385
146,2.571,1.357,1.5,62.286,15.143,6.143,0.411,0.614,17.921,0.714,0.357,0.357,0.357
155,2.467,1.333,1.4,63.267,15.267,5.867,0.391,0.618,18.007,0.8,0.333,0.333,0.333
164,2.312,1.25,1.5,63.812,15.0,5.75,0.389,0.641,18.025,0.75,0.312,0.312,0.312
177,2.176,1.235,1.2,63.941,15.118,5.471,0.37,0.633,17.888,0.706,0.294,0.294,0.294
184,2.056,1.167,1.6,64.0,15.222,5.333,0.359,0.654,17.889,0.667,0.278,0.278,0.278
195,1.947,1.158,2.5,64.421,15.842,5.368,0.352,0.654,17.926,0.632,0.263,0.263,0.316
204,2.0,1.15,2.0,63.7,15.75,5.45,0.359,0.647,17.805,0.6,0.25,0.25,0.3
214,2.048,1.143,1.0,63.857,15.667,5.429,0.359,0.64,17.705,0.571,0.238,0.238,0.286
223,1.955,1.136,1.2,63.818,15.455,5.227,0.347,0.645,17.85,0.545,0.227,0.227,0.273
226,1.913,1.261,1.7,63.478,15.087,5.087,0.344,0.625,17.917,0.565,0.261,0.261,0.304
241,1.875,1.333,1.4,63.417,15.083,5.042,0.341,0.62,17.812,0.625,0.25,0.25,0.292
257,1.8,1.36,2.7,63.72,15.08,5.08,0.344,0.619,17.784,0.64,0.24,0.24,0.32
265,1.808,1.308,0.3,63.577,15.115,5.192,0.35,0.634,17.635,0.615,0.231,0.231,0.308
271,1.741,1.296,0.9,63.222,14.815,5.037,0.342,0.638,17.711,0.593,0.222,0.222,0.296
286,1.679,1.286,0.9,63.214,14.857,4.964,0.336,0.639,17.696,0.607,0.214,0.214,0.286
294,1.655,1.241,2.4,62.655,14.759,4.931,0.336,0.652,17.645,0.586,0.207,0.207,0.276
303,1.7,1.2,2.3,62.7,14.8,5.0,0.34,0.663,17.663,0.567,0.2,0.2,0.267
316,1.71,1.194,1.4,62.774,15.065,5.161,0.343,0.668,17.632,0.581,0.194,0.194,0.258
322,1.688,1.188,2.4,62.031,15.125,5.219,0.345,0.672,17.616,0.562,0.188,0.188,0.25
342,1.667,1.182,1.7,62.212,15.333,5.333,0.347,0.674,17.615,0.576,0.182,0.182,0.242
352,1.676,1.147,2.7,61.971,15.294,5.353,0.349,0.684,17.497,0.559,0.176,0.176,0.235
359,1.743,1.171,1.9,61.543,15.343,5.429,0.353,0.664,17.423,0.543,0.171,0.171,0.229
369,1.75,1.167,2.6,61.944,15.639,5.444,0.349,0.664,17.447,0.556,0.167,0.167,0.222
373,1.784,1.135,1.6,61.865,15.757,5.378,0.344,0.673,17.414,0.568,0.162,0.162,0.216
391,3.0,0.0,2.7,50.0,19.0,6.0,0.316,1.0,17.3,1.0,0.0,0.0,0.0
407,2.5,0.0,2.5,57.5,23.0,7.0,0.306,1.0,16.7,0.5,0.0,0.0,0.0
419,2.0,0.333,4.3,60.0,23.0,6.667,0.291,0.889,16.533,0.333,0.333,0.333,0.0
423,2.25,0.25,3.1,59.0,24.75,7.0,0.285,0.917,16.425,0.5,0.25,0.25,0.0
437,2.4,0.2,2.8,59.0,24.8,7.6,0.308,0.933,16.42,0.6,0.2,0.2,0.0
450,2.5,0.667,0.9,60.333,23.333,7.167,0.309,0.778,16.517,0.667,0.167,0.167,0.0
451,2.429,0.857,3.3,58.714,20.857,6.571,0.336,0.714,16.3,0.714,0.143,0.143,0.0
470,2.75,0.75,3.4,60.75,20.625,6.75,0.347,0.75,16.262,0.625,0.125,0.125,0.0
474,3.0,0.667,1.5,60.889,20.444,6.889,0.355,0.778,16.3,0.556,0.111,0.111,0.0
490,2.9,0.8,1.2,60.6,19.8,6.5,0.341,0.767,16.75,0.5,0.1,0.1,0.0
498,2.818,1.0,4.3,61.364,19.455,6.364,0.338,0.697,16.745,0.545,0.091,0.091,0.0
502,2.917,0.917,2.9,61.417,19.417,6.583,0.35,0.722,16.467,0.5,0.083,0.083,0.0
517,3.0,0.846,2.4,61.615,19.462,6.538,0.346,0.744,16.392,0.462,0.077,0.077,0.0
522,3.071,0.857,2.7,62.0,19.214,6.571,0.352,0.726,16.4,0.5,0.071,0.071,0.0
534,2.933,0.8,2.2,62.267,19.067,6.4,0.344,0.744,16.213,0.467,0.067,0.067,0.0
545,2.812,0.75,2.7,62.25,19.062,6.25,0.336,0.698,16.206,0.438,0.125,0.125,0.0
549,2.824,0.765,1.1,62.941,19.294,6.353,0.337,0.696,16.218,0.412,0.118,0.118,0.0
560,2.778,0.833,2.3,62.556,19.222,6.333,0.337,0.691,16.244,0.389,0.111,0.111,0.0
570,2.632,0.842,1.3,62.579,19.263,6.158,0.327,0.654,16.179,0.368,0.105,0.158,0.0
580,2.6,0.9,2.7,61.75,18.8,6.15,0.34,0.655,16.265,0.35,0.1,0.15,0.0
592,2.619,0.857,1.9,62.048,19.19,6.476,0.347,0.671,16.286,0.333,0.095,0.143,0.0
603,2.636,0.864,1.8,61.818,18.909,6.455,0.352,0.677,16.527,0.318,0.136,0.182,0.0
612,2.609,0.826,1.7,61.913,19.043,6.652,0.359,0.691,16.491,0.304,0.13,0.174,0.0
620,2.542,0.792,3.6,62.083,18.75,6.542,0.358,0.704,16.404,0.292,0.125,0.167,0.0
627,2.56,0.8,5.9,62.36,19.16,6.56,0.353,0.676,16.46,0.28,0.12,0.16,0.0
644,2.692,0.769,2.4,62.385,19.231,6.769,0.361,0.688,16.508,0.269,0.192,0.231,0.0
652,2.63,0.741,2.2,62.593,19.333,6.704,0.357,0.7,16.604,0.296,0.185,0.222,0.0
663,2.607,0.714,0.8,62.071,19.25,6.75,0.361,0.711,16.554,0.286,0.214,0.25,0.0
669,2.586,0.69,2.2,61.69,18.897,6.621,0.36,0.721,16.479,0.276,0.207,0.241,0.0
689,2.567,0.667,1.3,62.067,18.9,6.467,0.351,0.73,16.553,0.267,0.233,0.267,0.0
696,2.548,0.71,2.0,61.516,18.484,6.387,0.361,0.723,16.758,0.258,0.226,0.258,0.0
710,2.594,0.688,1.7,61.812,18.344,6.344,0.361,0.731,16.719,0.25,0.219,0.25,0.0
713,2.576,0.667,2.3,62.424,18.333,6.273,0.357,0.739,16.676,0.242,0.212,0.242,0.0
728,2.529,0.647,1.3,62.471,18.5,6.382,0.359,0.747,16.706,0.294,0.206,0.235,0.0
733,2.486,0.657,1.8,62.514,18.6,6.286,0.352,0.745,16.789,0.314,0.2,0.229,0.0
747,2.472,0.667,1.3,62.444,18.556,6.25,0.351,0.745,16.794,0.361,0.194,0.222,0.0
752,2.459,0.676,2.7,62.649,18.703,6.216,0.347,0.738,16.843,0.351,0.189,0.216,0.0
780,2.0,2.0,2.0,67.0,11.0,3.0,0.273,0.0,12.4,0.0,0.0,0.0,1.0
790,1.5,1.5,1.3,69.5,17.5,3.5,0.22,0.333,14.9,0.0,0.0,0.0,0.5
796,1.333,1.667,3.3,69.667,17.333,4.0,0.245,0.422,14.733,0.0,0.0,0.0,0.333
809,3.25,1.25,1.5,69.5,17.75,6.0,0.341,0.567,13.95,0.0,0.0,0.0,0.25
811,3.0,1.2,2.1,70.0,18.8,6.0,0.325,0.553,14.72,0.0,0.0,0.0,0.2
830,2.5,1.0,1.5,68.5,19.5,6.333,0.329,0.628,14.45,0.0,0.0,0.0,0.167
845,2.571,1.286,1.1,66.429,18.857,6.429,0.349,0.61,14.786,0.143,0.0,0.0,0.143
857,2.5,1.5,2.1,65.25,17.5,6.0,0.352,0.596,15.188,0.125,0.0,0.0,0.25
862,2.333,1.333,1.7,62.111,17.0,5.556,0.33,0.641,15.444,0.111,0.0,0.0,0.222
867,2.2,1.2,1.6,61.3,17.5,5.7,0.329,0.677,15.65,0.1,0.0,0.0,0.3
884,2.0,1.182,1.7,62.545,17.273,5.818,0.341,0.693,15.173,0.091,0.0,0.0,0.273
896,1.917,1.25,1.2,63.0,17.667,6.167,0.351,0.691,15.275,0.083,0.0,0.0,0.25
902,1.923,1.231,1.9,62.231,17.308,6.154,0.359,0.699,15.731,0.077,0.0,0.0,0.231
912,2.0,1.214,2.7,62.071,17.143,6.214,0.367,0.706,15.493,0.071,0.0,0.0,0.214
918,2.067,1.2,2.2,61.4,17.067,6.4,0.38,0.715,15.593,0.067,0.0,0.0,0.2
927,2.062,1.188,0.9,61.125,17.312,6.312,0.371,0.701,15.769,0.125,0.0,0.0,0.188
940,2.0,1.294,1.0,61.765,17.235,6.235,0.368,0.694,15.741,0.118,0.0,0.0,0.176
950,1.889,1.389,1.4,60.5,16.611,6.0,0.366,0.69,15.578,0.111,0.0,0.0,0.167
966,1.789,1.316,1.8,59.842,16.526,5.842,0.357,0.706,15.574,0.105,0.0,0.0,0.158
