ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
214,2.1,0.9,1.0,65.4,17.9,6.0,0.354,0.617,17.71,0.5,0.3,0.3,0.2
223,1.7,0.7,1.2,66.8,17.0,5.7,0.343,0.692,17.96,0.5,0.1,0.1,0.2
241,1.5,1.0,1.4,65.8,15.6,5.1,0.334,0.645,18.11,0.6,0.2,0.2,0.3
265,1.3,1.1,0.3,66.7,15.4,5.2,0.344,0.705,17.94,0.6,0.2,0.2,0.3
271,1.1,1.1,0.9,64.9,15.3,4.9,0.309,0.713,17.91,0.5,0.1,0.1,0.3
303,0.8,1.2,2.3,65.6,14.5,4.1,0.282,0.68,18.37,0.6,0.1,0.1,0.3
322,0.6,1.3,2.4,66.1,15.7,4.5,0.271,0.66,18.32,0.6,0.1,0.1,0.3
342,0.5,1.3,1.7,65.4,16.2,4.3,0.247,0.685,18.44,0.7,0.1,0.1,0.3
373,0.6,1.2,1.6,63.1,15.9,4.7,0.278,0.718,17.88,0.5,0.1,0.1,0.3
391,0.8,1.2,2.7,63.5,16.1,4.9,0.286,0.718,17.56,0.6,0.1,0.1,0.3
407,1.0,1.1,2.5,62.8,16.1,5.1,0.294,0.752,17.31,0.6,0.1,0.1,0.2
423,1.1,1.1,3.1,63.0,17.3,5.6,0.311,0.743,16.84,0.6,0.2,0.2,0.2
450,1.3,0.7,0.9,63.3,19.1,6.4,0.322,0.823,16.54,0.6,0.1,0.1,0.1
474,1.5,0.7,1.5,61.1,18.2,6.1,0.332,0.797,16.33,0.6,0.1,0.1,0.0
498,1.7,0.8,4.3,61.5,18.9,6.3,0.339,0.788,16.44,0.6,0.1,0.1,0.0
502,2.1,0.7,2.9,61.4,19.2,6.9,0.368,0.822,16.05,0.5,0.1,0.1,0.0
534,2.3,0.6,2.2,61.3,18.9,6.5,0.355,0.842,15.93,0.4,0.1,0.1,0.0
545,2.3,0.5,2.7,60.7,18.6,6.0,0.335,0.767,15.78,0.3,0.2,0.2,0.0
580,2.4,0.6,2.7,62.7,19.5,6.2,0.327,0.733,16.06,0.3,0.2,0.2,0.0
603,2.5,0.6,1.8,62.6,20.3,7.0,0.348,0.733,16.26,0.2,0.2,0.2,0.0
620,2.5,0.6,3.6,62.5,19.8,7.3,0.369,0.733,16.22,0.2,0.2,0.2,0.0
627,2.7,0.6,5.9,62.9,20.4,7.4,0.367,0.667,16.38,0.2,0.1,0.1,0.0
644,3.0,0.6,2.4,63.3,20.0,7.6,0.384,0.667,16.51,0.1,0.3,0.3,0.0
669,2.9,0.4,2.2,65.2,21.6,7.8,0.357,0.733,16.92,0.1,0.3,0.3,0.0
696,2.9,0.2,2.0,66.7,22.1,7.7,0.346,0.767,16.71,0.1,0.4,0.4,0.0
710,2.9,0.2,1.7,67.6,21.6,7.3,0.334,0.767,16.92,0.1,0.4,0.4,0.0
728,2.7,0.2,1.3,69.4,21.4,7.1,0.326,0.767,16.9,0.1,0.4,0.4,0.0
752,2.7,0.3,2.7,69.6,21.7,7.0,0.319,0.833,17.25,0.2,0.3,0.3,0.0
780,2.7,0.3,2.0,68.5,22.3,6.9,0.308,0.847,17.17,0.2,0.3,0.3,0.0
796,2.5,0.4,3.3,68.9,22.0,6.0,0.277,0.813,17.24,0.2,0.3,0.3,0.0
809,3.2,0.4,1.5,69.4,21.7,6.1,0.29,0.813,16.83,0.2,0.3,0.3,0.0
830,3.1,0.4,1.5,69.7,21.1,6.0,0.292,0.863,16.83,0.2,0.3,0.3,0.0
857,2.8,0.7,2.1,68.8,20.5,5.5,0.282,0.813,16.74,0.3,0.1,0.1,0.0
862,2.8,0.7,1.7,65.7,19.6,5.2,0.274,0.813,16.58,0.2,0.1,0.1,0.0
884,2.7,0.7,1.7,63.8,19.9,5.7,0.295,0.813,16.46,0.2,0.0,0.0,0.1
902,2.4,0.9,1.9,63.5,20.7,6.2,0.305,0.78,16.55,0.2,0.0,0.0,0.1
918,2.5,1.0,2.2,61.3,20.4,6.5,0.33,0.76,16.26,0.2,0.0,0.0,0.1
