ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
1160,1.0,4.0,0.4,30.0,8.0,2.0,0.25,0.636,16.6,0.0,1.0,1.0,1.0
1170,0.5,3.5,1.4,31.5,9.5,1.5,0.17,0.631,17.8,0.5,0.5,0.5,0.5
1184,0.667,3.0,1.1,34.0,11.667,1.333,0.134,0.532,15.833,0.333,0.333,0.333,0.333
1191,0.5,2.5,2.1,31.25,10.5,1.5,0.172,0.524,14.375,0.25,0.25,0.25,0.25
1201,0.6,2.2,0.9,36.4,12.2,1.8,0.169,0.552,14.96,0.2,0.4,0.4,0.2
1210,0.833,2.0,1.3,35.833,11.667,1.833,0.178,0.585,14.7,0.167,0.333,0.333,0.167
1211,0.857,2.0,0.8,37.714,12.571,1.857,0.169,0.573,14.471,0.143,0.286,0.286,0.143
1225,0.75,1.875,1.7,37.25,12.5,1.875,0.168,0.595,14.7,0.125,0.25,0.25,0.125
1238,0.889,1.889,0.5,37.889,12.556,2.111,0.184,0.612,15.022,0.111,0.222,0.222,0.111
1249,0.9,2.0,0.8,37.1,12.0,2.0,0.18,0.601,15.25,0.1,0.2,0.2,0.1
1252,0.909,1.909,0.4,36.182,11.636,2.273,0.22,0.622,15.491,0.091,0.182,0.182,0.091
1264,0.833,1.833,0.9,36.167,11.5,2.417,0.235,0.633,16.025,0.167,0.167,0.167,0.083
1271,0.923,1.769,0.2,36.385,11.231,2.462,0.246,0.652,15.885,0.154,0.154,0.154,0.077
1282,0.929,1.857,0.5,36.071,10.929,2.357,0.239,0.641,16.45,0.143,0.143,0.143,0.071
1299,1.067,2.0,0.3,35.933,10.6,2.467,0.267,0.635,16.607,0.133,0.133,0.133,0.067
1313,1.062,2.0,1.4,35.875,10.188,2.438,0.282,0.637,16.769,0.125,0.125,0.125,0.062
1320,1.059,1.882,0.6,35.824,10.529,2.588,0.284,0.658,16.924,0.118,0.118,0.118,0.059
1329,1.167,1.889,2.3,36.556,10.611,2.667,0.286,0.65,16.978,0.167,0.111,0.111,0.056
1339,1.211,1.947,0.9,37.368,10.842,2.842,0.292,0.648,16.695,0.211,0.105,0.105,0.053
1350,1.2,1.9,3.1,38.55,11.0,2.95,0.296,0.659,16.77,0.2,0.1,0.1,0.05
1362,1.333,1.81,2.4,38.667,11.333,3.19,0.303,0.675,16.629,0.238,0.095,0.095,0.048
1370,1.455,1.909,1.8,38.955,11.273,3.364,0.321,0.659,16.509,0.227,0.136,0.136,0.045
1387,1.435,1.957,1.8,40.478,11.609,3.391,0.316,0.609,16.543,0.217,0.174,0.174,0.087
1390,1.417,1.958,0.9,41.208,12.042,3.417,0.31,0.615,16.629,0.25,0.167,0.167,0.083
1405,1.4,2.04,1.8,41.16,12.04,3.4,0.308,0.618,16.724,0.28,0.16,0.16,0.08
1411,1.423,2.077,0.8,41.346,12.115,3.423,0.307,0.618,16.519,0.308,0.154,0.154,0.077
1419,1.407,2.037,2.0,41.704,11.963,3.37,0.305,0.623,16.348,0.296,0.148,0.148,0.074
1421,1.464,2.107,0.6,41.679,11.821,3.393,0.312,0.621,16.064,0.286,0.143,0.143,0.071
1427,1.448,2.069,0.5,42.31,11.759,3.414,0.315,0.622,16.148,0.276,0.138,0.138,0.069
1440,1.433,2.067,0.3,41.9,11.6,3.4,0.319,0.602,16.2,0.267,0.133,0.133,0.067
1445,1.387,2.065,1.5,41.903,11.387,3.323,0.315,0.598,16.19,0.29,0.129,0.129,0.065
1456,1.406,2.031,0.5,42.312,11.625,3.5,0.32,0.58,16.253,0.281,0.125,0.125,0.062
1465,1.394,2.121,0.6,41.848,11.394,3.455,0.325,0.58,16.042,0.273,0.121,0.121,0.091
1478,1.382,2.206,0.6,42.176,11.235,3.441,0.33,0.576,16.071,0.265,0.118,0.118,0.088
1488,1.371,2.2,0.8,42.171,11.171,3.514,0.34,0.576,16.109,0.257,0.114,0.114,0.086
1502,1.361,2.167,0.3,42.417,11.361,3.556,0.338,0.574,16.172,0.25,0.111,0.111,0.111
1518,1.351,2.189,2.0,42.405,11.162,3.486,0.336,0.576,16.073,0.243,0.108,0.108,0.108
