ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
1191,1.0,2.0,2.1,39.0,16.0,1.0,0.062,0.333,11.9,0.0,0.0,0.0,0.0
1210,1.0,1.5,1.3,48.0,17.5,2.0,0.11,0.5,14.6,0.0,0.5,0.5,0.0
1211,1.0,1.667,0.8,48.333,17.667,2.0,0.111,0.5,14.1,0.0,0.333,0.333,0.0
1249,0.75,1.5,0.8,44.75,16.25,2.0,0.125,0.562,14.65,0.0,0.25,0.25,0.0
1264,0.8,1.4,0.9,41.2,14.6,2.6,0.225,0.617,15.3,0.0,0.2,0.2,0.0
1282,1.0,1.333,0.5,40.833,13.5,2.667,0.25,0.66,15.117,0.0,0.167,0.167,0.0
1299,1.286,1.714,0.3,39.857,12.429,2.857,0.309,0.645,15.643,0.0,0.143,0.143,0.0
1313,1.25,1.75,1.4,39.25,11.375,2.75,0.333,0.648,16.087,0.0,0.125,0.125,0.0
1329,1.222,1.556,2.3,38.778,11.889,3.0,0.331,0.687,16.456,0.0,0.111,0.111,0.0
1350,1.3,1.7,3.1,40.1,12.2,3.3,0.338,0.681,15.97,0.1,0.1,0.1,0.0
1370,1.545,1.545,1.8,40.182,12.727,3.727,0.347,0.71,15.773,0.182,0.091,0.091,0.0
1387,1.5,1.667,1.8,43.0,13.25,3.75,0.336,0.609,15.9,0.167,0.167,0.167,0.083
1405,1.462,1.692,1.8,44.154,13.923,3.769,0.324,0.62,16.108,0.231,0.154,0.154,0.077
1421,1.5,1.786,0.6,44.286,13.929,3.786,0.321,0.62,15.771,0.286,0.143,0.143,0.071
1445,1.467,1.733,1.5,45.333,13.667,3.8,0.327,0.623,15.953,0.267,0.133,0.133,0.067
1465,1.5,1.688,0.6,45.938,14.0,4.125,0.336,0.584,16.094,0.25,0.125,0.125,0.062
1488,1.471,1.882,0.8,46.353,13.529,4.059,0.346,0.576,16.147,0.235,0.118,0.118,0.059
1518,1.444,1.833,2.0,46.611,13.778,4.111,0.342,0.572,16.272,0.222,0.111,0.111,0.111
