ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
1249,0.9,2.0,0.8,37.1,12.0,2.0,15.25,0.1,0.2,0.2
1252,0.9,1.7,0.4,36.8,12.0,2.3,15.38,0.1,0.1,0.1
1264,0.9,1.5,0.9,37.1,11.9,2.6,15.67,0.1,0.1,0.1
1271,1.0,1.4,0.2,37.1,11.1,2.8,15.9,0.1,0.1,0.1
1282,1.1,1.6,0.5,38.0,11.1,2.7,17.28,0.1,0.1,0.1
1299,1.3,1.9,0.3,35.7,9.8,2.8,17.43,0.1,0.0,0.0
1313,1.2,2.0,1.4,35.9,9.3,2.8,18.01,0.1,0.0,0.0
1320,1.2,1.8,0.6,34.5,9.1,3.1,18.64,0.1,0.0,0.0
1329,1.5,1.9,2.3,36.0,9.1,3.3,18.8,0.2,0.0,0.0
1339,1.5,2.0,0.9,36.9,9.3,3.5,18.2,0.3,0.0,0.0
1350,1.5,1.8,3.1,40.0,10.0,3.9,18.29,0.3,0.0,0.0
1362,1.8,1.7,2.4,41.4,11.0,4.2,17.88,0.4,0.0,0.0
1370,2.2,2.0,1.8,42.3,11.0,4.5,17.09,0.3,0.1,0.1
1387,2.1,2.2,1.8,45.8,12.1,4.6,17.4,0.3,0.2,0.2
1390,2.1,2.1,0.9,48.4,13.6,4.9,16.88,0.4,0.2,0.2
1405,1.9,2.1,1.8,49.0,14.2,4.8,16.9,0.5,0.2,0.2
1411,2.0,2.2,0.8,50.1,15.2,5.0,16.12,0.6,0.2,0.2
1419,2.0,2.3,2.0,51.7,14.4,4.7,15.37,0.6,0.2,0.2
1421,2.0,2.5,0.6,50.9,14.0,4.7,14.42,0.5,0.2,0.2
1427,1.9,2.3,0.5,51.7,13.5,4.5,15.11,0.4,0.2,0.2
1440,1.9,2.4,0.3,48.6,12.8,4.3,15.06,0.4,0.2,0.2
1445,1.5,2.6,1.5,48.7,11.5,3.6,15.27,0.4,0.2,0.2
1456,1.3,2.3,0.5,49.7,12.4,3.8,15.69,0.4,0.1,0.1
1465,1.3,2.5,0.6,45.0,10.9,3.6,14.89,0.4,0.0,0.0
1478,1.3,2.8,0.6,44.5,9.3,3.5,14.73,0.3,0.0,0.0
1488,1.3,2.6,0.8,44.7,9.0,3.8,14.57,0.2,0.0,0.0
1502,1.2,2.4,0.3,45.2,9.4,3.9,15.27,0.1,0.0,0.0
1518,1.2,2.6,2.0,44.3,9.0,3.8,15.33,0.1,0.0,0.0
