ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
223,1.7,0.6,3.5,61.7,15.7,5.5,0.375,0.586,18.11,0.8,0.1,0.1,0.0
237,1.909,0.636,1.0,60.091,14.909,5.455,0.406,0.578,17.682,0.727,0.091,0.182,0.091
245,2.0,0.667,1.8,61.0,15.0,5.583,0.408,0.571,17.7,0.667,0.083,0.167,0.083
281,1.923,0.615,2.2,60.538,15.0,5.385,0.392,0.604,17.585,0.615,0.077,0.154,0.077
293,2.0,0.571,1.4,60.071,14.429,5.429,0.425,0.561,17.421,0.571,0.143,0.214,0.071
319,2.0,0.533,1.2,59.8,14.2,5.333,0.421,0.59,17.227,0.6,0.133,0.2,0.067
330,2.0,0.562,1.7,60.562,14.125,5.188,0.409,0.595,17.356,0.688,0.125,0.188,0.062
353,2.0,0.529,1.5,61.0,14.471,5.059,0.394,0.619,17.194,0.706,0.118,0.176,0.059
363,2.111,0.667,0.9,62.167,14.5,5.111,0.394,0.585,17.35,0.722,0.111,0.167,0.167
390,2.105,0.789,1.8,60.842,14.158,5.053,0.4,0.58,17.184,0.737,0.105,0.158,0.158
416,2.0,0.8,2.8,61.05,14.35,5.0,0.391,0.576,17.19,0.75,0.1,0.15,0.15
431,1.952,0.762,1.7,61.048,14.857,5.143,0.388,0.596,17.052,0.714,0.095,0.143,0.143
450,1.909,0.727,1.2,60.955,14.864,5.045,0.379,0.569,17.055,0.682,0.091,0.136,0.136
467,1.913,0.783,3.8,60.522,14.739,4.957,0.374,0.559,17.052,0.696,0.087,0.13,0.13
482,2.0,0.792,1.6,60.167,15.083,5.25,0.38,0.567,17.008,0.708,0.083,0.125,0.167
516,2.0,0.76,1.0,60.44,15.12,5.24,0.377,0.584,16.916,0.68,0.08,0.12,0.16
524,2.0,0.769,3.1,60.577,15.192,5.308,0.378,0.587,17.004,0.692,0.077,0.115,0.154
548,2.037,0.778,2.9,61.185,15.593,5.556,0.381,0.593,16.907,0.667,0.074,0.111,0.148
562,2.107,0.75,1.1,61.536,15.679,5.607,0.382,0.608,16.764,0.643,0.071,0.107,0.143
564,2.069,0.724,2.0,62.034,15.552,5.517,0.377,0.622,16.869,0.621,0.069,0.103,0.138
590,2.067,0.733,1.8,62.333,15.5,5.367,0.367,0.617,16.93,0.6,0.1,0.133,0.133
