ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
31,3.0,1.0,1.2,65.0,13.0,8.0,0.615,0.0,21.1,2.0,1.0,1.0,0.0
50,2.0,1.0,1.0,57.0,18.0,4.5,0.329,0.429,19.65,1.5,0.5,0.5,0.0
60,1.667,1.0,1.6,61.0,16.667,5.333,0.386,0.452,20.067,1.333,0.333,0.333,0.0
81,1.5,0.75,1.4,62.0,16.5,6.0,0.415,0.589,19.675,1.5,0.25,0.25,0.0
111,1.2,1.0,1.3,62.8,17.6,5.8,0.377,0.471,18.94,1.2,0.2,0.2,0.0
129,1.0,0.833,0.9,61.333,16.167,5.167,0.351,0.56,18.833,1.167,0.167,0.167,0.0
163,1.0,0.714,2.7,60.0,15.429,5.143,0.366,0.622,19.014,1.0,0.143,0.143,0.0
188,1.25,0.75,1.8,58.25,15.75,5.25,0.362,0.607,18.525,1.0,0.125,0.125,0.0
210,1.667,0.667,2.0,60.333,16.0,5.444,0.365,0.651,18.4,0.889,0.111,0.111,0.0
223,1.7,0.6,3.5,61.7,15.7,5.5,0.375,0.586,18.11,0.8,0.1,0.1,0.0
237,1.909,0.636,1.0,60.091,14.909,5.455,0.406,0.578,17.682,0.727,0.091,0.182,0.091
245,2.0,0.667,1.8,61.0,15.0,5.583,0.408,0.571,17.7,0.667,0.083,0.167,0.083
281,1.923,0.615,2.2,60.538,15.0,5.385,0.392,0.604,17.585,0.615,0.077,0.154,0.077
293,2.0,0.571,1.4,60.071,14.429,5.429,0.425,0.561,17.421,0.571,0.143,0.214,0.071
319,2.0,0.533,1.2,59.8,14.2,5.333,0.421,0.59,17.227,0.6,0.133,0.2,0.067
330,2.0,0.562,1.7,60.562,14.125,5.188,0.409,0.595,17.356,0.688,0.125,0.188,0.062
353,2.0,0.529,1.5,61.0,14.471,5.059,0.394,0.619,17.194,0.706,0.118,0.176,0.059
363,2.111,0.667,0.9,62.167,14.5,5.111,0.394,0.585,17.35,0.722,0.111,0.167,0.167
416,0.0,1.0,2.8,65.0,18.0,4.0,0.222,0.5,17.3,1.0,0.0,0.0,0.0
431,0.5,0.5,1.7,63.0,21.5,6.0,0.271,0.75,15.8,0.5,0.0,0.0,0.0
450,0.667,0.333,1.2,61.667,19.333,5.0,0.247,0.5,16.233,0.333,0.0,0.0,0.0
467,1.0,0.75,3.8,59.0,17.5,4.5,0.248,0.458,16.425,0.5,0.0,0.0,0.0
482,1.6,0.8,1.6,57.6,18.6,6.0,0.303,0.517,16.34,0.6,0.0,0.0,0.2
516,1.667,0.667,1.0,59.167,18.167,5.833,0.304,0.597,16.067,0.5,0.0,0.0,0.167
524,1.714,0.714,3.1,59.857,18.0,6.0,0.32,0.607,16.514,0.571,0.0,0.0,0.143
548,1.875,0.75,2.9,62.0,19.0,6.75,0.337,0.625,16.25,0.5,0.0,0.0,0.125
562,2.111,0.667,1.1,63.0,18.889,6.778,0.343,0.667,15.878,0.444,0.0,0.0,0.111
564,2.0,0.6,2.0,64.3,18.2,6.4,0.334,0.7,16.27,0.4,0.0,0.0,0.1
590,2.0,0.636,1.8,64.909,17.818,5.909,0.31,0.682,16.491,0.364,0.091,0.091,0.091
