ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
25,3.0,1.0,0.9,65.0,13.0,8.0,0.615,0.0,21.1,2.0,1.0,1.0,0.0
31,2.5,3.0,1.2,68.5,14.5,6.5,0.464,-0.125,20.45,1.5,0.5,0.5,1.5
41,2.0,2.333,1.3,62.0,17.333,4.667,0.324,0.202,19.7,1.333,0.333,0.333,1.0
50,1.75,1.75,1.0,61.0,16.25,4.75,0.339,0.402,19.2,1.0,0.25,0.25,0.75
60,1.6,1.6,1.6,62.6,15.8,5.2,0.371,0.421,19.54,1.0,0.2,0.2,0.6
77,1.5,1.333,1.4,63.0,15.833,5.667,0.393,0.518,19.367,1.167,0.167,0.167,0.5
81,1.429,1.286,1.4,61.714,14.429,5.143,0.384,0.515,19.543,1.0,0.143,0.286,0.571
91,1.25,1.375,1.7,62.25,15.375,5.125,0.365,0.451,19.1,0.875,0.125,0.25,0.5
100,1.667,1.222,2.9,62.889,15.778,5.222,0.359,0.512,18.8,0.778,0.111,0.222,0.444
111,1.7,1.1,1.3,63.5,15.6,5.1,0.352,0.561,18.51,0.7,0.2,0.3,0.4
119,1.545,1.0,2.2,62.636,15.0,4.818,0.34,0.601,18.491,0.727,0.182,0.273,0.364
129,1.5,1.0,0.9,63.833,15.917,5.0,0.334,0.551,18.375,0.833,0.167,0.25,0.333
142,1.462,0.923,3.0,62.923,15.538,5.0,0.343,0.585,18.508,0.769,0.154,0.231,0.308
163,1.5,0.857,2.7,63.714,15.214,5.071,0.358,0.615,18.064,0.714,0.143,0.214,0.286
168,1.6,0.867,2.0,62.533,15.4,5.133,0.356,0.607,17.867,0.733,0.133,0.2,0.267
178,1.562,0.812,0.7,62.688,15.375,5.188,0.359,0.632,17.806,0.688,0.125,0.25,0.25
182,1.706,0.765,3.4,63.176,15.235,5.235,0.365,0.595,17.882,0.765,0.118,0.235,0.235
188,1.722,0.722,1.8,63.5,15.889,5.389,0.361,0.617,17.767,0.722,0.167,0.278,0.222
198,1.895,0.684,1.5,64.211,16.0,5.474,0.363,0.637,17.747,0.684,0.158,0.263,0.211
210,1.85,0.65,2.0,64.75,15.7,5.45,0.369,0.655,17.72,0.65,0.15,0.25,0.2
223,1.857,0.619,3.5,65.19,15.571,5.476,0.374,0.624,17.614,0.619,0.143,0.238,0.19
228,1.955,0.636,2.2,64.227,15.182,5.455,0.389,0.619,17.423,0.591,0.136,0.273,0.227
237,2.0,0.609,1.0,64.043,15.13,5.435,0.388,0.635,17.374,0.565,0.174,0.304,0.217
245,2.042,0.625,1.8,64.333,15.167,5.5,0.39,0.629,17.396,0.542,0.167,0.292,0.208
249,2.0,0.6,0.5,63.96,15.16,5.4,0.382,0.644,17.348,0.52,0.16,0.28,0.2
259,2.0,0.615,3.3,63.923,14.962,5.308,0.379,0.645,17.465,0.5,0.154,0.269,0.192
272,2.074,0.63,1.3,64.222,15.222,5.481,0.382,0.621,17.359,0.481,0.148,0.259,0.185
276,2.0,0.679,2.6,64.286,15.5,5.5,0.378,0.62,17.407,0.5,0.143,0.25,0.214
281,2.103,0.724,2.2,64.069,15.552,5.655,0.385,0.62,17.359,0.483,0.138,0.241,0.241
293,2.133,0.7,1.4,63.733,15.267,5.667,0.401,0.599,17.29,0.467,0.167,0.267,0.233
302,2.129,0.677,2.1,63.484,15.129,5.613,0.399,0.612,17.2,0.484,0.161,0.258,0.226
319,2.094,0.719,1.2,63.719,15.562,5.656,0.395,0.593,17.253,0.5,0.156,0.25,0.219
330,2.091,0.727,1.7,63.97,15.485,5.576,0.39,0.595,17.315,0.545,0.152,0.242,0.212
341,2.088,0.706,1.8,64.088,15.618,5.5,0.383,0.607,17.235,0.559,0.147,0.235,0.206
353,2.057,0.743,1.5,63.629,15.6,5.429,0.377,0.607,17.314,0.543,0.143,0.257,0.2
363,2.111,0.806,0.9,64.139,15.583,5.444,0.378,0.59,17.389,0.556,0.139,0.25,0.25
378,2.108,0.865,2.5,63.405,15.378,5.405,0.381,0.588,17.303,0.568,0.135,0.243,0.243
394,0.0,1.0,2.6,65.0,18.0,4.0,0.222,0.5,17.3,1.0,0.0,0.0,0.0
401,2.5,0.5,4.4,66.0,17.0,4.0,0.236,0.25,17.9,1.0,0.0,0.0,0.0
416,3.333,0.333,2.8,70.667,19.667,6.0,0.291,0.167,16.867,0.667,0.0,0.0,0.0
425,2.75,0.25,1.0,68.25,21.0,6.5,0.298,0.375,16.225,0.5,0.0,0.0,0.0
431,2.2,0.2,1.7,67.4,20.0,5.4,0.251,0.5,16.26,0.6,0.0,0.0,0.0
450,2.0,0.167,1.2,66.0,19.167,5.0,0.242,0.417,16.4,0.5,0.0,0.0,0.0
454,2.0,0.429,2.1,63.857,18.143,4.714,0.244,0.405,16.486,0.571,0.0,0.0,0.0
467,2.0,0.375,3.8,64.625,17.75,4.875,0.263,0.479,16.225,0.5,0.0,0.0,0.0
472,2.222,0.444,0.7,63.222,18.333,5.667,0.292,0.509,16.2,0.556,0.0,0.0,0.111
482,2.0,0.6,1.6,63.7,17.9,5.4,0.284,0.492,16.35,0.5,0.0,0.0,0.1
499,2.0,0.545,2.5,64.0,17.727,5.364,0.287,0.538,16.2,0.455,0.0,0.0,0.091
508,2.083,0.5,2.1,65.083,17.667,5.5,0.297,0.576,16.217,0.5,0.0,0.0,0.083
516,2.077,0.538,1.0,65.308,17.769,5.692,0.307,0.583,16.2,0.462,0.0,0.0,0.077
524,2.071,0.571,3.1,65.214,17.714,5.786,0.314,0.589,16.414,0.5,0.0,0.0,0.071
531,2.133,0.6,3.2,66.0,18.267,6.2,0.324,0.6,16.28,0.467,0.0,0.0,0.067
