ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
111,1.7,1.1,1.3,63.5,15.6,5.1,0.352,0.561,18.51,0.7,0.2,0.3,0.4
119,1.4,1.0,2.2,62.4,15.2,4.5,0.312,0.661,18.23,0.6,0.1,0.2,0.4
129,1.3,0.6,0.9,62.9,16.2,4.7,0.308,0.686,17.96,0.7,0.1,0.2,0.1
142,1.3,0.5,3.0,63.2,15.0,5.1,0.349,0.7,18.15,0.6,0.1,0.2,0.1
163,1.4,0.5,2.7,64.8,14.8,5.2,0.365,0.7,17.61,0.6,0.1,0.2,0.1
168,1.6,0.5,2.0,62.5,15.2,5.1,0.349,0.7,17.03,0.6,0.1,0.2,0.1
178,1.6,0.5,0.7,62.5,15.1,4.9,0.339,0.7,16.87,0.4,0.1,0.3,0.1
182,1.9,0.4,3.4,64.2,15.8,5.3,0.352,0.65,16.72,0.6,0.1,0.2,0.0
188,2.1,0.2,1.8,64.5,16.3,5.6,0.358,0.75,16.7,0.6,0.2,0.3,0.0
198,2.1,0.2,1.5,65.4,16.2,5.7,0.366,0.75,16.8,0.6,0.2,0.3,0.0
210,2.0,0.2,2.0,66.0,15.8,5.8,0.387,0.75,16.93,0.6,0.1,0.2,0.0
223,2.2,0.2,3.5,68.0,16.2,6.2,0.411,0.65,16.65,0.5,0.1,0.2,0.0
228,2.5,0.2,2.2,64.7,14.3,6.0,0.456,0.7,16.28,0.3,0.1,0.3,0.1
237,2.7,0.2,1.0,65.5,14.6,6.0,0.446,0.7,15.9,0.3,0.2,0.4,0.1
245,2.8,0.3,1.8,65.2,15.1,6.1,0.435,0.65,16.46,0.3,0.2,0.4,0.1
249,2.6,0.2,0.5,66.1,14.8,5.8,0.422,0.7,16.57,0.2,0.2,0.4,0.1
259,2.7,0.3,3.3,65.9,14.3,5.5,0.412,0.667,16.92,0.2,0.2,0.3,0.1
272,2.7,0.4,1.3,66.0,15.2,5.9,0.411,0.667,16.47,0.0,0.2,0.3,0.1
276,2.5,0.6,2.6,65.7,14.8,5.7,0.407,0.627,16.76,0.1,0.1,0.2,0.2
281,2.5,0.8,2.2,63.8,14.7,6.0,0.427,0.587,16.62,0.1,0.1,0.2,0.3
293,2.7,0.8,1.4,61.7,14.4,6.1,0.463,0.487,16.43,0.1,0.2,0.3,0.3
302,2.7,0.8,2.1,59.9,14.2,5.9,0.453,0.587,16.33,0.2,0.2,0.3,0.3
319,2.4,0.9,1.2,62.6,16.4,6.1,0.406,0.537,16.88,0.3,0.2,0.2,0.2
330,2.3,1.0,1.7,63.8,16.3,5.9,0.393,0.503,17.18,0.5,0.1,0.1,0.2
341,2.2,0.9,1.8,63.5,16.7,5.5,0.365,0.553,16.85,0.6,0.1,0.1,0.2
353,2.2,1.1,1.5,62.8,16.7,5.5,0.365,0.513,17.23,0.6,0.1,0.2,0.2
363,2.4,1.3,0.9,64.7,17.2,5.8,0.375,0.447,17.19,0.7,0.1,0.2,0.4
378,2.2,1.5,2.5,61.2,15.8,5.2,0.379,0.497,17.15,0.8,0.1,0.2,0.4
390,2.7,1.3,1.8,61.3,15.6,5.7,0.405,0.537,16.84,0.7,0.1,0.2,0.4
394,2.2,1.2,2.6,62.0,15.7,5.1,0.369,0.527,16.97,0.8,0.1,0.2,0.3
401,2.4,1.2,4.4,63.3,16.6,4.9,0.308,0.527,17.29,0.9,0.0,0.1,0.3
416,2.7,1.2,2.8,65.7,18.0,5.5,0.312,0.427,17.32,0.8,0.0,0.1,0.3
425,2.7,1.0,1.0,64.7,17.6,5.6,0.32,0.527,16.86,0.7,0.0,0.1,0.3
431,2.5,0.9,1.7,63.9,17.9,5.4,0.303,0.56,16.57,0.6,0.0,0.1,0.3
450,2.4,0.9,1.2,63.0,17.4,5.4,0.308,0.46,16.82,0.5,0.0,0.1,0.3
454,2.5,0.9,2.1,63.3,17.1,5.4,0.313,0.433,16.52,0.6,0.0,0.0,0.3
467,2.3,0.6,3.8,62.1,17.1,5.4,0.313,0.533,15.96,0.5,0.0,0.0,0.1
472,2.5,0.4,0.7,63.6,18.6,6.2,0.315,0.558,16.14,0.5,0.0,0.0,0.2
482,2.0,0.6,1.6,63.7,17.9,5.4,0.284,0.492,16.35,0.5,0.0,0.0,0.1
499,2.2,0.5,2.5,63.9,17.7,5.5,0.293,0.542,16.09,0.4,0.0,0.0,0.1
508,2.0,0.5,2.1,64.9,17.8,5.8,0.309,0.642,15.88,0.4,0.0,0.0,0.1
516,1.7,0.6,1.0,63.7,17.2,5.6,0.311,0.708,16.0,0.4,0.0,0.0,0.1
524,1.8,0.7,3.1,64.0,16.4,5.5,0.321,0.675,16.49,0.5,0.0,0.0,0.1
531,2.1,0.8,3.2,65.3,17.4,6.6,0.36,0.65,16.29,0.4,0.0,0.0,0.1
540,2.1,0.8,3.1,66.5,18.2,7.1,0.375,0.75,16.15,0.4,0.1,0.1,0.1
548,2.6,0.6,2.9,67.7,20.1,8.3,0.399,0.817,16.18,0.5,0.1,0.1,0.1
