ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
198,2.1,0.7,1.5,67.7,16.0,5.5,0.36,0.625,17.16,0.5,0.2,0.4,0.4
228,2.0,0.2,2.2,68.0,15.4,5.5,0.379,0.75,16.9,0.4,0.2,0.4,0.1
249,2.2,0.2,0.5,68.2,15.5,5.5,0.376,0.75,16.76,0.4,0.3,0.5,0.1
259,2.3,0.2,3.3,69.1,15.9,5.6,0.373,0.767,16.74,0.4,0.3,0.4,0.0
272,2.2,0.3,1.3,69.5,16.2,6.0,0.387,0.667,16.56,0.4,0.3,0.4,0.0
276,2.0,0.5,2.6,69.2,17.1,6.2,0.385,0.627,16.84,0.5,0.2,0.3,0.1
302,2.4,0.6,2.1,67.3,16.2,6.5,0.416,0.687,16.73,0.3,0.2,0.3,0.2
341,2.3,0.8,1.8,67.0,18.0,6.6,0.386,0.587,17.39,0.4,0.2,0.3,0.2
378,2.3,1.0,2.5,65.3,18.0,6.3,0.366,0.547,17.7,0.4,0.2,0.3,0.2
394,2.4,1.0,2.6,64.9,18.8,6.8,0.372,0.647,17.35,0.2,0.2,0.3,0.3
401,2.7,1.0,4.4,64.7,17.7,6.4,0.368,0.547,17.62,0.3,0.1,0.2,0.3
425,3.1,1.0,1.0,65.2,19.2,6.9,0.358,0.447,17.38,0.3,0.1,0.2,0.3
454,2.8,1.0,2.1,65.6,19.4,6.5,0.328,0.447,17.39,0.4,0.0,0.1,0.3
472,2.8,0.9,0.7,66.3,19.9,6.8,0.338,0.48,16.79,0.4,0.0,0.1,0.3
499,2.4,1.0,2.5,65.9,19.1,6.1,0.314,0.513,17.1,0.4,0.0,0.1,0.3
508,2.7,0.8,2.1,67.0,18.5,6.2,0.329,0.553,16.87,0.4,0.0,0.1,0.2
531,2.4,0.7,3.2,68.0,18.7,6.0,0.312,0.56,16.87,0.4,0.0,0.1,0.1
540,2.4,0.5,3.1,68.0,18.1,6.1,0.323,0.66,16.55,0.3,0.1,0.2,0.1
550,3.0,0.3,3.6,69.5,19.7,7.3,0.352,0.7,16.28,0.5,0.1,0.1,0.1
575,3.1,0.6,1.0,70.0,19.1,6.8,0.339,0.662,16.47,0.6,0.3,0.3,0.0
599,2.7,0.6,1.9,68.9,18.6,7.0,0.369,0.762,16.27,0.6,0.3,0.3,0.0
622,2.4,0.6,2.1,68.3,17.5,6.6,0.372,0.862,16.77,0.6,0.4,0.4,0.0
646,2.6,0.9,2.7,69.0,17.9,6.8,0.38,0.802,16.75,0.5,0.5,0.5,0.0
689,2.8,1.0,1.3,68.9,18.8,7.2,0.382,0.753,16.83,0.6,0.5,0.5,0.0
700,3.0,1.0,1.3,67.6,18.5,7.3,0.397,0.769,16.84,0.7,0.5,0.5,0.0
705,3.0,1.0,3.6,66.4,18.5,7.1,0.385,0.769,17.2,0.6,0.5,0.5,0.0
732,3.3,1.0,3.1,66.9,18.6,7.0,0.378,0.753,17.06,0.6,0.6,0.6,0.0
758,3.7,1.0,3.4,66.9,18.4,7.1,0.386,0.753,17.09,0.7,0.5,0.5,0.0
773,3.3,1.2,1.7,67.7,17.7,6.1,0.359,0.653,16.78,0.6,0.5,0.5,0.0
792,3.1,0.9,2.2,67.2,18.1,6.2,0.355,0.69,16.78,0.5,0.3,0.3,0.0
806,3.4,1.1,3.3,69.0,18.8,6.1,0.329,0.59,16.54,0.4,0.3,0.3,0.0
835,3.8,1.1,3.2,69.0,19.1,6.4,0.339,0.59,16.04,0.4,0.2,0.2,0.0
838,4.2,1.1,2.4,67.2,19.3,7.0,0.365,0.607,15.84,0.5,0.1,0.1,0.1
868,4.2,1.0,1.6,66.8,19.0,6.8,0.361,0.557,15.71,0.4,0.1,0.1,0.1
888,4.3,0.9,2.1,66.1,18.8,6.7,0.358,0.557,15.43,0.3,0.2,0.2,0.1
897,4.2,1.0,1.6,66.6,18.6,6.6,0.355,0.457,15.24,0.4,0.3,0.3,0.2
921,3.8,1.1,1.7,66.7,19.5,6.5,0.341,0.479,15.87,0.4,0.2,0.2,0.2
949,3.4,1.2,2.3,67.0,19.0,5.9,0.317,0.379,15.81,0.3,0.2,0.2,0.2
