ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
200,2.4,1.2,1.6,53.0,13.6,5.8,17.68,0.6,0.1,0.2
231,2.182,1.091,0.5,53.364,13.636,5.545,17.727,0.636,0.091,0.182
256,2.083,1.083,0.4,55.0,13.333,5.583,17.842,0.583,0.083,0.167
262,1.923,1.0,0.9,54.077,13.154,5.462,18.408,0.615,0.077,0.154
272,1.786,0.929,1.7,54.714,13.0,5.143,18.407,0.571,0.071,0.143
307,1.8,0.867,2.1,53.333,12.6,5.133,18.347,0.533,0.133,0.2
326,1.875,0.875,1.2,53.312,12.562,5.25,18.138,0.5,0.125,0.188
344,1.765,0.824,1.7,53.471,12.765,5.176,18.153,0.647,0.118,0.176
379,1.833,0.833,2.0,53.778,13.0,5.222,18.339,0.611,0.167,0.222
397,1.842,0.842,1.8,53.211,12.737,5.105,18.353,0.579,0.211,0.263
410,1.8,0.85,0.6,53.7,12.85,5.0,18.19,0.6,0.2,0.25
428,1.762,0.81,2.0,53.81,12.714,4.905,18.219,0.619,0.19,0.238
452,1.773,0.818,1.2,54.091,12.909,5.136,18.168,0.591,0.182,0.227
477,1.783,0.957,1.5,53.957,13.13,5.174,18.291,0.565,0.174,0.217
493,1.833,0.917,1.4,53.458,13.0,5.125,18.275,0.542,0.167,0.208
509,1.8,1.04,0.9,53.76,12.84,5.04,18.14,0.52,0.16,0.2
535,1.769,1.038,2.0,53.038,12.462,4.923,18.238,0.5,0.154,0.192
556,1.741,1.0,1.6,53.0,12.444,4.889,18.274,0.556,0.185,0.222
579,1.714,1.0,1.0,53.536,12.464,4.821,18.261,0.536,0.179,0.214
584,1.724,1.034,2.3,53.276,12.483,4.862,18.234,0.552,0.172,0.207
598,1.767,1.033,1.8,53.367,12.5,4.867,18.22,0.533,0.167,0.2
623,1.742,1.032,2.2,53.677,12.806,4.871,18.145,0.516,0.161,0.194
646,1.812,1.062,0.5,53.438,12.875,5.0,18.025,0.5,0.156,0.188
681,1.788,1.152,0.8,52.758,12.636,4.909,17.906,0.485,0.152,0.182
696,1.735,1.147,0.1,53.176,12.618,4.882,17.894,0.471,0.147,0.176
702,1.686,1.229,1.8,52.486,12.314,4.771,17.983,0.457,0.143,0.171
727,1.667,1.278,0.9,52.306,12.333,4.778,17.986,0.444,0.139,0.194
757,1.622,1.351,0.7,52.459,12.405,4.784,18.024,0.459,0.135,0.189
777,1.579,1.342,0.9,52.684,12.342,4.763,18.071,0.474,0.132,0.184
791,1.538,1.41,1.1,53.026,12.41,4.744,18.11,0.462,0.128,0.179
810,1.525,1.375,1.5,52.975,12.375,4.725,18.045,0.475,0.125,0.175
835,1.512,1.341,1.7,52.829,12.293,4.659,18.015,0.463,0.122,0.171
846,1.548,1.452,1.4,52.69,12.262,4.714,18.114,0.452,0.143,0.19
870,1.558,1.442,0.8,52.86,12.256,4.698,18.13,0.442,0.14,0.186
893,1.545,1.432,0.5,52.841,12.273,4.727,18.22,0.455,0.136,0.182
906,1.533,1.467,2.5,52.956,12.178,4.689,18.253,0.467,0.133,0.178
919,1.543,1.457,2.0,52.826,12.217,4.783,18.241,0.457,0.13,0.174
948,1.532,1.426,2.1,52.851,12.298,4.809,18.17,0.468,0.128,0.17
958,1.521,1.417,0.4,53.0,12.354,4.792,18.198,0.479,0.125,0.167
978,1.531,1.449,1.1,52.796,12.224,4.776,18.198,0.469,0.122,0.163
1010,1.54,1.42,0.8,53.06,12.2,4.78,18.162,0.46,0.12,0.16
1039,1.51,1.529,0.4,52.824,12.118,4.765,18.108,0.451,0.118,0.157
1065,1.481,1.538,3.5,52.846,12.0,4.692,18.033,0.442,0.115,0.154
1084,1.491,1.509,2.0,53.132,12.189,4.736,17.983,0.453,0.113,0.151
1097,1.5,1.519,1.4,53.259,12.278,4.778,17.981,0.481,0.111,0.148
1104,1.473,1.509,1.2,53.036,12.345,4.782,17.991,0.491,0.109,0.145
1120,1.446,1.5,1.4,53.25,12.464,4.768,17.995,0.482,0.107,0.143
1155,1.439,1.474,2.1,53.351,12.596,4.772,18.007,0.474,0.105,0.14
1179,1.414,1.483,0.9,53.207,12.759,4.793,17.966,0.483,0.103,0.138
1194,1.407,1.508,1.0,53.068,12.712,4.746,17.941,0.475,0.102,0.136
1228,1.4,1.483,1.1,52.833,12.683,4.733,17.892,0.467,0.1,0.133
1241,1.41,1.475,0.7,52.984,12.705,4.738,17.936,0.475,0.098,0.131
1269,1.403,1.452,2.2,53.016,12.694,4.742,17.942,0.484,0.097,0.129
1275,1.429,1.429,0.5,52.952,12.619,4.714,17.933,0.476,0.111,0.143
1309,1.406,1.422,0.8,52.781,12.547,4.656,17.937,0.469,0.109,0.141
1312,1.385,1.4,1.0,52.462,12.446,4.6,17.912,0.462,0.108,0.138
1334,1.364,1.409,0.8,52.652,12.424,4.576,17.915,0.455,0.106,0.136
1358,1.358,1.418,3.3,52.701,12.388,4.582,17.909,0.448,0.104,0.134
1377,1.397,1.441,1.8,52.618,12.515,4.632,17.913,0.471,0.103,0.132
1387,1.406,1.435,2.9,52.493,12.58,4.638,17.865,0.464,0.101,0.13
1407,1.414,1.429,0.2,52.343,12.7,4.686,17.893,0.486,0.1,0.129
1431,1.408,1.451,0.6,51.986,12.563,4.634,17.876,0.479,0.099,0.127
1443,1.403,1.444,1.5,52.0,12.542,4.639,17.94,0.472,0.097,0.125
1459,1.425,1.479,1.2,51.877,12.63,4.644,17.925,0.466,0.096,0.123
1497,1.432,1.486,0.4,51.946,12.554,4.595,17.961,0.459,0.108,0.135
1514,1.413,1.52,1.3,52.013,12.48,4.56,17.944,0.467,0.107,0.133
1531,1.421,1.5,1.4,51.921,12.461,4.553,17.932,0.461,0.105,0.132
1551,1.416,1.506,2.6,51.922,12.442,4.532,17.91,0.455,0.104,0.13
1568,1.436,1.487,1.6,51.974,12.538,4.603,17.904,0.449,0.103,0.128
1589,1.418,1.468,0.6,52.165,12.57,4.62,17.853,0.443,0.101,0.127
1608,1.4,1.45,2.3,52.1,12.538,4.612,17.899,0.45,0.1,0.125
1639,1.395,1.457,0.8,52.173,12.605,4.617,17.9,0.457,0.099,0.123
1658,1.39,1.451,0.2,52.268,12.585,4.61,17.896,0.463,0.098,0.122
1676,1.373,1.458,2.1,52.229,12.494,4.578,17.894,0.458,0.096,0.12
1696,1.381,1.452,0.4,52.179,12.452,4.548,17.894,0.452,0.107,0.131
1718,1.365,1.459,1.0,52.141,12.435,4.541,17.909,0.447,0.106,0.129
1749,1.372,1.465,0.3,52.081,12.442,4.535,17.88,0.442,0.105,0.128
1770,1.368,1.448,1.5,52.046,12.345,4.494,17.903,0.448,0.103,0.126
1773,1.352,1.443,0.4,51.966,12.386,4.511,17.866,0.443,0.102,0.125
1809,1.36,1.449,0.9,52.079,12.348,4.494,17.89,0.461,0.101,0.124
1812,1.378,1.433,1.6,52.022,12.411,4.5,17.928,0.456,0.1,0.122
1838,1.363,1.429,0.7,52.198,12.527,4.505,17.898,0.451,0.099,0.121
1858,1.359,1.457,2.3,52.196,12.489,4.511,17.925,0.446,0.098,0.12
1866,1.355,1.452,1.5,52.29,12.624,4.527,17.923,0.441,0.097,0.118
1882,1.372,1.479,0.3,52.298,12.638,4.532,17.926,0.436,0.096,0.117
