ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
209,1.3,1.5,4.7,55.0,14.0,4.7,18.96,0.5,0.4,0.4
220,2.0,1.364,1.8,56.727,14.818,5.455,18.791,0.545,0.455,0.455
246,2.083,1.5,1.7,57.083,14.75,5.417,18.492,0.583,0.417,0.417
285,2.154,1.462,1.5,58.154,14.692,5.462,18.538,0.538,0.462,0.462
298,2.071,1.357,1.5,58.357,14.714,5.357,18.5,0.5,0.429,0.429
315,2.067,1.333,2.5,58.267,14.733,5.467,18.493,0.467,0.4,0.4
348,2.125,1.312,0.2,58.938,14.875,5.625,18.144,0.438,0.375,0.375
352,2.059,1.353,1.9,58.588,14.235,5.353,17.8,0.412,0.353,0.353
361,2.056,1.5,0.9,58.278,14.444,5.167,17.672,0.444,0.333,0.333
382,2.0,1.474,1.5,58.211,14.368,5.211,17.884,0.526,0.316,0.316
412,2.15,1.45,2.5,57.75,14.45,5.35,17.9,0.5,0.3,0.3
432,2.238,1.429,2.2,58.0,14.762,5.381,18.024,0.476,0.286,0.286
441,2.136,1.409,1.0,58.045,15.318,5.318,18.1,0.545,0.273,0.318
470,2.087,1.391,1.6,58.652,15.217,5.348,17.97,0.522,0.261,0.304
482,2.0,1.542,0.9,57.792,15.083,5.25,17.867,0.5,0.25,0.292
519,1.92,1.56,1.9,56.8,14.68,5.08,17.844,0.48,0.24,0.28
525,1.962,1.577,0.9,56.308,14.615,5.231,17.915,0.462,0.269,0.308
563,1.926,1.519,2.4,56.481,14.667,5.148,17.963,0.519,0.259,0.296
571,1.964,1.5,0.8,56.5,14.786,5.179,17.946,0.536,0.25,0.286
588,1.897,1.483,1.9,56.31,14.586,5.069,18.045,0.552,0.241,0.276
605,1.867,1.433,2.1,56.333,14.7,5.0,18.053,0.567,0.233,0.267
614,1.839,1.419,1.7,56.226,14.613,5.065,17.848,0.548,0.226,0.258
633,1.844,1.375,2.8,56.031,14.75,5.125,17.906,0.594,0.219,0.25
654,1.788,1.333,1.0,56.364,14.97,5.061,17.876,0.606,0.212,0.242
675,1.824,1.353,0.9,55.971,14.824,5.088,17.824,0.588,0.206,0.235
691,1.8,1.343,1.9,55.914,14.714,5.086,17.734,0.571,0.2,0.229
712,1.833,1.361,0.5,56.056,14.861,5.194,17.722,0.583,0.194,0.222
722,1.811,1.351,2.0,55.514,14.622,5.135,17.673,0.568,0.189,0.216
769,1.842,1.316,1.4,55.711,14.447,5.105,17.742,0.579,0.211,0.237
790,1.821,1.333,1.8,55.872,14.513,5.103,17.685,0.564,0.205,0.231
