ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
42,3.0,2.0,2.3,47.0,6.0,2.0,0.333,0.5,18.2,0.0,1.0,1.0,1.0
71,3.5,1.5,1.5,55.0,16.5,6.5,0.37,0.625,19.35,0.0,0.5,1.0,0.5
94,3.333,1.333,2.1,51.667,15.333,6.0,0.375,0.417,19.933,0.667,0.333,0.667,0.333
101,3.25,1.5,1.7,51.25,15.25,6.0,0.381,0.462,19.0,0.5,0.25,0.5,0.25
127,3.2,1.4,1.9,53.0,15.2,6.0,0.385,0.537,19.06,0.4,0.2,0.4,0.2
138,3.167,1.5,1.7,54.167,15.167,6.333,0.41,0.558,18.95,0.5,0.167,0.333,0.167
166,3.0,1.571,1.2,53.0,14.286,6.0,0.415,0.479,18.057,0.429,0.143,0.286,0.143
177,2.75,1.375,1.1,54.125,14.125,6.125,0.43,0.419,18.0,0.375,0.125,0.25,0.125
183,2.444,1.222,1.7,52.0,13.444,5.889,0.438,0.483,17.922,0.556,0.111,0.222,0.111
200,2.4,1.2,1.6,53.0,13.6,5.8,0.427,0.515,17.68,0.6,0.1,0.2,0.1
231,2.182,1.091,0.5,53.364,13.636,5.545,0.408,0.559,17.727,0.636,0.091,0.182,0.091
256,2.083,1.083,0.4,55.0,13.333,5.583,0.424,0.568,17.842,0.583,0.083,0.167,0.083
262,1.923,1.0,0.9,54.077,13.154,5.462,0.419,0.601,18.408,0.615,0.077,0.154,0.077
272,1.786,0.929,1.7,54.714,13.0,5.143,0.396,0.63,18.407,0.571,0.071,0.143,0.071
307,1.8,0.867,2.1,53.333,12.6,5.133,0.417,0.654,18.347,0.533,0.133,0.2,0.067
326,1.875,0.875,1.2,53.312,12.562,5.25,0.428,0.655,18.138,0.5,0.125,0.188,0.062
344,1.765,0.824,1.7,53.471,12.765,5.176,0.417,0.675,18.153,0.647,0.118,0.176,0.059
379,1.833,0.833,2.0,53.778,13.0,5.222,0.414,0.682,18.339,0.611,0.167,0.222,0.056
410,1.0,1.0,0.6,63.0,15.0,3.0,0.2,0.667,15.1,1.0,0.0,0.0,0.0
428,1.0,0.5,2.0,59.5,12.5,3.0,0.25,0.833,16.95,1.0,0.0,0.0,0.0
452,1.333,0.667,1.2,59.667,14.0,5.333,0.363,0.778,17.0,0.667,0.0,0.0,0.333
477,1.5,1.5,1.5,57.5,15.0,5.5,0.355,0.742,18.0,0.5,0.0,0.0,0.25
493,1.8,1.2,1.4,54.4,14.0,5.2,0.364,0.594,17.98,0.4,0.0,0.0,0.2
