ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
19,1.0,3.0,1.5,75.0,17.0,4.0,0.235,0.25,20.2,1.0,0.0,0.0,1.0
37,2.0,2.5,0.9,61.0,11.5,3.0,0.284,0.375,19.2,0.5,0.5,0.5,1.0
42,1.667,3.667,2.3,53.667,9.0,2.333,0.273,0.298,21.267,0.333,0.667,0.667,1.0
52,2.25,3.0,0.6,56.0,13.5,4.5,0.307,0.411,21.075,0.25,0.5,0.75,0.75
65,1.8,2.4,0.4,55.0,13.6,4.4,0.302,0.529,20.44,0.2,0.4,0.6,0.6
71,1.5,2.167,1.5,54.833,12.667,4.0,0.294,0.44,20.35,0.167,0.333,0.5,0.667
82,1.714,2.0,2.4,53.429,12.714,4.143,0.307,0.378,20.457,0.429,0.286,0.429,0.571
94,1.625,1.75,2.1,54.625,13.125,4.375,0.315,0.455,20.2,0.5,0.375,0.5,0.5
101,1.778,1.778,1.7,54.111,13.333,4.556,0.325,0.471,19.756,0.444,0.333,0.444,0.444
111,1.9,1.7,0.6,54.7,13.5,4.7,0.332,0.508,19.71,0.4,0.3,0.4,0.4
127,1.727,1.545,1.9,53.909,13.273,4.455,0.318,0.552,19.482,0.455,0.273,0.364,0.364
134,1.833,1.583,3.6,54.417,13.417,4.75,0.336,0.562,19.392,0.5,0.25,0.333,0.333
138,2.154,1.615,1.7,53.385,14.308,5.385,0.351,0.557,19.123,0.462,0.308,0.385,0.308
154,2.143,1.643,1.5,52.857,13.929,5.286,0.357,0.517,18.664,0.429,0.286,0.357,0.286
157,2.067,1.533,2.1,53.2,13.733,5.133,0.352,0.55,18.573,0.4,0.267,0.333,0.267
166,2.062,1.5,1.2,52.875,14.0,5.312,0.357,0.565,18.569,0.375,0.312,0.375,0.25
177,2.0,1.412,1.1,53.412,13.941,5.412,0.368,0.532,18.512,0.353,0.294,0.353,0.235
183,1.889,1.333,1.7,52.389,13.611,5.333,0.375,0.558,18.444,0.444,0.278,0.333,0.222
194,1.895,1.316,1.1,52.895,13.684,5.316,0.373,0.571,18.289,0.474,0.263,0.316,0.211
200,1.85,1.35,1.6,54.0,13.8,5.25,0.367,0.559,18.32,0.55,0.25,0.3,0.2
209,1.762,1.286,4.7,54.143,13.81,5.143,0.36,0.58,18.314,0.571,0.238,0.286,0.19
220,2.091,1.227,1.8,55.045,14.227,5.5,0.369,0.599,18.259,0.591,0.273,0.318,0.182
231,2.13,1.304,0.5,55.304,14.217,5.478,0.369,0.573,18.126,0.609,0.261,0.304,0.174
246,2.083,1.292,1.7,56.042,14.042,5.5,0.378,0.577,18.167,0.583,0.25,0.292,0.167
256,2.12,1.28,0.4,56.64,14.04,5.52,0.38,0.587,18.204,0.56,0.28,0.32,0.16
262,2.038,1.231,0.9,56.115,13.923,5.462,0.38,0.603,18.473,0.577,0.269,0.308,0.154
272,1.963,1.185,1.7,56.37,13.815,5.296,0.369,0.618,18.47,0.556,0.259,0.296,0.148
285,1.964,1.143,1.5,55.571,13.571,5.286,0.381,0.631,18.436,0.536,0.286,0.321,0.143
298,1.931,1.103,1.5,55.759,13.621,5.241,0.377,0.61,18.421,0.517,0.276,0.31,0.138
307,1.933,1.1,2.1,55.8,13.667,5.3,0.38,0.611,18.42,0.5,0.267,0.3,0.133
315,1.968,1.097,2.5,55.71,13.613,5.355,0.387,0.613,18.31,0.484,0.258,0.29,0.129
326,2.0,1.094,1.2,56.125,13.719,5.438,0.389,0.615,18.141,0.469,0.25,0.281,0.125
344,1.939,1.061,1.7,56.121,13.788,5.394,0.385,0.627,18.148,0.545,0.242,0.273,0.121
