ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
37,1.0,3.0,0.9,75.0,17.0,4.0,0.235,0.25,20.2,1.0,0.0,0.0,1.0
52,1.0,4.5,0.6,57.0,10.5,2.5,0.243,0.196,22.8,0.5,0.5,0.5,1.0
65,0.667,3.0,0.4,55.0,11.667,3.0,0.257,0.464,21.167,0.333,0.333,0.333,0.667
82,0.5,2.5,2.4,54.75,10.75,2.75,0.255,0.348,20.85,0.25,0.25,0.25,0.75
111,0.6,2.0,0.6,56.4,11.8,3.4,0.279,0.479,20.36,0.4,0.4,0.4,0.6
134,0.5,1.667,3.6,54.667,11.667,3.167,0.263,0.565,19.833,0.5,0.333,0.333,0.5
154,1.286,1.714,1.5,52.714,13.571,4.571,0.3,0.556,19.271,0.429,0.429,0.429,0.429
157,1.25,1.5,2.1,53.375,13.25,4.375,0.296,0.612,19.025,0.375,0.375,0.375,0.375
194,1.333,1.444,1.1,52.778,13.778,4.778,0.313,0.633,18.967,0.333,0.444,0.444,0.333
209,1.3,1.5,4.7,55.0,14.0,4.7,0.306,0.603,18.96,0.5,0.4,0.4,0.3
220,2.0,1.364,1.8,56.727,14.818,5.455,0.33,0.639,18.791,0.545,0.455,0.455,0.273
246,2.083,1.5,1.7,57.083,14.75,5.417,0.332,0.586,18.492,0.583,0.417,0.417,0.25
285,2.154,1.462,1.5,58.154,14.692,5.462,0.34,0.605,18.538,0.538,0.462,0.462,0.231
298,2.071,1.357,1.5,58.357,14.714,5.357,0.334,0.561,18.5,0.5,0.429,0.429,0.214
315,2.067,1.333,2.5,58.267,14.733,5.467,0.343,0.568,18.493,0.467,0.4,0.4,0.2
348,2.125,1.312,0.2,58.938,14.875,5.625,0.351,0.575,18.144,0.438,0.375,0.375,0.188
352,2.059,1.353,1.9,58.588,14.235,5.353,0.345,0.56,17.8,0.412,0.353,0.353,0.176
361,2.056,1.5,0.9,58.278,14.444,5.167,0.332,0.557,17.672,0.444,0.333,0.333,0.167
412,5.0,1.0,2.5,49.0,16.0,8.0,0.5,0.667,18.2,0.0,0.0,0.0,0.0
432,4.5,1.0,2.2,56.0,18.5,7.0,0.393,0.667,19.35,0.0,0.0,0.0,0.0
441,3.0,1.0,1.0,57.0,21.333,6.0,0.311,0.667,19.467,0.667,0.0,0.333,0.0
470,2.5,1.0,1.6,60.75,19.25,6.0,0.349,0.625,18.375,0.5,0.0,0.25,0.0
482,2.0,1.8,0.9,56.2,17.8,5.4,0.329,0.575,17.8,0.4,0.0,0.2,0.0
519,1.667,1.833,1.9,52.333,15.667,4.667,0.308,0.579,17.717,0.333,0.0,0.167,0.0
525,1.857,1.857,0.9,51.143,15.286,5.286,0.363,0.598,18.0,0.286,0.143,0.286,0.0
563,1.75,1.625,2.4,52.375,15.375,5.0,0.341,0.649,18.15,0.5,0.125,0.25,0.0
571,1.889,1.556,0.8,52.889,15.667,5.111,0.34,0.651,18.078,0.556,0.111,0.222,0.0
588,1.7,1.5,1.9,52.7,15.0,4.8,0.328,0.669,18.35,0.6,0.1,0.2,0.0
605,1.636,1.364,2.1,53.091,15.273,4.636,0.313,0.699,18.345,0.636,0.091,0.182,0.0
614,1.583,1.333,1.7,53.083,15.0,4.833,0.336,0.703,17.792,0.583,0.083,0.167,0.0
633,1.615,1.231,2.8,52.846,15.308,5.0,0.338,0.726,17.938,0.692,0.077,0.154,0.0
654,1.5,1.143,1.0,53.857,15.786,4.857,0.324,0.746,17.864,0.714,0.071,0.143,0.0
675,1.6,1.2,0.9,53.133,15.4,4.933,0.342,0.629,17.747,0.667,0.067,0.133,0.067
