ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
200,2.4,1.2,1.6,53.0,13.6,5.8,0.427,0.515,17.68,0.6,0.1,0.2,0.1
231,2.1,1.0,0.5,54.0,14.4,5.9,0.416,0.565,17.68,0.7,0.0,0.1,0.0
256,1.8,1.0,0.4,55.0,12.7,5.4,0.435,0.557,17.54,0.7,0.0,0.0,0.0
262,1.5,0.9,0.9,54.8,12.5,5.3,0.433,0.657,17.95,0.6,0.0,0.0,0.0
272,1.2,0.7,1.7,56.1,12.1,4.8,0.402,0.697,18.17,0.6,0.0,0.0,0.0
307,1.1,0.6,2.1,53.5,11.3,4.7,0.433,0.713,17.99,0.6,0.1,0.1,0.0
326,1.1,0.5,1.2,52.8,11.0,4.6,0.438,0.713,17.65,0.5,0.1,0.1,0.0
344,0.9,0.3,1.7,53.8,11.7,4.6,0.419,0.813,18.22,0.8,0.1,0.1,0.0
379,1.1,0.4,2.0,53.5,12.1,4.5,0.4,0.893,18.61,0.8,0.2,0.2,0.0
397,1.3,0.5,1.8,54.3,12.1,4.4,0.388,0.868,18.74,0.6,0.3,0.3,0.0
410,1.2,0.5,0.6,54.4,12.1,4.2,0.374,0.855,18.7,0.6,0.3,0.3,0.0
428,1.3,0.5,2.0,54.3,11.7,4.2,0.383,0.855,18.76,0.6,0.3,0.3,0.0
452,1.4,0.5,1.2,53.0,12.4,4.6,0.382,0.855,18.56,0.6,0.3,0.3,0.1
477,1.6,0.9,1.5,53.8,13.1,4.8,0.379,0.819,18.14,0.5,0.3,0.3,0.1
493,1.9,0.9,1.4,51.7,13.0,5.1,0.41,0.719,18.09,0.5,0.3,0.3,0.1
509,1.8,1.3,0.9,54.4,13.2,4.9,0.372,0.652,17.83,0.5,0.2,0.2,0.2
535,1.6,1.3,2.0,52.6,12.3,4.4,0.38,0.665,18.4,0.5,0.2,0.2,0.3
556,1.7,1.3,1.6,52.2,11.9,4.4,0.388,0.665,18.48,0.4,0.3,0.3,0.3
579,1.5,1.3,1.0,53.1,11.5,4.1,0.376,0.673,18.12,0.4,0.2,0.2,0.3
584,1.5,1.4,2.3,53.4,12.0,4.4,0.385,0.676,18.01,0.5,0.1,0.1,0.3
598,1.7,1.4,1.8,52.7,11.8,4.6,0.403,0.698,18.28,0.4,0.1,0.1,0.3
623,1.7,1.5,2.2,53.4,13.0,4.8,0.396,0.664,17.99,0.3,0.1,0.1,0.3
646,1.9,1.6,0.5,52.0,12.8,4.7,0.397,0.664,17.71,0.3,0.1,0.1,0.2
681,1.8,1.6,0.8,50.0,11.5,4.3,0.404,0.661,17.02,0.3,0.1,0.1,0.2
696,1.5,1.7,0.1,52.5,11.7,4.3,0.397,0.728,16.98,0.3,0.1,0.1,0.2
702,1.4,1.7,1.8,49.3,11.0,4.1,0.414,0.714,17.59,0.3,0.1,0.1,0.1
727,1.4,1.9,0.9,50.4,12.0,4.4,0.386,0.684,17.33,0.3,0.1,0.2,0.1
757,1.3,2.3,0.7,51.0,12.3,4.5,0.386,0.604,17.35,0.2,0.0,0.1,0.1
777,1.2,2.3,0.9,50.3,12.0,4.6,0.402,0.583,17.54,0.3,0.0,0.1,0.1
791,1.0,2.5,1.1,52.3,12.2,4.4,0.383,0.548,17.75,0.2,0.0,0.1,0.1
810,0.8,2.4,1.5,51.8,12.0,4.3,0.381,0.56,17.52,0.3,0.0,0.1,0.1
835,0.8,2.3,1.7,50.2,10.7,4.0,0.38,0.593,17.61,0.3,0.0,0.1,0.1
846,0.7,2.7,1.4,50.3,10.3,3.8,0.384,0.56,18.4,0.3,0.1,0.2,0.1
870,0.8,2.4,0.8,53.2,11.0,4.0,0.377,0.55,18.87,0.3,0.1,0.2,0.1
893,0.9,2.4,0.5,51.7,11.1,4.2,0.39,0.483,19.33,0.4,0.1,0.2,0.2
906,1.0,2.3,2.5,54.6,11.7,4.4,0.378,0.488,19.2,0.5,0.1,0.2,0.2
919,1.1,2.1,2.0,54.7,11.8,4.8,0.403,0.524,19.16,0.5,0.1,0.1,0.1
948,1.2,1.7,2.1,54.3,11.9,4.9,0.408,0.604,18.71,0.5,0.1,0.1,0.1
958,1.3,1.7,0.4,54.2,12.4,4.9,0.394,0.617,18.68,0.5,0.1,0.1,0.1
978,1.5,1.6,1.1,51.9,11.5,4.9,0.434,0.614,18.54,0.5,0.1,0.1,0.1
1010,1.6,1.6,0.8,53.4,11.5,5.0,0.443,0.614,18.63,0.4,0.1,0.1,0.1
1039,1.5,2.3,0.4,52.8,11.4,5.2,0.471,0.527,18.49,0.4,0.1,0.1,0.1
1065,1.2,1.9,3.5,53.5,10.9,4.6,0.424,0.56,17.69,0.4,0.0,0.0,0.1
1084,1.2,1.8,2.0,54.3,11.9,4.9,0.423,0.51,17.35,0.5,0.0,0.0,0.1
1097,1.3,1.9,1.4,55.1,12.3,5.0,0.418,0.581,16.93,0.6,0.0,0.0,0.0
1104,1.2,1.7,1.2,53.4,13.1,5.2,0.411,0.636,16.81,0.6,0.0,0.0,0.1
1120,1.0,1.7,1.4,55.2,13.6,4.7,0.368,0.626,16.86,0.6,0.0,0.0,0.1
1155,1.0,1.7,2.1,55.7,14.0,4.6,0.356,0.626,17.24,0.5,0.0,0.0,0.1
1179,0.9,1.8,0.9,54.2,14.7,4.8,0.356,0.612,16.85,0.5,0.0,0.0,0.1
1194,0.8,1.8,1.0,54.4,15.1,4.6,0.31,0.612,16.68,0.5,0.0,0.0,0.1
1228,0.7,1.8,1.1,51.7,15.1,4.5,0.301,0.612,16.54,0.5,0.0,0.0,0.1
1241,0.9,1.2,0.7,53.8,15.7,4.6,0.286,0.68,17.06,0.6,0.0,0.0,0.2
1269,1.0,1.0,2.2,53.9,16.3,5.0,0.311,0.713,17.47,0.7,0.0,0.0,0.2
1275,1.1,1.0,0.5,52.0,14.9,4.6,0.317,0.813,17.67,0.6,0.1,0.1,0.2
1309,0.9,0.9,0.8,50.2,14.0,4.0,0.288,0.817,17.7,0.4,0.1,0.1,0.2
1312,0.9,0.8,1.0,49.3,13.0,3.6,0.274,0.837,17.48,0.3,0.1,0.1,0.1
1334,0.9,0.9,0.8,49.3,12.2,3.5,0.28,0.822,17.47,0.3,0.1,0.1,0.1
1358,0.9,1.1,3.3,49.0,11.2,3.5,0.305,0.722,17.35,0.3,0.1,0.1,0.1
1377,1.3,1.2,1.8,49.2,11.1,3.7,0.316,0.695,17.61,0.4,0.1,0.1,0.2
1387,1.4,1.0,2.9,49.1,11.8,4.0,0.325,0.744,17.42,0.4,0.1,0.1,0.2
1407,1.5,1.1,0.2,49.4,12.8,4.4,0.327,0.719,17.9,0.6,0.1,0.1,0.2
1431,1.4,1.3,0.6,45.9,11.7,4.0,0.325,0.701,17.51,0.5,0.1,0.1,0.1
1443,1.4,1.4,1.5,45.7,11.6,4.0,0.328,0.681,17.93,0.4,0.1,0.1,0.1
1459,1.4,1.8,1.2,45.1,12.7,4.2,0.317,0.631,17.87,0.4,0.0,0.0,0.3
1497,1.6,1.9,0.4,46.6,12.6,4.2,0.319,0.616,18.11,0.4,0.1,0.1,0.3
1514,1.6,2.3,1.3,49.1,12.7,4.3,0.331,0.576,18.15,0.5,0.1,0.1,0.3
1531,1.8,2.1,1.4,47.1,12.7,4.4,0.34,0.616,18.04,0.5,0.1,0.1,0.3
1551,1.8,2.1,2.6,46.7,12.8,4.2,0.317,0.666,17.92,0.5,0.1,0.1,0.3
1568,1.7,1.8,1.6,47.6,12.7,4.4,0.329,0.726,17.84,0.3,0.1,0.1,0.3
1589,1.5,1.7,0.6,49.9,12.5,4.5,0.34,0.738,17.77,0.3,0.1,0.1,0.3
1608,1.3,1.6,2.3,50.4,11.4,4.1,0.342,0.762,17.94,0.2,0.1,0.1,0.3
