ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
111,1.9,1.7,0.6,54.7,13.5,4.7,19.71,0.4,0.3,0.4
127,1.8,1.4,1.9,51.8,12.9,4.5,19.41,0.4,0.3,0.4
134,1.8,1.4,3.6,53.1,13.8,5.1,19.43,0.5,0.2,0.3
138,2.3,1.0,1.7,53.3,15.9,6.3,18.48,0.5,0.2,0.3
154,2.1,1.1,1.5,51.6,14.1,5.6,17.7,0.5,0.2,0.2
157,2.2,1.1,2.1,52.3,13.8,5.5,17.64,0.5,0.2,0.2
166,2.4,1.1,1.2,51.7,14.8,6.1,17.5,0.5,0.3,0.3
177,2.2,1.0,1.1,53.4,14.8,6.3,17.15,0.3,0.3,0.3
183,2.1,1.0,1.7,50.6,14.0,6.1,17.04,0.4,0.2,0.2
194,2.0,0.9,1.1,51.8,14.0,6.0,16.97,0.5,0.2,0.2
200,1.8,1.0,1.6,53.3,14.1,5.8,16.93,0.7,0.2,0.2
209,1.8,1.0,4.7,54.4,14.4,5.9,17.03,0.7,0.2,0.2
220,2.4,0.8,1.8,55.8,15.2,6.4,16.9,0.7,0.3,0.3
231,2.1,0.9,0.5,57.8,14.1,5.6,16.83,0.8,0.2,0.2
246,2.0,0.8,1.7,60.5,14.2,5.8,17.47,0.8,0.2,0.2
256,2.2,0.9,0.4,61.8,14.5,6.1,17.65,0.8,0.3,0.3
262,2.0,0.8,0.9,61.3,13.8,5.7,18.32,0.9,0.2,0.2
272,1.9,0.8,1.7,61.4,13.6,5.1,18.4,0.9,0.2,0.2
285,2.1,0.8,1.5,61.3,13.5,5.2,18.42,0.7,0.3,0.3
298,2.0,0.7,1.5,61.2,13.5,5.1,18.67,0.6,0.3,0.3
307,2.1,0.6,2.1,59.4,13.4,5.4,18.62,0.4,0.3,0.3
315,2.4,0.7,2.5,59.0,13.2,5.8,18.3,0.3,0.3,0.3
326,1.8,0.8,1.2,58.5,12.6,5.3,17.88,0.2,0.2,0.2
344,1.5,0.5,1.7,58.0,12.8,5.2,18.2,0.4,0.2,0.2
348,1.7,0.5,0.2,56.6,13.5,5.2,18.44,0.4,0.3,0.3
352,1.5,0.6,1.9,54.8,12.5,4.7,17.76,0.4,0.2,0.2
361,1.7,1.0,0.9,55.8,13.2,4.5,16.79,0.4,0.2,0.2
379,1.8,1.1,2.0,55.2,13.4,5.0,17.12,0.6,0.2,0.2
382,1.8,1.2,1.5,56.1,13.5,4.8,17.23,0.6,0.2,0.2
397,2.2,1.3,1.8,54.9,13.6,5.2,17.25,0.6,0.2,0.2
410,2.1,1.3,0.6,55.5,13.6,4.8,16.92,0.7,0.2,0.2
412,1.9,1.2,2.5,55.8,13.4,4.4,17.3,0.8,0.2,0.2
428,2.0,1.2,2.0,55.2,13.8,4.2,18.06,0.8,0.2,0.2
432,2.2,1.3,2.2,55.6,13.9,4.8,17.93,0.5,0.2,0.2
441,1.9,1.3,1.0,55.6,14.9,4.6,17.75,0.7,0.1,0.2
452,1.9,1.2,1.2,57.5,15.8,5.1,18.03,0.7,0.1,0.2
470,1.9,1.2,1.6,57.3,15.8,5.5,18.58,0.6,0.1,0.2
477,1.8,1.6,1.5,55.4,15.7,5.2,17.96,0.4,0.1,0.2
482,1.9,1.5,0.9,55.3,15.9,5.3,17.89,0.4,0.0,0.1
493,1.4,1.6,1.4,53.7,14.8,4.6,17.8,0.4,0.0,0.1
509,1.4,1.9,0.9,53.5,14.2,4.6,17.78,0.3,0.0,0.1
519,1.4,2.0,1.9,51.4,13.5,4.5,17.97,0.2,0.0,0.1
525,1.3,2.1,0.9,49.5,12.7,4.8,17.89,0.2,0.1,0.2
535,1.2,2.0,2.0,49.6,12.6,4.1,18.1,0.4,0.1,0.2
556,1.3,1.9,1.6,48.9,11.1,4.1,18.05,0.4,0.2,0.2
563,1.3,1.9,2.4,48.5,11.1,3.8,18.33,0.4,0.2,0.2
571,1.4,1.6,0.8,49.1,11.1,3.8,17.98,0.5,0.2,0.2
579,1.4,1.2,1.0,50.4,10.8,3.7,18.51,0.6,0.2,0.2
584,1.3,1.4,2.3,50.8,11.1,3.9,18.47,0.7,0.2,0.2
588,1.6,1.3,1.9,53.1,11.9,4.3,18.52,0.7,0.2,0.2
598,1.6,0.9,1.8,52.7,12.8,4.3,18.86,0.8,0.2,0.2
605,1.6,0.9,2.1,55.5,14.7,4.6,18.38,0.8,0.2,0.2
614,1.4,0.8,1.7,56.4,14.6,4.4,17.58,0.8,0.1,0.1
623,1.5,0.8,2.2,55.3,14.9,4.8,17.63,0.8,0.1,0.1
633,1.8,1.0,2.8,54.7,15.2,5.3,17.14,0.6,0.0,0.0
646,1.7,0.9,0.5,54.6,16.1,5.3,17.04,0.7,0.0,0.0
654,1.5,1.2,1.0,52.0,14.8,4.9,16.7,0.6,0.0,0.0
675,1.8,1.3,0.9,51.2,14.9,5.3,16.23,0.5,0.0,0.0
681,1.7,1.2,0.8,52.0,14.7,5.2,15.95,0.4,0.0,0.0
691,1.4,1.2,1.9,53.1,14.6,5.1,15.92,0.4,0.0,0.0
696,1.6,1.4,0.1,53.5,14.8,5.7,15.82,0.4,0.0,0.0
702,1.5,1.7,1.8,50.1,12.8,5.3,16.33,0.4,0.0,0.0
712,1.5,1.9,0.5,49.4,12.9,5.1,16.97,0.4,0.0,0.1
722,1.4,2.0,2.0,48.0,11.6,4.7,16.59,0.2,0.0,0.1
727,1.3,1.8,0.9,49.7,10.9,4.2,17.19,0.3,0.1,0.2
757,1.3,2.2,0.7,48.8,10.2,4.4,17.44,0.3,0.1,0.2
769,1.2,1.9,1.4,51.8,10.7,4.6,18.01,0.4,0.1,0.2
777,1.0,1.9,0.9,53.7,11.4,4.5,17.95,0.4,0.1,0.2
790,0.9,2.2,1.8,54.9,11.8,4.4,18.44,0.4,0.1,0.2
791,1.1,2.2,1.1,51.2,11.9,4.5,18.64,0.6,0.1,0.2
810,0.9,2.0,1.5,50.2,11.0,4.0,18.46,0.6,0.1,0.2
820,1.0,1.6,1.5,52.0,11.7,4.1,18.04,0.6,0.1,0.2
835,1.2,1.4,1.7,51.4,11.4,4.2,17.78,0.6,0.1,0.1
846,1.4,1.9,1.4,52.5,11.9,4.6,18.41,0.6,0.2,0.2
854,1.3,2.0,0.8,52.2,12.3,4.6,18.26,0.5,0.1,0.1
864,1.3,1.6,1.5,52.7,12.3,4.3,18.26,0.5,0.1,0.1
870,1.5,1.5,0.8,51.8,14.1,4.9,18.42,0.5,0.1,0.1
886,1.5,1.4,1.2,50.8,13.7,5.0,19.08,0.6,0.1,0.1
893,1.6,1.0,0.5,49.5,13.8,4.9,18.93,0.6,0.1,0.1
906,1.5,1.2,2.5,52.3,13.3,4.7,18.95,0.5,0.1,0.1
915,1.6,1.3,2.4,51.9,13.6,5.2,19.17,0.4,0.1,0.1
919,1.8,1.3,2.0,53.7,14.4,5.8,19.08,0.4,0.1,0.1
931,1.6,1.2,2.2,55.1,15.0,5.8,19.02,0.5,0.1,0.1
939,1.6,0.6,1.7,56.2,15.7,5.7,18.47,0.7,0.0,0.0
948,1.6,0.6,2.1,53.2,15.3,5.6,18.07,0.7,0.0,0.0
958,1.7,0.7,0.4,52.9,15.3,5.8,18.08,0.7,0.0,0.0
962,1.7,1.0,2.0,52.0,13.1,5.2,17.76,0.6,0.0,0.0
970,1.8,1.0,2.0,52.0,13.1,5.0,17.19,0.5,0.1,0.1
978,1.9,1.2,1.1,53.3,13.9,5.3,17.05,0.5,0.1,0.1
990,2.0,0.9,4.4,54.1,14.2,5.5,16.72,0.4,0.1,0.1
1010,2.1,0.8,0.8,55.1,15.4,5.4,16.5,0.5,0.1,0.1
1018,1.8,1.5,0.8,52.7,14.5,5.0,16.45,0.5,0.1,0.1
1039,1.7,1.5,0.4,52.0,13.9,4.8,16.5,0.4,0.1,0.1
1046,1.4,1.7,1.2,51.6,12.7,4.3,16.25,0.2,0.1,0.1
1047,1.3,1.6,3.4,55.0,13.7,4.3,16.76,0.3,0.1,0.1
1065,1.4,1.5,3.5,55.3,15.1,5.0,16.46,0.2,0.1,0.1
1084,1.4,1.2,2.0,57.8,16.7,5.3,16.18,0.3,0.1,0.1
1090,1.4,1.3,1.2,58.6,17.1,5.6,16.33,0.5,0.0,0.0
1097,1.3,1.1,1.4,57.7,16.1,5.6,16.56,0.5,0.0,0.0
1104,1.1,1.2,1.2,55.2,16.6,5.6,16.77,0.6,0.0,0.0
1109,0.8,1.3,3.2,56.0,15.9,5.2,17.04,0.5,0.0,0.0
1120,1.0,0.6,1.4,56.7,17.8,5.7,17.43,0.7,0.0,0.0
1130,1.1,0.6,5.2,57.9,18.8,5.8,17.76,0.7,0.0,0.0
1137,1.5,0.5,2.9,56.7,19.9,6.5,17.87,0.7,0.1,0.1
1150,1.6,0.6,2.2,55.6,20.2,7.0,17.95,0.7,0.1,0.1
1155,1.5,0.6,2.1,54.4,18.8,6.1,17.77,0.7,0.1,0.1
1165,1.3,0.8,2.8,52.1,18.8,6.0,17.79,0.7,0.1,0.1
1179,1.4,0.8,0.9,52.7,18.8,6.1,18.03,0.5,0.2,0.2
1183,1.4,1.1,1.0,51.5,18.4,5.7,17.78,0.5,0.2,0.2
1194,1.5,1.3,1.0,51.8,18.2,5.6,17.79,0.5,0.2,0.2
1202,1.6,1.2,1.3,49.2,17.4,5.6,17.47,0.5,0.2,0.2
1212,1.4,1.3,1.4,52.1,16.6,5.0,17.09,0.3,0.2,0.2
1228,1.5,1.4,1.1,52.6,16.7,5.3,17.05,0.4,0.2,0.2
1240,1.3,1.4,0.9,54.6,16.4,5.0,17.58,0.5,0.1,0.1
1241,1.1,1.6,0.7,53.3,15.0,4.5,17.03,0.4,0.1,0.1
1252,1.1,1.6,2.2,53.7,14.7,4.8,17.39,0.5,0.1,0.1
1269,1.2,1.4,2.2,55.6,14.0,4.6,17.23,0.5,0.1,0.1
1275,1.2,1.2,0.5,53.9,13.1,4.1,16.94,0.5,0.1,0.1
1287,1.1,1.0,4.1,53.6,12.9,4.0,17.11,0.5,0.1,0.1
1292,1.2,0.8,1.1,53.7,14.2,4.4,16.79,0.5,0.1,0.2
1309,1.1,1.1,0.8,56.6,15.1,4.3,16.83,0.5,0.1,0.2
1312,1.1,1.0,1.0,52.1,13.8,4.1,16.91,0.5,0.1,0.2
1323,0.9,1.1,1.1,52.2,12.8,3.6,16.89,0.4,0.1,0.2
1334,1.0,1.2,0.8,50.6,12.7,3.8,16.63,0.4,0.1,0.2
1343,1.1,1.1,0.8,52.2,13.0,4.0,16.86,0.4,0.1,0.2
1358,1.2,1.3,3.3,50.4,12.7,3.7,16.48,0.4,0.1,0.2
1364,1.5,1.6,0.7,48.7,13.3,4.1,16.9,0.5,0.1,0.2
1377,1.5,1.6,1.8,48.9,13.7,4.3,17.2,0.5,0.0,0.1
1387,1.7,1.6,2.9,49.1,14.6,4.7,16.84,0.5,0.0,0.1
1392,1.7,1.6,1.7,48.8,14.0,4.7,17.28,0.6,0.0,0.0
1407,1.8,1.5,0.2,47.7,14.1,5.2,17.47,0.6,0.0,0.0
1409,1.9,1.8,2.7,47.2,13.8,5.2,17.51,0.6,0.0,0.0
1431,2.1,1.6,0.6,45.8,14.0,5.5,17.46,0.7,0.2,0.2
1443,1.9,1.5,1.5,46.5,13.8,5.3,17.91,0.6,0.2,0.2
1451,2.1,1.7,0.7,45.2,14.7,5.3,17.84,0.6,0.2,0.2
1459,2.1,1.7,1.2,45.3,14.7,5.6,18.2,0.5,0.2,0.2
1474,1.9,1.6,2.9,46.3,13.3,4.9,18.44,0.3,0.3,0.3
1479,2.0,1.8,2.7,48.3,14.5,5.6,18.09,0.3,0.4,0.4
1497,1.9,1.8,0.4,48.7,15.5,6.1,18.43,0.3,0.4,0.4
1506,1.7,2.1,0.5,50.2,14.1,5.5,18.12,0.2,0.4,0.4
1510,1.6,2.0,1.5,49.9,13.4,4.9,18.68,0.2,0.4,0.4
1514,1.8,1.9,1.3,51.7,14.8,5.6,18.53,0.2,0.4,0.4
1521,1.8,1.9,2.4,51.1,14.6,5.4,18.47,0.1,0.2,0.2
1531,1.8,1.8,1.4,51.3,14.9,5.4,17.98,0.1,0.2,0.2
1550,1.6,1.6,1.4,52.2,14.1,5.2,17.93,0.1,0.2,0.2
1551,1.4,1.7,2.6,53.7,14.0,5.0,17.68,0.1,0.2,0.2
1568,1.5,1.5,1.6,53.6,15.3,5.9,17.36,0.1,0.1,0.1
1579,1.1,1.3,1.0,53.2,14.4,5.3,17.06,0.1,0.0,0.0
1589,1.0,1.5,0.6,52.3,12.8,4.5,16.77,0.1,0.0,0.0
1596,1.0,1.1,1.3,51.3,13.1,4.7,17.25,0.1,0.0,0.0
1608,1.2,1.1,2.3,50.9,14.0,5.6,16.83,0.1,0.0,0.0
1619,1.0,1.1,2.0,52.2,14.1,5.3,17.11,0.2,0.0,0.0
1629,0.9,1.2,0.8,52.3,14.0,5.2,17.24,0.3,0.1,0.1
1639,1.1,1.2,0.8,51.9,13.9,5.0,17.41,0.3,0.1,0.1
1648,1.1,1.1,1.1,52.7,13.9,5.1,17.54,0.4,0.1,0.1
1658,1.5,0.8,0.2,53.4,14.2,5.3,17.49,0.4,0.1,0.1
1664,1.2,1.0,1.6,52.7,12.7,4.5,17.52,0.4,0.1,0.1
1676,1.4,1.3,2.1,53.1,12.9,4.6,18.0,0.5,0.1,0.1
1687,1.6,1.1,2.2,54.0,12.7,4.6,18.28,0.5,0.2,0.2
1696,1.6,1.4,0.4,55.3,14.0,4.9,17.9,0.5,0.2,0.2
1708,1.4,1.5,0.8,55.2,12.8,4.2,17.95,0.5,0.2,0.2
1718,1.3,1.5,1.0,54.6,12.0,3.7,17.81,0.4,0.2,0.2
1729,1.4,1.6,3.4,54.7,12.3,3.8,17.52,0.3,0.1,0.1
1737,1.4,1.7,1.5,55.6,13.3,4.4,17.09,0.3,0.1,0.1
1749,1.4,1.9,0.3,54.7,13.1,4.0,16.97,0.2,0.2,0.2
1757,1.1,1.9,1.1,53.6,12.4,3.6,17.45,0.3,0.2,0.2
1770,1.1,1.9,1.5,55.3,13.6,3.6,17.21,0.3,0.2,0.2
1773,0.9,1.7,0.4,52.7,13.5,3.5,16.8,0.2,0.2,0.2
1787,0.9,1.8,0.7,54.1,13.5,3.6,17.01,0.4,0.1,0.1
1800,1.2,1.7,1.5,52.6,12.2,3.5,16.53,0.3,0.1,0.1
1809,1.3,1.6,0.9,50.9,12.1,3.7,16.2,0.4,0.1,0.1
1812,1.6,1.4,1.6,50.4,12.9,4.2,16.67,0.4,0.1,0.1
1828,1.4,1.3,0.9,52.5,13.9,4.3,16.65,0.4,0.1,0.1
1838,1.1,1.2,0.7,50.7,12.9,3.6,16.94,0.5,0.1,0.1
1848,1.1,1.3,1.3,50.8,12.9,4.1,17.34,0.5,0.0,0.0
1858,1.0,1.4,2.3,51.8,13.7,4.2,17.31,0.7,0.0,0.0
1866,1.1,1.3,1.5,51.3,14.5,4.6,17.55,0.7,0.0,0.0
1878,1.4,1.6,2.1,52.1,14.3,4.5,17.91,0.7,0.0,0.0
1882,1.2,1.6,0.3,51.1,15.4,4.7,17.72,0.5,0.0,0.0
1898,0.9,1.5,2.9,51.9,14.8,4.2,17.96,0.5,0.0,0.0
