ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
209,1.3,1.5,4.7,55.0,14.0,4.7,18.96,0.5,0.4,0.4
220,2.1,1.2,1.8,54.9,14.6,5.6,18.65,0.5,0.5,0.5
246,2.3,0.9,1.7,57.1,15.6,6.0,17.63,0.6,0.4,0.4
285,2.6,1.0,1.5,59.1,15.6,6.2,17.75,0.6,0.5,0.5
298,2.7,0.9,1.5,59.8,16.3,6.4,17.56,0.6,0.5,0.5
315,2.8,1.0,2.5,59.2,16.2,6.5,17.56,0.5,0.4,0.4
348,3.1,1.1,0.2,61.5,16.8,7.1,17.13,0.4,0.4,0.4
352,2.6,1.1,1.9,62.7,14.7,5.9,16.77,0.4,0.3,0.3
361,2.7,1.5,0.9,62.2,15.4,5.8,16.59,0.5,0.3,0.3
382,2.6,1.5,1.5,63.1,14.9,5.6,16.91,0.7,0.2,0.2
412,3.0,1.4,2.5,60.5,14.9,6.0,16.84,0.5,0.2,0.2
432,2.5,1.5,2.2,59.4,14.7,5.3,17.18,0.4,0.1,0.1
441,2.2,1.3,1.0,59.2,16.0,5.2,17.63,0.5,0.1,0.2
470,2.0,1.3,1.6,59.3,15.9,5.2,17.23,0.5,0.0,0.1
482,1.9,1.8,0.9,57.0,15.6,5.1,16.98,0.5,0.0,0.1
519,1.7,1.9,1.9,54.6,14.6,4.5,16.87,0.5,0.0,0.1
525,1.7,2.0,0.9,52.1,14.2,4.6,17.55,0.5,0.1,0.2
563,1.7,1.8,2.4,52.9,15.4,4.8,18.24,0.7,0.1,0.2
571,1.8,1.5,0.8,53.3,15.4,5.2,18.44,0.7,0.1,0.2
588,1.7,1.5,1.9,52.7,15.0,4.8,18.35,0.6,0.1,0.2
605,1.3,1.4,2.1,53.5,15.2,4.3,18.36,0.7,0.1,0.2
614,1.0,1.4,1.7,52.5,14.3,4.4,17.48,0.7,0.1,0.2
633,1.2,1.3,2.8,51.6,13.5,4.7,17.48,0.7,0.1,0.1
654,1.1,1.2,1.0,51.1,14.4,4.4,17.66,0.8,0.1,0.1
675,1.4,0.9,0.9,51.6,14.2,4.7,17.72,0.8,0.1,0.1
691,1.5,0.8,1.9,53.7,14.8,5.1,17.46,0.8,0.1,0.1
712,1.5,0.8,0.5,55.4,15.5,5.1,17.22,0.9,0.0,0.0
722,1.5,0.9,2.0,52.9,14.5,5.1,16.89,0.7,0.0,0.0
769,1.5,0.8,1.4,53.5,13.5,4.9,17.17,0.7,0.1,0.1
790,1.6,0.9,1.8,54.6,14.3,5.2,16.64,0.6,0.1,0.1
820,1.7,1.0,1.5,51.9,13.8,5.4,16.76,0.7,0.1,0.1
854,1.9,1.0,0.8,50.6,13.6,5.3,17.14,0.7,0.1,0.1
864,1.7,1.0,1.5,51.9,13.2,4.8,17.11,0.6,0.1,0.1
886,1.9,1.0,1.2,50.4,13.8,5.5,17.56,0.6,0.1,0.1
915,1.7,0.8,2.4,51.4,14.4,5.2,17.76,0.6,0.1,0.1
931,1.9,0.7,2.2,52.5,15.0,5.5,17.88,0.6,0.1,0.1
939,1.9,0.5,1.7,52.2,14.8,5.2,17.82,0.7,0.1,0.1
962,2.0,0.5,2.0,51.6,15.0,5.2,17.71,0.7,0.1,0.1
970,1.9,0.6,2.0,50.5,15.5,5.2,17.32,0.6,0.1,0.1
990,2.0,0.6,4.4,50.9,16.2,5.3,17.44,0.6,0.1,0.1
1018,2.1,0.5,0.8,53.6,17.5,5.6,17.04,0.5,0.1,0.1
1046,1.8,0.4,1.2,54.3,17.5,5.4,17.03,0.5,0.1,0.1
1047,1.9,0.4,3.4,54.4,17.8,5.5,17.08,0.5,0.1,0.1
1090,1.9,0.4,1.2,55.5,17.9,5.6,16.59,0.4,0.1,0.1
1109,1.9,0.4,3.2,55.9,17.7,5.9,16.68,0.4,0.1,0.1
1130,1.8,0.4,5.2,54.2,18.7,6.0,17.02,0.6,0.1,0.1
1137,1.9,0.5,2.9,52.6,18.6,6.2,16.88,0.4,0.2,0.2
1150,1.9,0.5,2.2,54.9,19.9,6.7,17.47,0.5,0.2,0.2
1165,1.8,0.4,2.8,54.8,20.1,6.5,17.3,0.5,0.1,0.1
1183,1.9,0.4,1.0,54.8,19.4,6.7,17.66,0.5,0.2,0.2
1202,1.7,0.7,1.3,53.5,18.2,6.3,17.97,0.5,0.2,0.2
1212,1.7,0.8,1.4,56.5,19.1,6.2,17.98,0.5,0.2,0.2
1240,1.8,0.9,0.9,56.5,19.4,6.7,17.82,0.5,0.2,0.2
1252,1.6,1.2,2.2,54.2,17.2,5.9,17.69,0.5,0.2,0.2
1287,1.6,1.2,4.1,54.9,17.3,5.7,17.19,0.6,0.2,0.2
1292,1.6,1.3,1.1,54.6,17.3,5.6,16.8,0.5,0.2,0.3
1323,1.2,1.5,1.1,57.2,17.6,5.1,16.81,0.5,0.1,0.2
1343,1.3,1.6,0.8,56.5,16.8,5.0,16.54,0.5,0.1,0.2
1364,1.4,1.8,0.7,55.1,16.2,5.0,16.52,0.6,0.1,0.2
