ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
4,2021,1,West Ham United,Newcastle United,0,1,0,0,2,1.0,1.6,58,42,Mark Noble,4-2-3-1,15,3,0.2,0.0,16.5,0,0,0,Jamaal Lascelles,4-4-2,15,2,0.1333333333333333,1.0,17.6,1,0,0,Stuart Attwell,2020-09-12,Sat,20:00
24,2021,3,Tottenham Hotspur,Newcastle United,0,0,1,1,1,2.9,1.0,66,34,Hugo Lloris,4-2-3-1,23,12,0.5217391304347826,0.0,14.7,2,0,0,Jamaal Lascelles,5-4-1,5,0,0.0,0.9166666666666666,19.1,0,1,1,Peter Bankes,2020-09-27,Sun,14:00
55,2021,6,Wolverhampton Wanderers,Newcastle United,0,0,1,1,1,0.7,0.3,63,37,Conor Coady,3-4-3,16,3,0.1875,0.5,23.2,0,0,0,Jamaal Lascelles,5-3-2,5,2,0.4,0.6666666666666666,21.2,1,0,0,Lee Mason,2020-10-25,Sun,16:30
70,2021,8,Southampton,Newcastle United,1,0,0,2,0,0.7,0.3,61,39,James Ward-Prowse,4-4-2,15,7,0.4666666666666667,1.0,18.9,0,0,0,Jamaal Lascelles,5-3-2,4,2,0.5,0.7142857142857143,15.2,1,0,0,Peter Bankes,2020-11-06,Fri,20:00
89,2021,10,Crystal Palace,Newcastle United,0,1,0,0,2,0.6,1.3,57,43,Scott Dann,4-4-2,12,3,0.25,0.7142857142857143,17.0,1,0,0,Jonjo Shelvey,4-4-2,14,7,0.5,1.0,19.5,2,0,0,Graham Scott,2020-11-27,Fri,20:00
122,2021,13,Leeds United,Newcastle United,1,0,0,5,2,2.7,1.5,68,32,Liam Cooper,4-1-4-1,25,10,0.4,0.5,16.7,0,0,0,Federico Fernández,4-4-2,10,4,0.4,0.5,13.9,1,0,0,Simon Hooper,2020-12-16,Wed,18:00
142,2021,15,Manchester City,Newcastle United,1,0,0,2,0,3.0,0.3,74,26,Kevin De Bruyne,3-4-3◆,11,6,0.5454545454545454,1.0,12.3,0,0,0,Federico Fernández,5-4-1,7,2,0.2857142857142857,0.6666666666666666,21.2,0,0,0,Andre Marriner,2020-12-26,Sat,20:00
165,2021,18,Sheffield United,Newcastle United,1,0,0,1,0,2.1,0.6,65,35,John Egan,3-5-2,16,3,0.1875,1.0,17.0,0,1,1,Federico Fernández,5-4-1,7,3,0.4285714285714285,0.6666666666666666,22.6,2,0,0,Andy Madley,2021-01-12,Tue,18:00
179,2021,19,Arsenal,Newcastle United,1,0,0,3,0,2.4,0.2,66,34,Pierre-Emerick Aubameyang,4-2-3-1,20,6,0.3,1.0,16.6,1,0,0,Jamaal Lascelles,4-4-2,4,1,0.25,0.5,17.3,0,0,0,David Coote,2021-01-18,Mon,20:00
185,2021,11,Aston Villa,Newcastle United,1,0,0,2,0,2.3,0.5,58,42,Jack Grealish,4-2-3-1,14,5,0.3571428571428571,1.0,17.4,0,0,0,Jamaal Lascelles,5-3-2,7,1,0.1428571428571428,0.6,14.5,0,0,0,Simon Hooper,2021-01-23,Sat,20:00
196,2021,21,Everton,Newcastle United,0,1,0,0,2,0.8,1.7,60,40,Séamus Coleman,4-2-3-1,11,3,0.2727272727272727,0.3333333333333333,17.5,0,0,0,Jamaal Lascelles,4-3-1-2,13,3,0.2307692307692307,1.0,17.1,2,0,0,Stuart Attwell,2021-01-30,Sat,12:30
235,2021,24,Chelsea,Newcastle United,1,0,0,2,0,2.2,0.6,64,36,César Azpilicueta,3-4-3,18,5,0.2777777777777778,1.0,14.2,0,0,0,Jamaal Lascelles,4-3-3,10,4,0.4,0.6,20.5,1,0,0,Peter Bankes,2021-02-15,Mon,20:00
246,2021,25,Manchester United,Newcastle United,1,0,0,3,1,1.7,0.4,71,29,Harry Maguire,4-2-3-1,14,6,0.4285714285714285,0.8333333333333334,19.1,0,1,1,Jamaal Lascelles,4-3-1-2,10,6,0.6,0.5,23.0,0,0,0,Paul Tierney,2021-02-21,Sun,19:00
270,2021,27,West Bromwich Albion,Newcastle United,0,0,1,0,0,2.0,0.5,53,47,Kyle Bartley,4-1-4-1,13,3,0.2307692307692307,1.0,17.9,0,0,0,Jamaal Lascelles,4-3-1-2,9,5,0.5555555555555556,1.0,18.6,0,0,0,Martin Atkinson,2021-03-07,Sun,12:00
