ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
196,0.8,1.7,1.7,36.4,7.8,2.4,18.21,0.8,0.1,0.1
235,0.909,1.545,0.6,36.727,8.273,2.455,18.109,0.909,0.091,0.091
246,0.833,1.583,0.4,36.667,8.417,2.583,18.308,0.917,0.083,0.083
270,0.846,1.692,0.5,36.077,8.538,2.846,18.669,0.846,0.077,0.077
288,0.786,1.571,0.1,36.857,8.571,3.0,18.664,0.786,0.071,0.071
305,0.733,1.667,1.2,36.733,8.2,2.867,18.72,0.733,0.067,0.067
322,0.812,1.625,1.0,37.188,8.312,2.938,18.344,0.688,0.062,0.062
338,0.824,1.588,2.7,36.882,8.235,3.0,18.206,0.647,0.059,0.059
372,1.0,1.611,1.3,36.611,8.556,3.167,18.15,0.722,0.056,0.056
393,1.053,1.526,0.7,36.579,8.579,3.158,18.321,0.684,0.105,0.105
412,1.0,1.55,0.4,37.4,8.6,3.05,18.21,0.65,0.1,0.1
435,1.0,1.667,1.9,37.381,8.762,3.048,18.414,0.619,0.095,0.095
442,1.0,1.636,0.6,37.818,9.273,3.182,18.391,0.636,0.091,0.091
464,1.0,1.652,0.3,38.261,9.217,3.13,18.309,0.652,0.087,0.087
486,1.0,1.625,0.3,37.75,9.083,3.042,18.138,0.625,0.083,0.083
501,1.0,1.6,0.3,37.64,8.96,2.96,18.136,0.6,0.08,0.08
537,0.962,1.615,1.0,37.5,8.962,3.038,18.381,0.577,0.077,0.077
545,0.926,1.704,0.3,38.074,9.074,3.037,18.37,0.556,0.074,0.074
587,0.929,1.75,0.9,37.643,8.929,3.036,18.836,0.607,0.071,0.071
615,0.931,1.69,0.8,37.655,9.138,3.034,18.866,0.621,0.069,0.069
634,0.933,1.667,2.7,38.167,9.3,3.033,18.77,0.6,0.067,0.067
649,0.968,1.613,0.6,38.968,9.839,3.29,18.671,0.645,0.065,0.065
655,1.0,1.594,0.3,38.781,9.781,3.281,18.6,0.625,0.062,0.062
664,0.97,1.576,0.9,38.485,9.697,3.242,18.588,0.606,0.061,0.061
677,0.941,1.559,0.5,39.147,9.912,3.324,18.65,0.618,0.059,0.059
704,0.943,1.657,1.9,39.171,9.857,3.257,18.631,0.629,0.057,0.057
732,1.0,1.611,0.8,39.583,9.944,3.361,18.547,0.611,0.056,0.056
754,0.973,1.703,1.8,39.297,9.865,3.351,18.492,0.595,0.054,0.054
774,1.0,1.684,0.2,39.526,9.789,3.395,18.611,0.579,0.079,0.079
799,0.974,1.641,1.7,39.692,9.641,3.333,18.59,0.564,0.077,0.077
809,0.975,1.625,0.7,40.275,9.925,3.4,18.578,0.575,0.075,0.075
832,0.976,1.634,3.3,39.976,9.805,3.366,18.568,0.585,0.073,0.073
854,1.048,1.619,0.8,40.619,10.024,3.524,18.433,0.571,0.071,0.071
875,1.023,1.581,1.2,40.535,10.0,3.488,18.347,0.581,0.07,0.07
895,1.045,1.568,0.9,40.682,10.068,3.523,18.348,0.568,0.068,0.068
910,1.111,1.556,1.9,40.778,10.0,3.533,18.282,0.556,0.067,0.067
929,1.152,1.522,1.0,40.761,10.022,3.543,18.25,0.543,0.087,0.087
955,1.128,1.489,1.2,40.617,9.979,3.489,18.147,0.532,0.085,0.085
977,1.104,1.458,1.3,41.021,10.104,3.562,18.042,0.521,0.083,0.083
1002,1.102,1.449,0.4,41.531,10.204,3.633,18.018,0.51,0.082,0.082
1024,1.08,1.46,2.4,41.58,10.1,3.6,17.958,0.52,0.08,0.08
1045,1.098,1.451,3.3,41.961,10.176,3.588,17.904,0.51,0.098,0.098
1049,1.173,1.442,1.3,42.269,10.269,3.654,17.952,0.5,0.096,0.096
1057,1.189,1.434,0.5,42.566,10.264,3.66,17.892,0.491,0.094,0.094
1082,1.167,1.463,2.4,42.667,10.222,3.63,17.872,0.481,0.093,0.093
1108,1.218,1.455,2.3,42.982,10.309,3.691,17.807,0.473,0.091,0.091
1135,1.232,1.464,1.7,43.357,10.411,3.679,17.83,0.482,0.125,0.125
1156,1.228,1.456,0.3,43.228,10.456,3.684,17.818,0.474,0.123,0.123
1176,1.207,1.448,1.2,43.19,10.397,3.638,17.86,0.466,0.121,0.121
1199,1.203,1.475,3.9,43.203,10.373,3.61,17.805,0.458,0.119,0.119
1218,1.317,1.45,2.0,43.45,10.567,3.8,17.745,0.45,0.117,0.117
1235,1.328,1.459,2.2,43.787,10.557,3.787,17.652,0.443,0.115,0.115
1255,1.339,1.468,0.5,44.0,10.581,3.774,17.597,0.435,0.129,0.129
1289,1.317,1.476,1.5,44.127,10.54,3.794,17.627,0.429,0.127,0.127
1300,1.297,1.5,1.7,44.406,10.578,3.781,17.653,0.438,0.125,0.125
1313,1.292,1.538,1.4,44.4,10.554,3.769,17.603,0.431,0.123,0.123
1337,1.273,1.53,0.6,44.712,10.621,3.742,17.521,0.424,0.121,0.121
1353,1.284,1.567,2.6,44.627,10.537,3.731,17.5,0.418,0.119,0.119
1375,1.309,1.559,0.5,44.544,10.588,3.75,17.418,0.412,0.118,0.118
1396,1.333,1.565,0.2,44.783,10.536,3.768,17.443,0.406,0.116,0.116
1418,1.329,1.6,0.7,44.786,10.429,3.743,17.401,0.4,0.114,0.114
1448,1.338,1.62,1.0,44.944,10.437,3.732,17.382,0.394,0.113,0.113
1475,1.333,1.597,0.4,44.792,10.458,3.75,17.374,0.389,0.111,0.111
1490,1.315,1.603,3.4,44.904,10.411,3.726,17.33,0.384,0.11,0.11
1510,1.351,1.595,2.2,45.014,10.568,3.811,17.334,0.392,0.108,0.122
1520,1.36,1.613,3.4,45.147,10.707,3.853,17.297,0.387,0.107,0.12
1539,1.395,1.618,1.6,45.158,10.724,3.895,17.272,0.408,0.105,0.118
1560,1.39,1.61,1.5,45.364,10.766,3.909,17.212,0.403,0.104,0.117
1564,1.397,1.603,1.5,45.436,10.808,3.936,17.221,0.397,0.103,0.115
1587,1.392,1.62,2.1,45.633,10.873,3.949,17.216,0.405,0.101,0.114
1609,1.375,1.6,1.8,45.9,10.9,3.912,17.174,0.4,0.1,0.125
1627,1.37,1.605,1.6,45.951,10.901,3.889,17.135,0.407,0.099,0.123
1642,1.39,1.598,0.0,46.073,10.976,3.915,17.122,0.402,0.098,0.122
1663,1.386,1.59,1.5,46.133,10.855,3.867,16.999,0.398,0.096,0.12
1683,1.393,1.619,2.3,46.262,10.917,3.857,16.989,0.393,0.095,0.119
1708,1.424,1.6,1.9,46.4,10.965,3.894,16.955,0.388,0.094,0.118
1710,1.43,1.581,2.5,46.419,10.977,3.895,16.935,0.384,0.093,0.116
1743,1.437,1.575,2.9,46.391,11.011,3.897,16.903,0.379,0.092,0.115
1763,1.455,1.568,0.5,46.398,11.068,3.932,16.931,0.375,0.102,0.125
1790,1.438,1.596,0.2,46.315,10.978,3.899,16.861,0.371,0.101,0.124
1801,1.422,1.6,1.4,46.233,10.889,3.856,16.888,0.378,0.1,0.122
1829,1.418,1.582,3.2,46.264,10.868,3.846,16.848,0.374,0.099,0.121
1845,1.435,1.565,1.0,46.217,10.924,3.859,16.868,0.38,0.098,0.12
