ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
110,1.2,1.5,0.8,39.6,8.3,2.5,0.297,0.708,19.58,0.5,0.3,0.3,0.2
122,1.273,1.455,1.5,40.182,8.636,2.818,0.316,0.705,19.318,0.455,0.273,0.273,0.182
131,1.333,1.75,1.4,39.5,8.75,2.917,0.323,0.688,18.867,0.5,0.25,0.25,0.167
142,1.308,1.692,0.3,40.231,8.923,3.0,0.326,0.692,19.131,0.615,0.308,0.308,0.154
155,1.214,1.714,0.5,39.214,8.786,2.929,0.323,0.691,19.279,0.571,0.286,0.286,0.143
162,1.133,1.6,0.5,38.467,8.733,2.867,0.318,0.711,19.127,0.533,0.267,0.267,0.133
165,1.125,1.625,0.6,38.812,8.688,2.812,0.314,0.688,18.875,0.5,0.25,0.25,0.125
179,1.059,1.588,0.2,38.588,8.588,2.824,0.321,0.686,19.094,0.588,0.235,0.235,0.176
185,1.0,1.667,0.5,38.333,8.333,2.722,0.317,0.676,18.994,0.556,0.222,0.222,0.167
186,0.947,1.684,1.4,38.526,8.263,2.632,0.308,0.672,18.758,0.526,0.211,0.211,0.158
196,0.95,1.7,1.7,38.7,8.95,2.75,0.304,0.638,18.92,0.7,0.2,0.2,0.15
208,1.0,1.619,1.9,38.762,9.143,2.762,0.3,0.656,18.833,0.762,0.19,0.19,0.143
218,1.0,1.636,0.7,39.773,9.682,2.864,0.297,0.641,18.714,0.773,0.182,0.182,0.136
235,1.087,1.652,0.6,39.217,9.522,2.913,0.313,0.639,18.6,0.783,0.174,0.174,0.13
246,1.042,1.667,0.4,39.083,9.542,2.958,0.317,0.638,18.679,0.792,0.167,0.167,0.125
252,1.04,1.72,1.7,38.68,9.56,3.08,0.328,0.632,18.852,0.76,0.16,0.16,0.16
270,1.038,1.692,0.5,39.038,9.923,3.192,0.328,0.637,18.854,0.769,0.154,0.154,0.154
277,1.0,1.63,1.5,39.333,9.889,3.259,0.336,0.65,18.844,0.741,0.148,0.148,0.148
288,1.0,1.607,0.1,39.679,9.964,3.25,0.333,0.657,18.736,0.714,0.143,0.143,0.143
296,0.966,1.655,3.4,39.517,9.724,3.172,0.333,0.651,18.762,0.69,0.138,0.138,0.138
305,1.0,1.667,1.2,39.6,10.133,3.267,0.331,0.646,18.6,0.667,0.133,0.133,0.133
312,1.032,1.645,2.2,39.742,10.129,3.29,0.333,0.649,18.41,0.645,0.129,0.129,0.129
322,1.094,1.656,1.0,39.562,10.312,3.375,0.335,0.648,18.431,0.625,0.125,0.125,0.156
334,1.091,1.636,0.3,39.333,10.212,3.394,0.342,0.655,18.358,0.606,0.121,0.121,0.152
338,1.059,1.647,2.7,39.324,10.059,3.324,0.338,0.651,18.418,0.588,0.118,0.118,0.147
353,1.143,1.657,2.2,39.114,10.171,3.4,0.34,0.654,18.383,0.629,0.114,0.114,0.143
367,1.194,1.722,1.6,38.528,10.139,3.389,0.34,0.645,18.367,0.639,0.139,0.167,0.139
