ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
208,1.1,1.7,1.9,41.0,10.1,3.1,0.303,0.554,19.63,0.6,0.3,0.3,0.2
218,1.091,1.727,0.7,42.818,11.091,3.273,0.297,0.534,19.318,0.636,0.273,0.273,0.182
252,1.25,1.75,1.7,41.5,10.667,3.333,0.328,0.539,19.05,0.667,0.25,0.25,0.167
277,1.231,1.692,1.5,42.0,11.308,3.538,0.327,0.555,19.038,0.692,0.231,0.231,0.154
296,1.214,1.643,3.4,42.5,11.357,3.5,0.322,0.575,18.807,0.643,0.214,0.214,0.143
312,1.267,1.667,2.2,42.467,12.067,3.667,0.318,0.57,18.48,0.6,0.2,0.2,0.133
334,1.375,1.688,0.3,41.938,12.312,3.812,0.322,0.572,18.519,0.562,0.188,0.188,0.188
353,1.294,1.706,2.2,41.765,11.882,3.647,0.315,0.568,18.629,0.529,0.176,0.176,0.176
367,1.389,1.833,1.6,40.444,11.722,3.611,0.316,0.555,18.583,0.556,0.222,0.278,0.167
389,1.368,1.737,1.8,41.0,11.947,3.684,0.316,0.578,18.616,0.632,0.211,0.263,0.158
403,1.4,1.85,1.0,41.25,12.2,3.65,0.309,0.571,18.5,0.6,0.2,0.25,0.2
421,1.429,1.857,1.3,41.048,12.095,3.667,0.313,0.572,18.405,0.619,0.19,0.238,0.238
459,1.409,1.818,0.4,40.773,12.318,3.818,0.317,0.587,18.441,0.591,0.182,0.227,0.227
475,1.435,1.87,0.2,40.565,12.087,3.696,0.31,0.572,18.396,0.565,0.174,0.217,0.217
496,1.375,1.917,1.5,39.75,11.833,3.583,0.304,0.565,18.45,0.542,0.167,0.208,0.25
510,1.44,1.96,1.1,40.28,12.28,3.76,0.306,0.542,18.356,0.52,0.16,0.2,0.24
523,1.423,1.923,1.0,39.962,12.115,3.615,0.294,0.553,18.519,0.5,0.192,0.231,0.231
548,1.407,1.852,0.3,40.259,12.37,3.63,0.291,0.57,18.496,0.481,0.185,0.222,0.222
556,1.357,1.929,1.3,39.857,12.107,3.536,0.288,0.565,18.546,0.464,0.179,0.214,0.214
578,1.345,1.897,1.2,39.586,12.138,3.69,0.299,0.568,18.686,0.448,0.172,0.207,0.207
596,1.333,1.867,1.9,40.0,12.133,3.6,0.292,0.576,18.55,0.433,0.167,0.2,0.2
610,1.387,1.839,0.5,40.0,12.387,3.774,0.297,0.574,18.403,0.452,0.161,0.194,0.194
642,1.375,1.781,1.7,39.938,12.312,3.719,0.294,0.587,18.5,0.469,0.156,0.188,0.188
680,1.394,1.758,1.5,39.697,12.242,3.727,0.297,0.592,18.309,0.455,0.152,0.182,0.182
694,1.382,1.706,1.8,39.765,12.206,3.706,0.296,0.604,18.35,0.471,0.176,0.206,0.176
699,1.4,1.686,0.9,39.543,12.314,3.8,0.3,0.601,18.266,0.486,0.171,0.2,0.171
713,1.389,1.639,0.2,39.472,12.333,3.806,0.301,0.612,18.261,0.472,0.167,0.194,0.167
746,1.351,1.622,1.6,39.378,12.108,3.757,0.306,0.62,18.532,0.486,0.162,0.189,0.162
766,1.368,1.579,1.7,39.684,12.211,3.763,0.304,0.63,18.547,0.474,0.158,0.184,0.158
789,1.385,1.538,1.8,40.231,12.487,3.897,0.307,0.614,18.482,0.487,0.154,0.179,0.154
815,1.425,1.575,2.8,40.0,12.475,3.925,0.309,0.616,18.39,0.5,0.15,0.175,0.15
824,1.39,1.537,1.9,40.293,12.732,3.951,0.307,0.625,18.254,0.512,0.146,0.171,0.146
839,1.381,1.524,1.5,41.048,12.881,4.0,0.307,0.626,18.295,0.524,0.167,0.19,0.143
863,1.465,1.512,1.5,41.349,12.953,4.047,0.309,0.623,18.302,0.512,0.163,0.186,0.163
881,1.455,1.477,3.4,41.523,13.023,4.045,0.308,0.609,18.209,0.5,0.159,0.182,0.159
903,1.511,1.444,1.0,41.911,13.156,4.089,0.308,0.596,18.167,0.489,0.178,0.2,0.156
923,1.5,1.413,2.2,42.065,13.087,4.065,0.308,0.604,18.107,0.478,0.174,0.196,0.152
946,1.468,1.383,2.2,42.447,13.149,4.085,0.308,0.613,18.049,0.489,0.17,0.191,0.149
967,1.458,1.354,1.0,42.854,13.292,4.104,0.307,0.6,18.021,0.521,0.167,0.188,0.167
989,1.449,1.347,2.0,43.245,13.184,4.061,0.305,0.588,17.929,0.51,0.163,0.184,0.163
1021,1.42,1.36,1.8,43.14,13.2,4.06,0.305,0.59,17.828,0.5,0.16,0.18,0.16
1039,1.431,1.353,3.7,43.137,13.314,4.137,0.307,0.593,17.79,0.529,0.157,0.176,0.157
1074,1.442,1.327,3.7,43.192,13.481,4.173,0.307,0.601,17.702,0.519,0.154,0.173,0.154
1088,1.528,1.321,4.3,43.434,13.698,4.245,0.307,0.602,17.638,0.509,0.151,0.17,0.151
1103,1.556,1.315,1.3,43.796,13.852,4.259,0.305,0.604,17.557,0.5,0.148,0.167,0.148
1118,1.527,1.327,3.6,44.0,13.818,4.273,0.307,0.605,17.507,0.491,0.145,0.164,0.145
1128,1.571,1.321,2.1,43.839,13.964,4.339,0.308,0.603,17.432,0.5,0.143,0.161,0.143
1147,1.544,1.298,3.3,44.421,14.123,4.316,0.305,0.61,17.405,0.491,0.14,0.158,0.14
1169,1.603,1.293,2.0,44.552,14.172,4.448,0.312,0.614,17.333,0.483,0.138,0.155,0.138
1186,1.593,1.305,1.4,44.797,14.322,4.508,0.313,0.612,17.349,0.492,0.136,0.153,0.136
1206,1.583,1.283,3.1,44.983,14.217,4.45,0.31,0.618,17.397,0.483,0.15,0.167,0.133
1226,1.59,1.262,2.4,45.115,14.295,4.475,0.31,0.625,17.37,0.475,0.164,0.18,0.131
1247,1.629,1.242,1.0,45.339,14.226,4.516,0.316,0.631,17.255,0.468,0.161,0.177,0.129
1266,1.619,1.222,2.4,45.286,14.143,4.46,0.313,0.636,17.276,0.46,0.159,0.175,0.127
1275,1.656,1.219,2.4,45.422,14.141,4.469,0.313,0.638,17.272,0.469,0.156,0.172,0.125
1304,1.646,1.2,3.5,45.615,14.262,4.462,0.311,0.644,17.258,0.477,0.154,0.169,0.123
1319,1.667,1.182,2.4,45.985,14.455,4.545,0.312,0.649,17.215,0.47,0.152,0.167,0.121
1341,1.657,1.209,1.3,46.224,14.507,4.552,0.312,0.647,17.184,0.478,0.164,0.179,0.119
1362,1.662,1.235,2.3,45.956,14.471,4.559,0.313,0.648,17.147,0.471,0.162,0.176,0.118
1383,1.696,1.275,2.2,46.087,14.536,4.58,0.313,0.645,17.135,0.464,0.159,0.174,0.13
1404,1.7,1.286,2.1,46.314,14.557,4.571,0.313,0.645,17.167,0.457,0.171,0.186,0.129
1424,1.718,1.268,4.1,46.282,14.549,4.592,0.314,0.65,17.155,0.465,0.169,0.183,0.127
1435,1.75,1.292,2.4,46.472,14.653,4.625,0.314,0.645,17.161,0.458,0.194,0.208,0.125
1454,1.74,1.288,2.8,46.616,14.699,4.63,0.314,0.643,17.141,0.452,0.192,0.205,0.137
1481,1.77,1.27,3.1,46.365,14.743,4.635,0.313,0.648,17.059,0.446,0.189,0.203,0.135
1499,1.813,1.267,2.2,46.547,14.8,4.653,0.313,0.649,17.045,0.44,0.2,0.213,0.133
1523,1.803,1.263,0.3,46.684,14.842,4.684,0.314,0.65,17.029,0.434,0.197,0.211,0.132
1549,1.792,1.247,1.8,46.377,14.688,4.636,0.314,0.655,16.979,0.429,0.195,0.208,0.13
1571,1.795,1.244,1.6,46.231,14.615,4.615,0.315,0.657,16.941,0.423,0.192,0.205,0.128
1595,1.785,1.241,2.0,46.127,14.557,4.595,0.315,0.659,16.918,0.418,0.203,0.215,0.127
1611,1.762,1.238,0.5,46.3,14.638,4.612,0.314,0.661,16.922,0.438,0.2,0.212,0.125
1640,1.753,1.222,1.6,46.185,14.568,4.605,0.316,0.653,16.894,0.432,0.198,0.21,0.123
1653,1.732,1.232,2.1,46.268,14.61,4.573,0.313,0.653,16.884,0.427,0.195,0.207,0.122
1672,1.747,1.253,3.8,46.217,14.639,4.59,0.314,0.65,16.911,0.434,0.193,0.205,0.12
