ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
24,2.0,0.0,1.0,42.0,15.0,2.0,0.133,1.0,17.6,1.0,0.0,0.0,0.0
55,1.5,0.5,0.3,38.0,10.0,1.0,0.067,0.958,18.35,0.5,0.5,0.5,0.0
70,1.333,0.667,0.3,37.667,8.333,1.333,0.178,0.861,19.3,0.667,0.333,0.333,0.0
89,1.0,1.0,1.3,38.0,7.25,1.5,0.258,0.824,18.275,0.75,0.25,0.25,0.0
122,1.2,0.8,1.5,39.0,8.6,2.6,0.307,0.86,18.52,1.0,0.2,0.2,0.0
142,1.333,1.5,0.3,37.833,8.833,2.833,0.322,0.8,17.75,1.0,0.167,0.167,0.0
165,1.143,1.571,0.6,36.143,8.571,2.714,0.317,0.781,18.243,0.857,0.143,0.143,0.0
179,1.0,1.5,0.2,36.0,8.375,2.75,0.331,0.766,18.788,1.0,0.125,0.125,0.125
185,0.889,1.667,0.5,35.778,7.889,2.556,0.322,0.737,18.622,0.889,0.111,0.111,0.111
196,0.8,1.7,1.7,36.4,7.8,2.4,0.304,0.723,18.21,0.8,0.1,0.1,0.1
235,0.909,1.545,0.6,36.727,8.273,2.455,0.297,0.748,18.109,0.909,0.091,0.091,0.091
246,0.833,1.583,0.4,36.667,8.417,2.583,0.306,0.736,18.308,0.917,0.083,0.083,0.083
270,0.846,1.692,0.5,36.077,8.538,2.846,0.329,0.718,18.669,0.846,0.077,0.077,0.154
288,0.786,1.571,0.1,36.857,8.571,3.0,0.345,0.738,18.664,0.786,0.071,0.071,0.143
305,0.733,1.667,1.2,36.733,8.2,2.867,0.344,0.722,18.72,0.733,0.067,0.067,0.133
322,0.812,1.625,1.0,37.188,8.312,2.938,0.348,0.724,18.344,0.688,0.062,0.062,0.125
338,0.824,1.588,2.7,36.882,8.235,3.0,0.361,0.734,18.206,0.647,0.059,0.059,0.118
372,1.0,1.611,1.3,36.611,8.556,3.167,0.364,0.736,18.15,0.722,0.056,0.056,0.111
412,0.0,2.0,0.4,53.0,9.0,1.0,0.111,-1.0,16.1,0.0,0.0,0.0,1.0
435,0.5,3.0,1.9,45.0,10.5,2.0,0.181,-0.333,19.3,0.0,0.0,0.0,0.5
442,0.667,2.333,0.6,45.667,13.667,3.333,0.22,0.028,18.833,0.333,0.0,0.0,0.333
464,0.75,2.25,0.3,46.25,12.25,3.0,0.228,0.104,18.25,0.5,0.0,0.0,0.25
486,0.8,2.0,0.3,42.2,11.0,2.6,0.216,0.217,17.44,0.4,0.0,0.0,0.2
501,0.833,1.833,0.3,41.0,10.167,2.333,0.207,0.306,17.55,0.333,0.0,0.0,0.333
537,0.714,1.857,1.0,40.0,10.0,2.714,0.257,0.357,18.543,0.286,0.0,0.0,0.286
