ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
14,2.0,0.0,0.5,42.0,15.0,2.0,0.133,1.0,17.6,1.0,0.0,0.0,0.0
24,1.0,1.5,1.0,44.5,10.5,1.0,0.067,0.7,19.45,0.5,0.0,0.0,0.5
32,1.0,1.333,1.8,41.0,8.667,0.667,0.044,0.772,19.333,0.333,0.333,0.333,0.333
42,1.5,1.25,0.9,42.75,8.75,1.5,0.144,0.746,19.45,0.25,0.5,0.5,0.25
55,1.4,1.8,0.3,41.6,8.4,2.0,0.23,0.724,19.68,0.2,0.4,0.4,0.4
64,1.333,1.667,2.9,40.833,7.833,2.0,0.258,0.714,19.933,0.333,0.333,0.333,0.333
70,1.429,1.571,0.3,40.571,8.143,2.143,0.264,0.719,19.629,0.286,0.429,0.429,0.286
79,1.25,1.625,0.3,40.375,7.625,2.125,0.294,0.719,19.075,0.375,0.375,0.375,0.25
89,1.111,1.667,1.3,39.222,7.667,2.0,0.275,0.676,19.589,0.333,0.333,0.333,0.222
110,1.2,1.5,0.8,39.6,8.3,2.5,0.297,0.708,19.58,0.5,0.3,0.3,0.2
122,1.273,1.455,1.5,40.182,8.636,2.818,0.316,0.705,19.318,0.455,0.273,0.273,0.182
131,1.333,1.75,1.4,39.5,8.75,2.917,0.323,0.688,18.867,0.5,0.25,0.25,0.167
142,1.308,1.692,0.3,40.231,8.923,3.0,0.326,0.692,19.131,0.615,0.308,0.308,0.154
155,1.214,1.714,0.5,39.214,8.786,2.929,0.323,0.691,19.279,0.571,0.286,0.286,0.143
162,1.133,1.6,0.5,38.467,8.733,2.867,0.318,0.711,19.127,0.533,0.267,0.267,0.133
165,1.125,1.625,0.6,38.812,8.688,2.812,0.314,0.688,18.875,0.5,0.25,0.25,0.125
179,1.059,1.588,0.2,38.588,8.588,2.824,0.321,0.686,19.094,0.588,0.235,0.235,0.176
185,1.0,1.667,0.5,38.333,8.333,2.722,0.317,0.676,18.994,0.556,0.222,0.222,0.167
186,0.947,1.684,1.4,38.526,8.263,2.632,0.308,0.672,18.758,0.526,0.211,0.211,0.158
196,0.95,1.7,1.7,38.7,8.95,2.75,0.304,0.638,18.92,0.7,0.2,0.2,0.15
208,1.0,1.619,1.9,38.762,9.143,2.762,0.3,0.656,18.833,0.762,0.19,0.19,0.143
218,1.0,1.636,0.7,39.773,9.682,2.864,0.297,0.641,18.714,0.773,0.182,0.182,0.136
235,1.087,1.652,0.6,39.217,9.522,2.913,0.313,0.639,18.6,0.783,0.174,0.174,0.13
246,1.042,1.667,0.4,39.083,9.542,2.958,0.317,0.638,18.679,0.792,0.167,0.167,0.125
252,1.04,1.72,1.7,38.68,9.56,3.08,0.328,0.632,18.852,0.76,0.16,0.16,0.16
270,1.038,1.692,0.5,39.038,9.923,3.192,0.328,0.637,18.854,0.769,0.154,0.154,0.154
