ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
196,0.8,1.7,1.7,36.4,7.8,2.4,0.304,0.723,18.21,0.8,0.1,0.1,0.1
235,0.8,1.7,0.6,36.2,7.6,2.5,0.314,0.723,18.16,0.9,0.1,0.1,0.1
246,0.7,1.8,0.4,36.4,8.1,2.9,0.354,0.691,18.3,1.0,0.0,0.0,0.1
270,0.7,2.0,0.5,35.6,8.6,3.3,0.374,0.675,18.48,0.9,0.0,0.0,0.2
288,0.7,1.8,0.1,36.4,9.1,3.6,0.379,0.703,18.82,0.8,0.0,0.0,0.2
305,0.5,2.1,1.2,35.6,8.0,3.0,0.363,0.653,18.82,0.6,0.0,0.0,0.2
322,0.5,1.7,1.0,36.8,8.0,3.0,0.363,0.678,18.7,0.5,0.0,0.0,0.2
338,0.6,1.6,2.7,37.4,8.0,3.2,0.391,0.701,18.18,0.5,0.0,0.0,0.2
372,1.0,1.7,1.3,37.1,8.7,3.5,0.391,0.712,17.64,0.5,0.0,0.0,0.1
393,1.2,1.4,0.7,37.3,9.2,3.7,0.4,0.662,18.05,0.5,0.1,0.1,0.1
412,1.2,1.4,0.4,38.4,9.4,3.7,0.396,0.502,18.21,0.5,0.1,0.1,0.2
435,1.1,1.8,1.9,38.1,9.3,3.7,0.398,0.435,18.75,0.3,0.1,0.1,0.2
442,1.2,1.7,0.6,39.2,10.3,3.9,0.388,0.45,18.49,0.3,0.1,0.1,0.2
464,1.2,1.6,0.3,41.1,10.1,3.5,0.353,0.433,17.84,0.4,0.1,0.1,0.1
486,1.3,1.7,0.3,39.0,9.8,3.1,0.314,0.4,17.4,0.4,0.1,0.1,0.1
501,1.4,1.5,0.3,39.0,10.1,3.1,0.298,0.425,17.26,0.4,0.1,0.1,0.2
537,1.2,1.6,1.0,38.0,10.0,3.2,0.313,0.417,18.44,0.4,0.1,0.1,0.2
545,1.1,1.9,0.3,40.1,10.5,3.1,0.281,0.328,18.65,0.4,0.1,0.1,0.3
587,0.8,2.0,0.9,39.5,9.6,2.8,0.298,0.312,20.07,0.4,0.1,0.1,0.3
615,0.7,2.0,0.8,39.7,10.2,2.8,0.285,0.412,19.9,0.5,0.0,0.0,0.3
634,0.8,1.9,2.7,39.7,10.7,3.0,0.295,0.579,19.89,0.5,0.0,0.0,0.2
649,0.9,1.5,0.6,42.3,12.1,3.8,0.313,0.646,19.21,0.7,0.0,0.0,0.2
655,1.0,1.5,0.3,40.9,10.9,3.5,0.32,0.651,19.06,0.6,0.0,0.0,0.2
664,0.9,1.4,0.9,39.0,10.8,3.5,0.324,0.684,19.23,0.5,0.0,0.0,0.2
677,0.8,1.4,0.5,42.5,11.9,4.0,0.342,0.684,19.88,0.6,0.0,0.0,0.2
704,0.8,1.8,1.9,43.0,12.1,4.0,0.338,0.626,19.87,0.7,0.0,0.0,0.1
732,1.1,1.6,0.8,45.0,12.5,4.2,0.336,0.659,18.98,0.7,0.0,0.0,0.1
754,1.1,1.7,1.8,42.6,12.0,4.2,0.354,0.704,18.82,0.7,0.0,0.0,0.0
774,1.2,1.5,0.2,44.8,12.2,4.4,0.366,0.716,17.98,0.5,0.1,0.1,0.0
799,1.1,1.5,1.7,45.6,11.1,4.2,0.371,0.716,17.79,0.4,0.1,0.1,0.0
809,1.1,1.5,0.7,46.6,11.8,4.5,0.378,0.724,18.0,0.5,0.1,0.1,0.0
832,1.0,1.7,3.3,43.1,9.7,3.6,0.376,0.691,18.25,0.4,0.1,0.1,0.0
854,1.2,1.7,0.8,46.5,10.8,4.3,0.391,0.611,17.9,0.4,0.1,0.1,0.0
875,1.2,1.6,1.2,47.3,11.0,4.3,0.384,0.644,17.55,0.5,0.1,0.1,0.0
895,1.4,1.6,0.9,45.9,10.6,4.2,0.388,0.653,17.32,0.4,0.1,0.1,0.0
910,1.7,1.2,1.9,46.4,10.5,4.5,0.432,0.716,17.06,0.3,0.1,0.1,0.0
929,1.7,1.2,1.0,45.0,10.3,4.2,0.415,0.716,17.18,0.3,0.2,0.2,0.0
955,1.7,0.7,1.2,45.5,10.4,4.0,0.384,0.772,16.87,0.3,0.2,0.2,0.0
977,1.5,0.6,1.3,46.7,11.3,4.2,0.357,0.797,15.88,0.3,0.1,0.1,0.0
1002,1.6,0.7,0.4,48.7,12.4,4.8,0.378,0.772,15.79,0.3,0.1,0.1,0.0
1024,1.5,0.8,2.4,46.8,10.8,4.4,0.39,0.73,15.48,0.3,0.1,0.1,0.0
1045,1.6,0.7,3.3,50.1,11.7,4.5,0.371,0.73,15.18,0.2,0.2,0.2,0.0
1049,1.7,0.7,1.3,49.2,11.3,4.2,0.365,0.78,15.93,0.2,0.2,0.2,0.0
1057,1.9,0.8,0.5,51.3,11.4,4.4,0.383,0.755,15.94,0.1,0.2,0.2,0.2
1082,1.7,1.0,2.4,51.4,10.9,4.1,0.37,0.73,15.78,0.1,0.2,0.2,0.2
1108,1.7,1.0,2.3,52.9,11.7,4.4,0.359,0.73,15.67,0.1,0.2,0.2,0.2
1135,1.6,1.2,1.7,55.3,12.2,4.3,0.341,0.663,15.9,0.2,0.3,0.3,0.3
1156,1.7,1.3,0.3,55.5,12.7,4.6,0.36,0.638,16.27,0.2,0.3,0.3,0.3
1176,1.7,1.4,1.2,53.6,11.8,4.0,0.33,0.613,16.99,0.2,0.3,0.3,0.3
1199,1.7,1.6,3.9,51.4,11.2,3.5,0.306,0.588,16.76,0.2,0.3,0.3,0.3
1218,2.5,1.4,2.0,52.8,12.9,4.8,0.334,0.655,16.68,0.1,0.3,0.3,0.3
1235,2.5,1.5,2.2,53.1,12.5,4.8,0.343,0.622,16.37,0.1,0.2,0.2,0.3
1255,2.2,1.6,0.5,53.0,12.2,4.4,0.321,0.638,15.75,0.1,0.3,0.3,0.3
1289,2.0,1.7,1.5,52.4,12.0,4.5,0.343,0.643,16.22,0.1,0.3,0.3,0.1
1300,2.0,1.7,1.7,53.8,12.5,4.6,0.341,0.643,16.47,0.2,0.3,0.3,0.1
1313,1.7,2.0,1.4,52.2,11.9,4.2,0.328,0.623,16.48,0.2,0.3,0.3,0.2
1337,1.5,1.9,0.6,52.3,11.8,4.1,0.323,0.67,15.79,0.1,0.1,0.1,0.1
1353,1.6,2.2,2.6,52.6,11.0,4.0,0.352,0.662,15.69,0.1,0.1,0.1,0.3
1375,1.9,2.2,0.5,52.4,11.7,4.4,0.373,0.667,14.85,0.1,0.1,0.1,0.3
1396,2.1,2.1,0.2,54.1,11.5,4.7,0.423,0.65,15.31,0.1,0.1,0.1,0.3
1418,1.4,2.5,0.7,52.8,9.6,3.4,0.421,0.593,15.34,0.1,0.1,0.1,0.3
1448,1.4,2.6,1.0,52.0,9.7,3.4,0.418,0.617,15.73,0.1,0.1,0.1,0.3
1475,1.3,2.4,0.4,49.7,9.7,3.6,0.435,0.65,15.99,0.1,0.0,0.0,0.3
1490,1.3,2.4,3.4,49.8,9.6,3.3,0.401,0.641,15.46,0.1,0.0,0.0,0.3
1510,1.7,2.2,2.2,48.9,10.5,4.0,0.423,0.671,15.29,0.1,0.0,0.1,0.3
1520,1.8,2.1,3.4,50.0,11.7,4.4,0.423,0.674,15.31,0.1,0.0,0.1,0.2
1539,2.2,2.2,1.6,48.1,11.4,4.9,0.468,0.654,15.63,0.3,0.0,0.1,0.2
1560,2.1,1.9,1.5,50.3,12.3,5.1,0.444,0.662,15.28,0.3,0.0,0.1,0.0
1564,2.0,1.9,1.5,51.5,12.3,5.2,0.451,0.662,15.88,0.3,0.0,0.1,0.0
1587,1.8,2.0,2.1,51.5,13.2,5.2,0.411,0.702,15.65,0.4,0.0,0.1,0.0
1609,1.7,1.6,1.8,53.7,14.2,5.1,0.352,0.759,15.58,0.4,0.0,0.2,0.0
1627,1.6,1.5,1.6,53.1,14.2,5.0,0.343,0.773,15.38,0.5,0.0,0.2,0.0
1642,1.8,1.6,0.0,55.3,14.7,5.1,0.337,0.74,15.31,0.5,0.0,0.2,0.0
1663,1.9,1.5,1.5,55.1,14.1,4.9,0.308,0.735,14.58,0.5,0.0,0.2,0.0
1683,1.7,1.8,2.3,55.5,13.5,4.2,0.281,0.698,14.44,0.4,0.0,0.1,0.0
1708,1.9,1.5,1.9,55.8,12.9,4.2,0.295,0.735,14.39,0.4,0.0,0.1,0.0
1710,1.7,1.3,2.5,56.0,12.9,3.9,0.27,0.675,14.37,0.2,0.0,0.1,0.0
1743,1.8,1.3,2.9,54.3,12.9,3.8,0.263,0.675,14.53,0.2,0.0,0.1,0.0
1763,1.9,1.3,0.5,53.9,13.1,3.9,0.263,0.675,14.67,0.2,0.1,0.2,0.0
1790,1.8,1.4,0.2,51.7,11.8,3.5,0.266,0.645,14.05,0.1,0.1,0.2,0.0
1801,1.8,1.6,1.4,48.9,10.8,3.4,0.258,0.579,14.6,0.2,0.1,0.1,0.0
1829,1.8,1.4,3.2,48.8,10.6,3.5,0.273,0.607,14.53,0.1,0.1,0.1,0.0
1845,1.8,1.3,1.0,47.4,10.5,3.4,0.269,0.641,14.79,0.2,0.1,0.1,0.0
1867,1.8,1.6,1.7,47.5,11.4,3.7,0.299,0.63,15.53,0.2,0.1,0.1,0.0
1887,1.7,1.3,1.5,47.3,11.0,3.8,0.314,0.637,15.83,0.4,0.2,0.2,0.0
