ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
110,1.2,1.5,0.8,39.6,8.3,2.5,0.297,0.708,19.58,0.5,0.3,0.3,0.2
122,1.2,1.6,1.5,40.0,8.0,2.9,0.334,0.675,19.49,0.4,0.3,0.3,0.2
131,1.4,1.8,1.4,38.5,8.4,3.3,0.374,0.685,18.75,0.5,0.3,0.3,0.1
142,1.4,1.8,0.3,40.0,9.0,3.7,0.41,0.668,19.07,0.7,0.3,0.3,0.1
155,1.1,1.9,0.5,37.8,8.8,3.5,0.395,0.668,19.21,0.7,0.2,0.2,0.1
162,1.0,1.5,0.5,36.9,8.9,3.3,0.362,0.705,18.85,0.7,0.2,0.2,0.0
165,1.0,1.6,0.6,37.6,9.2,3.3,0.347,0.671,18.24,0.6,0.2,0.2,0.0
179,0.8,1.6,0.2,37.2,8.9,3.3,0.36,0.663,18.72,0.8,0.1,0.1,0.1
185,0.8,1.7,0.5,36.7,8.9,3.2,0.335,0.642,18.93,0.7,0.1,0.1,0.1
186,0.8,1.7,1.4,37.9,8.8,3.2,0.337,0.668,18.01,0.7,0.1,0.1,0.1
196,0.7,1.9,1.7,37.8,9.6,3.0,0.31,0.568,18.26,0.9,0.1,0.1,0.1
208,0.7,1.8,1.9,37.2,9.7,2.7,0.283,0.602,18.3,1.1,0.1,0.1,0.1
218,0.6,1.5,0.7,40.1,10.8,2.8,0.267,0.585,18.53,1.1,0.1,0.1,0.1
235,0.8,1.6,0.6,37.9,10.3,2.8,0.297,0.57,17.91,1.0,0.0,0.0,0.1
246,0.8,1.6,0.4,38.9,10.6,3.0,0.308,0.563,17.84,1.1,0.0,0.0,0.1
252,0.9,1.9,1.7,39.0,10.8,3.4,0.343,0.513,18.44,1.1,0.0,0.0,0.2
270,0.9,1.8,0.5,39.4,11.9,3.8,0.35,0.555,18.82,1.2,0.0,0.0,0.2
277,0.9,1.7,1.5,40.6,12.1,4.0,0.363,0.588,18.42,1.0,0.0,0.0,0.1
288,1.0,1.5,0.1,42.1,12.9,4.2,0.363,0.622,18.27,1.0,0.0,0.0,0.1
296,1.0,1.6,3.4,41.4,12.5,4.2,0.382,0.612,18.77,1.0,0.0,0.0,0.1
305,1.1,1.6,1.2,41.4,12.5,4.3,0.386,0.662,17.96,0.6,0.0,0.0,0.1
312,1.1,1.7,2.2,41.8,12.2,4.4,0.403,0.637,17.52,0.4,0.0,0.0,0.1
322,1.3,1.7,1.0,39.1,11.7,4.5,0.417,0.663,17.81,0.3,0.0,0.0,0.2
334,1.1,1.6,0.3,39.6,11.8,4.5,0.407,0.692,17.8,0.2,0.0,0.0,0.2
338,1.1,1.6,2.7,39.9,11.3,4.2,0.387,0.682,17.79,0.1,0.0,0.0,0.2
353,1.4,1.5,2.2,40.2,11.7,4.2,0.37,0.71,17.21,0.3,0.0,0.0,0.1
367,1.6,1.8,1.6,37.2,10.7,3.9,0.372,0.668,17.1,0.3,0.1,0.2,0.1
372,1.7,1.8,1.3,37.6,11.4,3.9,0.348,0.668,17.16,0.5,0.1,0.2,0.1
389,1.8,1.7,1.8,36.3,11.1,3.9,0.356,0.585,17.72,0.5,0.2,0.3,0.1
393,2.0,1.8,0.7,37.4,12.5,4.1,0.34,0.578,17.4,0.5,0.2,0.3,0.2
403,1.8,1.8,1.0,38.5,11.2,3.6,0.324,0.428,17.62,0.5,0.2,0.3,0.3
412,1.8,1.9,0.4,37.8,11.2,3.6,0.324,0.413,18.0,0.6,0.2,0.3,0.4
