ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
208,1.1,1.7,1.9,41.0,10.1,3.1,0.303,0.554,19.63,0.6,0.3,0.3,0.2
218,1.2,1.6,0.7,42.4,11.6,3.6,0.327,0.547,19.12,0.7,0.3,0.3,0.1
252,1.2,1.7,1.7,40.3,11.3,3.6,0.349,0.54,18.75,0.8,0.2,0.2,0.1
277,1.2,1.4,1.5,41.4,12.5,3.8,0.324,0.552,18.58,0.9,0.2,0.2,0.0
296,1.1,1.4,3.4,42.4,12.7,3.8,0.319,0.56,18.38,0.9,0.1,0.1,0.0
312,1.3,1.4,2.2,43.6,14.1,4.3,0.333,0.577,17.4,0.9,0.1,0.1,0.0
334,1.4,1.5,0.3,42.4,14.5,4.3,0.321,0.57,17.64,0.9,0.1,0.1,0.1
353,1.3,1.6,2.2,41.4,13.9,4.0,0.305,0.545,17.45,0.7,0.0,0.0,0.1
367,1.6,2.0,1.6,40.4,14.0,4.1,0.313,0.478,17.53,0.8,0.1,0.2,0.1
389,1.6,1.8,1.8,41.1,14.8,4.4,0.319,0.545,17.94,1.0,0.1,0.2,0.1
403,1.7,2.0,1.0,41.5,14.3,4.2,0.314,0.588,17.37,0.6,0.1,0.2,0.2
421,1.8,2.0,1.3,39.1,13.2,4.1,0.33,0.615,17.4,0.6,0.1,0.2,0.3
459,1.6,1.9,0.4,39.9,14.3,4.4,0.305,0.643,17.71,0.5,0.1,0.2,0.3
475,1.7,2.1,0.2,38.7,13.1,3.9,0.287,0.593,17.56,0.4,0.1,0.2,0.3
496,1.6,2.3,1.5,35.9,12.5,3.7,0.279,0.55,17.95,0.4,0.1,0.2,0.4
510,1.7,2.4,1.1,37.0,12.6,3.9,0.287,0.5,18.17,0.4,0.1,0.2,0.4
523,1.5,2.3,1.0,36.8,11.8,3.3,0.249,0.523,18.52,0.4,0.2,0.3,0.3
548,1.6,2.1,0.3,37.7,13.2,3.6,0.25,0.573,18.27,0.4,0.2,0.3,0.3
556,1.3,2.1,1.3,38.8,12.8,3.4,0.237,0.583,18.48,0.3,0.1,0.1,0.3
