ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
388,2022,1,Norwich City,Liverpool,0,1,0,0,3,1.4,1.6,50,50,Grant Hanley,4-3-3,14,3,17.1,0,0,0,James Milner,4-3-3,19,6,17.3,1,0,0,Andre Marriner,2021-08-14,Sat,17:30
394,2022,2,Manchester City,Norwich City,1,0,0,5,0,2.6,0.1,67,33,İlkay Gündoğan,4-3-3,16,4,18.5,1,0,0,Grant Hanley,4-3-3,1,0,16.8,0,0,0,Graham Scott,2021-08-21,Sat,15:00
405,2022,3,Norwich City,Leicester City,0,1,0,1,2,1.5,1.5,45,55,Grant Hanley,4-3-3,13,3,22.6,1,1,1,Kasper Schmeichel,4-4-2,9,3,16.0,0,0,0,Robert Jones,2021-08-28,Sat,15:00
415,2022,4,Arsenal,Norwich City,1,0,0,1,0,2.7,0.7,51,49,Pierre-Emerick Aubameyang,4-2-3-1,30,6,16.9,1,0,0,Grant Hanley,4-3-3,10,1,19.9,1,0,0,Michael Oliver,2021-09-11,Sat,15:00
426,2022,5,Norwich City,Watford,0,1,0,1,3,1.0,2.4,49,51,Grant Hanley,4-3-3,12,5,20.7,1,0,0,Tom Cleverley,4-2-3-1,12,8,13.5,0,0,0,Robert Jones,2021-09-18,Sat,15:00
434,2022,6,Everton,Norwich City,1,0,0,2,0,1.9,0.5,47,53,Lucas Digne,4-4-1-1,10,3,18.8,0,1,1,Grant Hanley,5-3-2,10,2,22.3,1,0,0,David Coote,2021-09-25,Sat,15:00
443,2022,7,Burnley,Norwich City,0,0,1,0,0,1.2,0.6,56,44,James Tarkowski,4-4-2,14,4,16.6,1,0,0,Grant Hanley,5-3-2,10,2,20.7,2,0,0,Kevin Friend,2021-10-02,Sat,15:00
456,2022,8,Norwich City,Brighton And Hove Albion,0,0,1,0,0,1.2,0.8,36,64,Grant Hanley,5-3-2,15,2,21.7,1,0,0,Lewis Dunk,3-5-2,11,3,16.1,0,0,0,Peter Bankes,2021-10-16,Sat,15:00
462,2022,9,Chelsea,Norwich City,1,0,0,7,0,3.1,0.1,62,38,Jorginho,3-4-3,22,12,19.8,0,1,1,Grant Hanley,3-5-2,3,1,20.8,0,0,0,Andy Madley,2021-10-23,Sat,12:30
478,2022,10,Norwich City,Leeds United,0,1,0,1,2,0.8,0.7,48,52,Grant Hanley,4-4-2,14,3,21.8,3,0,0,Liam Cooper,3-3-3-1,13,5,20.9,0,0,0,Anthony Taylor,2021-10-31,Sun,14:00
485,2022,11,Brentford,Norwich City,0,1,0,1,2,2.5,1.2,64,36,Pontus Jansson,3-5-2,19,7,10.8,0,0,0,Ben Gibson,4-2-3-1,8,4,25.6,1,1,1,Jarred Gillett,2021-11-06,Sat,15:00
494,2022,12,Norwich City,Southampton,1,0,0,2,1,0.5,1.0,38,62,Grant Hanley,4-3-3,8,4,16.3,0,0,0,James Ward-Prowse,4-4-2,17,5,18.8,0,0,0,Martin Atkinson,2021-11-20,Sat,15:00
504,2022,13,Norwich City,Wolverhampton Wanderers,0,0,1,0,0,1.6,0.3,43,57,Grant Hanley,4-1-4-1,14,4,18.2,1,0,0,Conor Coady,3-4-3,5,2,17.0,0,0,0,Simon Hooper,2021-11-27,Sat,15:00
510,2022,14,Newcastle United,Norwich City,0,0,1,1,1,1.1,1.2,32,68,Callum Wilson,4-4-2,8,0,22.6,0,1,1,Grant Hanley,4-1-4-1,16,6,16.9,1,0,0,Andy Madley,2021-11-30,Tue,19:30
527,2022,15,Tottenham Hotspur,Norwich City,1,0,0,3,0,1.6,1.2,41,59,Hugo Lloris,3-4-3,17,7,18.5,0,0,0,Grant Hanley,5-3-2,10,1,16.2,0,0,0,Jarred Gillett,2021-12-05,Sun,14:00
535,2022,16,Norwich City,Manchester United,0,1,0,0,1,1.2,2.0,48,52,Grant Hanley,4-3-3,11,5,14.2,0,0,0,Harry Maguire,4-2-2-2,12,4,19.2,2,1,1,Darren England,2021-12-11,Sat,17:30
539,2022,17,Norwich City,Aston Villa,0,1,0,0,2,0.5,2.0,50,50,Ben Gibson,4-3-3,7,3,14.3,0,0,0,Tyrone Mings,4-3-3,17,6,16.7,0,0,0,David Coote,2021-12-14,Tue,19:45
551,2022,19,Norwich City,Arsenal,0,1,0,0,5,0.1,2.5,36,64,Ben Gibson,4-2-3-1,4,2,17.9,0,0,0,Alexandre Lacazette,4-2-3-1,15,5,17.7,1,1,1,Graham Scott,2021-12-26,Sun,15:00
559,2022,20,Crystal Palace,Norwich City,1,0,0,3,0,1.9,0.9,51,49,Joel Ward,4-3-3,18,5,13.3,0,1,1,Ben Gibson,4-2-3-1,12,2,17.7,0,0,0,Paul Tierney,2021-12-28,Tue,15:00
573,2022,18,West Ham United,Norwich City,1,0,0,2,0,2.5,0.3,62,38,Declan Rice,4-2-3-1,13,5,15.1,0,0,0,Grant Hanley,4-2-3-1,7,3,21.4,0,0,0,Simon Hooper,2022-01-12,Wed,19:45
576,2022,22,Norwich City,Everton,1,0,0,2,1,1.0,0.6,41,59,Grant Hanley,4-4-2,14,3,21.5,0,0,0,Séamus Coleman,4-4-2,12,5,17.0,1,0,0,Andy Madley,2022-01-15,Sat,15:00
585,2022,23,Watford,Norwich City,0,1,0,0,3,1.2,1.1,67,33,Moussa Sissoko,4-3-3,15,3,19.1,0,0,0,Grant Hanley,4-4-2,7,2,15.7,1,0,0,Mike Dean,2022-01-21,Fri,20:00
601,2022,24,Norwich City,Crystal Palace,0,0,1,1,1,0.4,1.3,30,70,Grant Hanley,4-4-2,5,1,15.7,0,0,0,Joel Ward,4-3-3,12,5,22.3,1,0,1,Paul Tierney,2022-02-09,Wed,19:45
609,2022,25,Norwich City,Manchester City,0,1,0,0,4,0.4,4.6,29,71,Grant Hanley,4-3-3,8,3,14.4,0,0,0,Fernandinho,4-3-3,21,8,11.8,0,0,1,Andre Marriner,2022-02-12,Sat,17:30
620,2022,26,Liverpool,Norwich City,1,0,0,3,1,3.6,0.6,69,31,Jordan Henderson,4-3-3,29,7,17.8,0,0,0,Grant Hanley,4-3-3,6,1,17.8,0,0,0,Mike Dean,2022-02-19,Sat,15:00
629,2022,27,Southampton,Norwich City,1,0,0,2,0,2.6,0.6,58,42,James Ward-Prowse,4-4-2,27,9,15.9,1,0,0,Grant Hanley,4-1-4-1,8,1,18.1,0,0,0,Simon Hooper,2022-02-25,Fri,20:00
641,2022,28,Norwich City,Brentford,0,1,0,1,3,1.0,2.0,60,40,Grant Hanley,4-2-3-1,15,7,18.6,0,0,0,Pontus Jansson,4-5-1,8,4,21.4,0,2,2,Anthony Taylor,2022-03-05,Sat,15:00
650,2022,30,Norwich City,Chelsea,0,1,0,1,3,1.0,1.8,34,66,Grant Hanley,5-3-2,7,2,25.7,0,1,1,César Azpilicueta,3-4-3,15,7,12.7,1,0,0,Martin Atkinson,2022-03-10,Thu,19:30
659,2022,29,Leeds United,Norwich City,1,0,0,2,1,2.5,1.5,52,48,Luke Ayling,4-2-3-1,13,7,14.4,1,0,0,Ben Gibson,4-3-3,12,4,18.8,1,0,0,Stuart Attwell,2022-03-13,Sun,14:00
674,2022,31,Brighton And Hove Albion,Norwich City,0,0,1,0,0,2.8,0.4,63,37,Lewis Dunk,3-4-1-2,30,4,18.7,1,0,1,Grant Hanley,4-1-2-1-2◆,6,0,17.8,0,0,0,Simon Hooper,2022-04-02,Sat,15:00
687,2022,32,Norwich City,Burnley,1,0,0,2,0,1.7,1.7,45,55,Grant Hanley,4-2-3-1,17,6,19.4,0,0,0,James Tarkowski,4-4-2,18,3,17.4,1,0,0,Michael Oliver,2022-04-10,Sun,14:00
691,2022,33,Manchester United,Norwich City,1,0,0,3,2,1.9,1.5,61,39,Harry Maguire,4-3-3,20,9,17.3,1,0,0,Grant Hanley,4-2-3-1,15,4,19.9,1,0,0,Andy Madley,2022-04-16,Sat,15:00
704,2022,34,Norwich City,Newcastle United,0,1,0,0,3,0.6,1.9,46,54,Grant Hanley,4-2-3-1,5,2,15.2,1,0,0,Jamaal Lascelles,4-3-3,13,7,15.6,0,0,0,Chris Kavanagh,2022-04-23,Sat,15:00
716,2022,35,Aston Villa,Norwich City,1,0,0,2,0,1.8,0.5,45,55,Tyrone Mings,4-1-4-1,21,6,15.7,0,0,0,Grant Hanley,4-2-3-1,9,3,21.6,0,0,0,John Brooks,2022-04-30,Sat,15:00
731,2022,36,Norwich City,West Ham United,0,1,0,0,4,0.8,3.0,37,63,Grant Hanley,4-2-3-1,8,2,22.2,1,0,0,Declan Rice,4-2-3-1,12,4,14.4,0,1,1,Robert Jones,2022-05-08,Sun,14:00
736,2022,21,Leicester City,Norwich City,1,0,0,3,0,2.0,1.1,65,35,Kasper Schmeichel,4-2-3-1,20,8,18.5,0,0,0,Grant Hanley,4-1-4-1,9,5,17.0,0,0,0,Simon Hooper,2022-05-11,Wed,19:45
744,2022,37,Wolverhampton Wanderers,Norwich City,0,0,1,1,1,0.9,1.1,64,36,Conor Coady,3-4-3,17,4,20.8,1,0,0,Grant Hanley,3-4-3,11,2,14.4,0,0,0,Tony Harrington,2022-05-15,Sun,14:00
753,2022,38,Norwich City,Tottenham Hotspur,0,1,0,0,5,0.5,3.4,41,59,Grant Hanley,5-4-1,9,0,18.6,0,0,0,Hugo Lloris,3-4-3,19,12,14.9,0,0,0,Chris Kavanagh,2022-05-22,Sun,16:00
