ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
394,2022,2,Manchester City,Norwich City,1,0,0,5,0,2.6,0.1,67,33,İlkay Gündoğan,4-3-3,16,4,0.25,0.0,18.5,1,0,0,Grant Hanley,4-3-3,1,0,0.0,-0.25,16.8,0,0,0,Graham Scott,2021-08-21,Sat,15:00
415,2022,4,Arsenal,Norwich City,1,0,0,1,0,2.7,0.7,51,49,Pierre-Emerick Aubameyang,4-2-3-1,30,6,0.2,1.0,16.9,1,0,0,Grant Hanley,4-3-3,10,1,0.1,0.8333333333333334,19.9,1,0,0,Michael Oliver,2021-09-11,Sat,15:00
434,2022,6,Everton,Norwich City,1,0,0,2,0,1.9,0.5,47,53,Lucas Digne,4-4-1-1,10,3,0.3,1.0,18.8,0,1,1,Grant Hanley,5-3-2,10,2,0.2,0.3333333333333333,22.3,1,0,0,David Coote,2021-09-25,Sat,15:00
443,2022,7,Burnley,Norwich City,0,0,1,0,0,1.2,0.6,56,44,James Tarkowski,4-4-2,14,4,0.2857142857142857,1.0,16.6,1,0,0,Grant Hanley,5-3-2,10,2,0.2,1.0,20.7,2,0,0,Kevin Friend,2021-10-02,Sat,15:00
462,2022,9,Chelsea,Norwich City,1,0,0,7,0,3.1,0.1,62,38,Jorginho,3-4-3,22,12,0.5454545454545454,1.0,19.8,0,1,1,Grant Hanley,3-5-2,3,1,0.3333333333333333,0.4166666666666667,20.8,0,0,0,Andy Madley,2021-10-23,Sat,12:30
485,2022,11,Brentford,Norwich City,0,1,0,1,2,2.5,1.2,64,36,Pontus Jansson,3-5-2,19,7,0.3684210526315789,0.5,10.8,0,0,0,Ben Gibson,4-2-3-1,8,4,0.5,0.8571428571428571,25.6,1,1,1,Jarred Gillett,2021-11-06,Sat,15:00
510,2022,14,Newcastle United,Norwich City,0,0,1,1,1,1.1,1.2,32,68,Callum Wilson,4-4-2,8,0,0.0,0.8333333333333334,22.6,0,1,1,Grant Hanley,4-1-4-1,16,6,0.375,0.0,16.9,1,0,0,Andy Madley,2021-11-30,Tue,19:30
527,2022,15,Tottenham Hotspur,Norwich City,1,0,0,3,0,1.6,1.2,41,59,Hugo Lloris,3-4-3,17,7,0.4117647058823529,1.0,18.5,0,0,0,Grant Hanley,5-3-2,10,1,0.1,0.5714285714285714,16.2,0,0,0,Jarred Gillett,2021-12-05,Sun,14:00
559,2022,20,Crystal Palace,Norwich City,1,0,0,3,0,1.9,0.9,51,49,Joel Ward,4-3-3,18,5,0.2777777777777778,1.0,13.3,0,1,1,Ben Gibson,4-2-3-1,12,2,0.1666666666666666,0.4,17.7,0,0,0,Paul Tierney,2021-12-28,Tue,15:00
573,2022,18,West Ham United,Norwich City,1,0,0,2,0,2.5,0.3,62,38,Declan Rice,4-2-3-1,13,5,0.3846153846153846,1.0,15.1,0,0,0,Grant Hanley,4-2-3-1,7,3,0.4285714285714285,0.6,21.4,0,0,0,Simon Hooper,2022-01-12,Wed,19:45
585,2022,23,Watford,Norwich City,0,1,0,0,3,1.2,1.1,67,33,Moussa Sissoko,4-3-3,15,3,0.2,-0.5,19.1,0,0,0,Grant Hanley,4-4-2,7,2,0.2857142857142857,1.0,15.7,1,0,0,Mike Dean,2022-01-21,Fri,20:00
