ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
485,0.3,2.5,1.2,44.5,10.2,2.2,0.204,0.539,20.44,1.0,0.1,0.1,0.2
494,0.455,2.364,0.5,43.727,10.0,2.364,0.231,0.568,20.909,1.0,0.182,0.182,0.182
504,0.583,2.25,1.6,43.25,9.833,2.5,0.254,0.587,20.525,0.917,0.167,0.167,0.167
510,0.538,2.077,1.2,43.231,10.154,2.615,0.256,0.619,20.346,0.923,0.154,0.154,0.154
527,0.571,2.0,1.2,45.0,10.571,2.857,0.265,0.575,20.1,0.929,0.143,0.143,0.214
535,0.533,2.067,1.2,45.933,10.533,2.733,0.254,0.575,19.84,0.867,0.133,0.133,0.2
539,0.5,2.0,0.5,46.062,10.562,2.875,0.266,0.586,19.487,0.812,0.125,0.125,0.25
551,0.471,2.0,0.1,46.294,10.353,2.882,0.276,0.59,19.182,0.765,0.118,0.118,0.235
559,0.444,2.167,0.9,45.722,10.0,2.833,0.288,0.558,19.111,0.722,0.111,0.111,0.278
573,0.421,2.211,0.3,45.895,10.105,2.789,0.282,0.549,19.037,0.684,0.105,0.105,0.316
576,0.4,2.2,1.0,45.5,9.95,2.8,0.289,0.552,19.155,0.65,0.1,0.1,0.3
585,0.476,2.143,1.1,45.286,10.143,2.81,0.286,0.564,19.267,0.619,0.095,0.095,0.286
601,0.591,2.045,0.4,44.727,10.0,2.773,0.286,0.583,19.105,0.636,0.091,0.091,0.273
609,0.609,2.0,0.4,44.087,9.783,2.696,0.282,0.593,18.957,0.609,0.087,0.087,0.304
620,0.583,2.083,0.6,43.458,9.708,2.708,0.286,0.589,18.767,0.583,0.083,0.083,0.333
629,0.6,2.12,0.6,42.96,9.56,2.64,0.281,0.588,18.728,0.56,0.08,0.08,0.32
641,0.577,2.115,1.0,42.923,9.5,2.577,0.275,0.596,18.704,0.538,0.077,0.077,0.308
650,0.593,2.148,1.0,43.556,9.704,2.741,0.282,0.583,18.7,0.519,0.074,0.074,0.37
659,0.607,2.179,1.5,43.214,9.607,2.714,0.282,0.582,18.95,0.5,0.107,0.107,0.357
674,0.621,2.172,0.4,43.379,9.69,2.759,0.284,0.587,18.945,0.517,0.103,0.103,0.345
687,0.6,2.1,1.7,43.167,9.567,2.667,0.274,0.601,18.907,0.5,0.1,0.1,0.367
691,0.645,2.032,1.5,43.226,9.806,2.774,0.277,0.614,18.923,0.484,0.097,0.097,0.355
704,0.688,2.062,0.6,43.094,9.969,2.812,0.277,0.615,18.953,0.5,0.094,0.094,0.344
716,0.667,2.091,0.5,43.182,9.818,2.788,0.28,0.614,18.839,0.515,0.091,0.091,0.333
731,0.647,2.088,0.8,43.529,9.794,2.794,0.282,0.615,18.921,0.5,0.088,0.088,0.324
736,0.629,2.143,1.1,43.343,9.743,2.771,0.281,0.598,19.014,0.514,0.086,0.086,0.343
744,0.611,2.167,1.1,43.111,9.722,2.833,0.289,0.599,18.958,0.5,0.083,0.083,0.333
753,0.622,2.135,0.5,42.919,9.757,2.811,0.286,0.603,18.835,0.486,0.081,0.081,0.324
