ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
485,0.3,2.5,1.2,44.5,10.2,2.2,20.44,1.0,0.1,0.1
494,0.5,2.3,0.5,43.1,9.6,2.3,21.29,1.1,0.2,0.2
504,0.7,1.9,1.6,43.6,10.3,2.7,21.24,1.1,0.2,0.2
510,0.6,1.7,1.2,43.4,10.4,2.8,20.8,1.1,0.1,0.1
527,0.7,1.7,1.2,45.3,11.0,3.3,20.5,1.1,0.1,0.1
535,0.6,1.7,1.2,46.3,10.8,2.9,20.05,1.0,0.1,0.1
539,0.6,1.6,0.5,45.8,10.9,3.2,19.24,0.9,0.1,0.1
551,0.6,1.8,0.1,46.4,10.6,3.3,18.6,0.7,0.1,0.1
559,0.6,2.3,0.9,46.4,9.5,3.3,18.22,0.6,0.1,0.1
573,0.6,1.9,0.3,47.5,10.4,3.4,17.91,0.6,0.1,0.1
576,0.5,1.9,1.0,46.5,9.7,3.4,17.87,0.3,0.1,0.1
585,0.5,1.9,1.1,47.0,10.3,3.3,17.46,0.2,0.0,0.0
601,0.6,1.8,0.4,46.5,10.2,3.1,17.4,0.3,0.0,0.0
609,0.7,1.9,0.4,45.2,9.3,2.8,17.15,0.2,0.0,0.0
620,0.6,2.2,0.6,41.3,8.5,2.5,16.9,0.1,0.0,0.0
629,0.7,2.2,0.6,38.5,8.1,2.5,17.06,0.1,0.0,0.0
641,0.7,2.3,1.0,37.9,7.8,2.1,17.45,0.1,0.0,0.0
650,0.8,2.4,1.0,38.9,8.6,2.5,17.88,0.1,0.0,0.0
659,0.9,2.2,1.5,38.7,8.9,2.5,18.66,0.1,0.1,0.1
674,1.0,2.1,0.4,38.6,8.9,2.7,18.77,0.2,0.1,0.1
687,1.0,1.9,1.7,38.5,8.8,2.4,18.41,0.2,0.1,0.1
691,1.0,1.8,1.5,38.9,9.1,2.7,18.2,0.2,0.1,0.1
704,0.9,2.1,0.6,39.5,9.9,2.9,18.62,0.2,0.1,0.1
716,0.8,2.3,0.5,41.1,9.9,3.0,18.57,0.3,0.1,0.1
731,0.8,2.1,0.8,43.7,10.0,3.0,19.29,0.3,0.1,0.1
736,0.7,2.2,1.1,44.3,10.2,3.1,19.73,0.4,0.1,0.1
744,0.7,2.3,1.1,43.6,10.3,3.5,19.62,0.4,0.1,0.1
753,0.7,2.1,0.5,41.2,9.9,3.0,19.2,0.4,0.1,0.1
