ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
972,0.3,2.3,0.7,39.7,9.3,2.1,0.201,0.515,17.66,0.3,0.0,0.1,0.1
995,0.273,2.273,0.4,40.636,9.364,2.0,0.192,0.499,17.418,0.273,0.0,0.091,0.091
1014,0.25,2.417,1.5,41.5,9.25,2.083,0.207,0.474,17.542,0.25,0.0,0.083,0.083
1043,0.308,2.462,0.8,41.769,9.154,2.231,0.23,0.476,17.362,0.231,0.0,0.154,0.154
1048,0.357,2.429,0.2,41.571,9.429,2.143,0.219,0.489,17.3,0.214,0.0,0.143,0.143
1071,0.333,2.4,0.9,41.267,9.2,2.133,0.226,0.479,17.613,0.2,0.0,0.133,0.133
1087,0.438,2.438,0.7,39.938,9.312,2.312,0.241,0.474,17.6,0.188,0.0,0.125,0.125
1111,0.471,2.412,1.3,39.471,9.059,2.353,0.262,0.49,17.541,0.176,0.0,0.118,0.118
1140,0.556,2.389,0.5,38.667,9.167,2.333,0.257,0.5,17.189,0.167,0.0,0.111,0.111
1142,0.579,2.316,1.2,38.421,9.053,2.421,0.274,0.509,17.179,0.158,0.0,0.105,0.105
1165,0.6,2.3,1.2,37.6,8.9,2.4,0.277,0.519,17.185,0.15,0.0,0.1,0.1
1175,0.667,2.333,0.8,37.429,8.905,2.476,0.285,0.524,17.067,0.143,0.0,0.095,0.143
1190,0.682,2.227,1.0,36.864,8.818,2.5,0.291,0.546,17.155,0.136,0.0,0.091,0.136
1216,0.652,2.217,1.0,37.13,8.87,2.522,0.292,0.544,17.183,0.174,0.0,0.087,0.13
1237,0.625,2.125,0.4,37.583,9.167,2.625,0.293,0.563,17.233,0.167,0.0,0.083,0.125
1257,0.6,2.16,1.7,37.2,9.16,2.56,0.285,0.565,17.168,0.16,0.0,0.08,0.12
1284,0.654,2.192,0.3,37.538,9.192,2.654,0.294,0.563,17.108,0.154,0.0,0.077,0.115
1293,0.63,2.296,1.3,37.519,9.0,2.593,0.292,0.548,17.041,0.148,0.0,0.074,0.111
1319,0.643,2.25,3.5,37.321,8.964,2.571,0.29,0.555,16.886,0.143,0.0,0.071,0.107
1345,0.724,2.207,1.2,37.345,9.172,2.69,0.294,0.564,16.848,0.138,0.0,0.069,0.138
1365,0.767,2.233,0.5,37.833,9.267,2.7,0.293,0.558,16.97,0.133,0.0,0.067,0.133
1393,0.774,2.194,2.6,38.387,9.226,2.806,0.307,0.54,17.065,0.129,0.0,0.065,0.129
1416,0.812,2.25,0.7,38.5,9.25,2.812,0.307,0.534,17.044,0.125,0.0,0.062,0.125
1421,0.788,2.212,2.0,38.455,9.242,2.848,0.311,0.538,17.112,0.182,0.0,0.061,0.121
1453,0.794,2.176,1.5,38.5,9.441,2.853,0.308,0.544,17.256,0.235,0.0,0.059,0.118
1467,0.8,2.2,0.9,38.457,9.543,2.943,0.312,0.545,17.417,0.257,0.0,0.057,0.114
1491,0.778,2.194,1.4,39.028,9.5,2.944,0.314,0.544,17.314,0.25,0.0,0.056,0.111
1516,0.838,2.162,1.7,39.216,9.649,2.973,0.313,0.549,17.311,0.243,0.0,0.054,0.135
1536,0.868,2.132,2.2,38.921,9.711,3.053,0.318,0.552,17.308,0.237,0.0,0.053,0.132
1553,0.872,2.077,0.4,38.846,10.051,3.179,0.318,0.564,17.305,0.231,0.0,0.051,0.128
1569,0.875,2.025,1.4,38.675,9.925,3.175,0.325,0.575,17.338,0.225,0.0,0.05,0.125
1588,0.902,2.024,0.9,38.463,9.756,3.146,0.334,0.569,17.339,0.22,0.024,0.073,0.122
1601,0.905,2.0,1.7,38.381,9.905,3.286,0.339,0.576,17.407,0.262,0.024,0.071,0.119
1634,0.953,1.977,0.3,38.302,10.14,3.326,0.337,0.563,17.505,0.279,0.023,0.07,0.116
1654,0.932,2.0,1.0,38.205,10.068,3.25,0.329,0.561,17.477,0.295,0.023,0.068,0.114
1664,0.911,2.022,0.8,38.111,10.111,3.244,0.328,0.56,17.458,0.289,0.022,0.067,0.111
1681,0.957,2.022,0.9,37.913,10.13,3.239,0.326,0.563,17.433,0.283,0.022,0.065,0.109
1704,0.979,1.979,1.5,37.872,10.128,3.298,0.332,0.573,17.432,0.277,0.021,0.064,0.106
1719,1.0,1.938,2.1,37.833,10.146,3.375,0.339,0.581,17.431,0.271,0.021,0.062,0.104
1740,1.041,1.898,1.0,37.878,10.163,3.367,0.337,0.59,17.406,0.286,0.02,0.061,0.102
1767,1.02,1.96,0.4,38.12,10.32,3.38,0.335,0.588,17.418,0.32,0.02,0.06,0.1
1780,1.02,1.961,1.7,38.255,10.275,3.353,0.333,0.592,17.425,0.314,0.02,0.059,0.098
1803,1.058,2.0,1.5,38.346,10.404,3.385,0.333,0.581,17.417,0.308,0.019,0.058,0.115
1824,1.113,2.0,1.5,38.472,10.415,3.434,0.337,0.576,17.432,0.302,0.019,0.057,0.113
1850,1.111,2.0,0.5,38.648,10.574,3.426,0.333,0.579,17.461,0.296,0.019,0.056,0.111
1870,1.127,1.982,0.7,38.509,10.455,3.418,0.341,0.583,17.533,0.291,0.018,0.055,0.109
1884,1.125,1.964,1.9,38.714,10.482,3.429,0.341,0.582,17.563,0.304,0.018,0.054,0.125
