ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
858,0.7,2.3,0.1,43.8,10.3,2.5,0.239,0.509,17.6,0.6,0.1,0.2,0.3
867,0.636,2.091,1.9,42.545,9.636,2.273,0.217,0.553,17.045,0.545,0.091,0.182,0.273
885,0.667,1.917,0.4,41.083,9.667,2.667,0.257,0.591,16.95,0.5,0.083,0.167,0.25
887,0.615,2.154,1.5,40.308,9.308,2.615,0.268,0.579,17.215,0.462,0.077,0.154,0.231
900,0.714,2.143,1.1,40.857,9.714,2.857,0.278,0.466,17.257,0.429,0.071,0.143,0.286
915,0.733,2.0,0.7,40.267,9.667,2.8,0.274,0.435,17.12,0.467,0.067,0.133,0.333
926,0.688,2.062,1.4,39.938,9.562,2.812,0.28,0.447,17.0,0.438,0.062,0.125,0.312
932,0.706,2.0,1.4,39.294,9.706,2.941,0.288,0.45,16.912,0.412,0.059,0.118,0.294
942,0.722,1.889,2.4,39.167,9.778,2.833,0.277,0.425,17.211,0.389,0.056,0.111,0.278
951,0.789,1.789,1.9,39.158,10.053,2.947,0.28,0.456,17.321,0.474,0.053,0.105,0.263
968,0.8,1.75,0.4,40.05,10.55,3.05,0.279,0.466,17.35,0.45,0.05,0.1,0.25
972,0.81,1.667,0.7,39.571,10.333,3.0,0.281,0.492,17.424,0.429,0.048,0.095,0.238
986,0.773,1.682,0.9,40.045,10.318,2.909,0.273,0.484,17.314,0.409,0.045,0.091,0.227
995,0.783,1.652,0.4,39.478,10.043,2.826,0.272,0.5,17.2,0.391,0.043,0.087,0.217
1009,0.75,1.75,0.8,39.958,9.958,2.833,0.276,0.487,17.271,0.375,0.042,0.083,0.208
1014,0.8,1.76,1.5,40.64,9.96,2.88,0.281,0.468,17.316,0.36,0.04,0.08,0.24
1024,0.808,1.808,0.4,40.808,9.885,2.923,0.29,0.469,17.235,0.346,0.038,0.115,0.269
1032,0.815,1.815,1.3,40.741,9.704,2.926,0.301,0.464,17.278,0.333,0.037,0.111,0.296
1043,0.821,1.786,0.8,40.321,9.964,3.071,0.305,0.447,17.257,0.321,0.036,0.107,0.286
1048,0.828,1.793,0.2,40.276,10.069,3.0,0.297,0.455,17.231,0.31,0.034,0.103,0.276
1065,0.8,1.8,0.7,40.167,9.933,2.967,0.298,0.451,17.39,0.3,0.033,0.1,0.267
1071,0.774,1.806,0.9,39.903,9.806,2.871,0.289,0.459,17.345,0.29,0.032,0.097,0.258
1078,0.812,1.844,2.4,39.281,9.844,2.938,0.294,0.457,17.347,0.281,0.031,0.094,0.25
1087,0.879,1.818,0.7,38.879,9.848,2.939,0.294,0.47,17.379,0.273,0.061,0.152,0.242
1107,0.882,1.824,1.8,38.676,9.706,2.941,0.303,0.478,17.356,0.265,0.059,0.147,0.235
1111,0.971,1.857,1.3,38.6,9.657,2.943,0.305,0.471,17.317,0.257,0.086,0.171,0.257
1124,1.0,1.861,0.6,38.222,9.694,2.917,0.302,0.477,17.147,0.25,0.083,0.167,0.25
1140,1.0,1.811,0.5,37.703,9.595,2.892,0.303,0.491,17.049,0.243,0.081,0.162,0.243
1142,1.0,1.789,1.2,37.605,9.526,2.921,0.31,0.495,17.047,0.237,0.079,0.158,0.237
1151,1.0,1.795,1.4,37.205,9.436,2.897,0.31,0.501,17.054,0.231,0.077,0.154,0.231
1165,1.025,1.775,1.2,37.525,9.6,2.925,0.309,0.505,17.018,0.225,0.075,0.15,0.225
1175,1.049,1.805,0.8,37.439,9.585,2.951,0.312,0.508,16.961,0.22,0.073,0.146,0.244
1189,1.048,1.762,0.7,37.143,9.524,2.952,0.315,0.52,17.01,0.214,0.071,0.143,0.238
1190,1.047,1.744,1.0,37.349,9.628,2.977,0.314,0.523,17.051,0.209,0.07,0.14,0.233
1208,1.023,1.75,0.5,37.477,9.636,2.977,0.314,0.523,17.068,0.227,0.068,0.136,0.227
1216,1.022,1.733,1.0,37.556,9.556,2.933,0.311,0.526,17.031,0.222,0.067,0.133,0.222
1225,1.0,1.696,2.9,37.783,9.696,2.978,0.311,0.536,17.061,0.217,0.065,0.13,0.217
1237,1.021,1.702,0.4,38.191,9.894,3.085,0.313,0.535,16.934,0.213,0.064,0.128,0.213
1248,1.0,1.729,0.4,37.979,9.875,3.042,0.309,0.537,16.906,0.208,0.062,0.125,0.208
1257,1.02,1.694,1.7,37.755,9.776,3.041,0.315,0.547,16.992,0.204,0.061,0.122,0.204
1263,1.04,1.72,1.9,37.92,9.78,3.08,0.318,0.546,16.964,0.2,0.06,0.12,0.2
1274,1.059,1.745,0.7,38.098,9.922,3.098,0.317,0.54,16.92,0.196,0.078,0.137,0.216
1284,1.038,1.731,0.3,38.538,9.981,3.077,0.314,0.539,16.904,0.192,0.077,0.135,0.212
1293,1.019,1.792,1.3,38.509,9.868,3.038,0.313,0.532,16.874,0.189,0.075,0.132,0.208
1301,1.019,1.778,1.3,38.389,9.833,3.019,0.311,0.536,16.796,0.185,0.074,0.13,0.204
1315,1.0,1.782,1.0,38.309,9.927,2.982,0.307,0.539,16.784,0.182,0.073,0.127,0.2
