ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
782,0.0,2.0,1.0,39.0,5.0,0.0,0.0,0.778,16.0,0.0,0.0,0.0,0.0
806,0.5,1.5,0.7,45.0,9.5,2.5,0.179,0.826,17.65,0.5,0.0,0.0,0.0
837,0.333,3.0,1.1,38.667,9.0,2.0,0.161,0.662,17.9,0.667,0.0,0.0,0.0
851,0.25,3.25,1.5,41.25,9.25,2.25,0.196,0.604,17.35,0.5,0.0,0.0,0.0
858,0.2,2.8,0.1,41.4,9.2,2.0,0.179,0.483,17.86,0.6,0.0,0.2,0.2
885,0.167,2.333,0.4,39.5,8.167,1.667,0.149,0.569,16.8,0.5,0.0,0.167,0.167
915,0.143,2.714,0.7,38.286,7.714,1.714,0.185,0.551,17.314,0.429,0.0,0.143,0.143
932,0.125,2.75,1.4,37.875,7.75,1.875,0.209,0.561,17.05,0.375,0.0,0.125,0.125
951,0.222,2.444,1.9,37.778,8.111,1.778,0.195,0.498,17.633,0.333,0.0,0.111,0.111
972,0.3,2.3,0.7,39.7,9.3,2.1,0.201,0.515,17.66,0.3,0.0,0.1,0.1
995,0.273,2.273,0.4,40.636,9.364,2.0,0.192,0.499,17.418,0.273,0.0,0.091,0.091
1014,0.25,2.417,1.5,41.5,9.25,2.083,0.207,0.474,17.542,0.25,0.0,0.083,0.083
1043,0.308,2.462,0.8,41.769,9.154,2.231,0.23,0.476,17.362,0.231,0.0,0.154,0.154
1048,0.357,2.429,0.2,41.571,9.429,2.143,0.219,0.489,17.3,0.214,0.0,0.143,0.143
1071,0.333,2.4,0.9,41.267,9.2,2.133,0.226,0.479,17.613,0.2,0.0,0.133,0.133
1087,0.438,2.438,0.7,39.938,9.312,2.312,0.241,0.474,17.6,0.188,0.0,0.125,0.125
1111,0.471,2.412,1.3,39.471,9.059,2.353,0.262,0.49,17.541,0.176,0.0,0.118,0.118
1140,0.556,2.389,0.5,38.667,9.167,2.333,0.257,0.5,17.189,0.167,0.0,0.111,0.111
1165,1.0,2.0,1.2,22.0,6.0,2.0,0.333,0.714,17.3,0.0,0.0,0.0,0.0
1175,1.5,2.5,0.8,28.0,7.5,3.0,0.389,0.67,16.0,0.0,0.0,0.0,0.5
1190,1.333,1.667,1.0,27.0,7.333,3.0,0.402,0.78,17.0,0.0,0.0,0.0,0.333
1216,1.0,1.75,1.0,31.0,8.0,3.0,0.377,0.71,17.2,0.25,0.0,0.0,0.25
1237,0.8,1.4,0.4,34.4,9.6,3.4,0.364,0.768,17.44,0.2,0.0,0.0,0.2
1257,0.667,1.667,1.7,33.333,9.5,3.0,0.322,0.744,17.133,0.167,0.0,0.0,0.167
1284,0.857,1.857,0.3,35.143,9.571,3.286,0.347,0.709,16.914,0.143,0.0,0.0,0.143
1293,0.75,2.25,1.3,35.375,8.875,3.0,0.335,0.641,16.712,0.125,0.0,0.0,0.125
1319,0.778,2.111,3.5,35.0,8.778,2.889,0.326,0.653,16.267,0.111,0.0,0.0,0.111
1345,1.0,2.0,1.2,35.3,9.4,3.2,0.333,0.668,16.22,0.1,0.0,0.0,0.2
1365,1.091,2.091,0.5,36.818,9.636,3.182,0.325,0.644,16.609,0.091,0.0,0.0,0.182
1393,1.083,2.0,2.6,38.333,9.5,3.417,0.361,0.59,16.883,0.083,0.0,0.0,0.167
1416,1.154,2.154,0.7,38.615,9.538,3.385,0.356,0.57,16.846,0.077,0.0,0.0,0.154
1421,1.071,2.071,2.0,38.5,9.5,3.429,0.362,0.577,17.021,0.214,0.0,0.0,0.143
1453,1.067,2.0,1.5,38.6,9.933,3.4,0.351,0.589,17.353,0.333,0.0,0.0,0.133
1467,1.062,2.062,0.9,38.5,10.125,3.562,0.358,0.588,17.7,0.375,0.0,0.0,0.125
1491,1.0,2.059,1.4,39.706,10.0,3.529,0.359,0.582,17.465,0.353,0.0,0.0,0.118
1516,1.111,2.0,1.7,40.056,10.278,3.556,0.354,0.592,17.45,0.333,0.0,0.0,0.167
1553,1.0,0.0,0.4,36.0,23.0,8.0,0.348,1.0,17.2,0.0,0.0,0.0,0.0
1569,1.0,0.0,1.4,34.0,14.0,5.5,0.474,1.0,17.9,0.0,0.0,0.0,0.0
1588,1.333,0.667,0.9,32.667,10.333,4.333,0.538,0.778,17.733,0.0,0.333,0.333,0.0
1601,1.25,0.75,1.7,33.25,11.75,5.5,0.544,0.802,18.35,0.5,0.25,0.25,0.0
1634,1.6,0.8,0.3,33.6,13.4,5.4,0.485,0.642,19.0,0.6,0.2,0.2,0.0
1654,1.333,1.167,1.0,33.667,12.333,4.5,0.404,0.618,18.55,0.667,0.167,0.167,0.0
