ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
972,0.3,2.3,0.7,39.7,9.3,2.1,17.66,0.3,0.0,0.1
995,0.3,2.3,0.4,40.8,9.8,2.2,17.56,0.3,0.0,0.1
1014,0.2,2.6,1.5,40.8,9.2,2.0,17.52,0.2,0.0,0.1
1043,0.3,2.3,0.8,42.7,9.2,2.3,17.2,0.1,0.0,0.2
1048,0.4,2.1,0.2,41.7,9.5,2.1,17.28,0.1,0.0,0.2
1071,0.4,2.2,0.9,41.2,9.2,2.2,17.49,0.0,0.0,0.1
1087,0.6,2.5,0.7,40.2,10.0,2.7,18.08,0.0,0.0,0.1
1111,0.7,2.2,1.3,40.3,10.0,2.8,17.7,0.0,0.0,0.1
1140,0.9,2.1,0.5,39.3,10.3,2.7,17.3,0.0,0.0,0.1
1142,0.9,2.2,1.2,39.0,9.9,3.0,16.77,0.0,0.0,0.1
1165,0.9,2.3,1.2,35.5,8.5,2.7,16.71,0.0,0.0,0.1
1175,1.1,2.4,0.8,33.9,8.4,3.0,16.68,0.0,0.0,0.1
1190,1.2,2.0,1.0,31.3,8.3,3.0,16.69,0.0,0.0,0.1
1216,1.1,1.9,1.0,31.1,8.5,2.9,16.95,0.1,0.0,0.0
1237,1.0,1.7,0.4,32.0,8.8,3.3,17.14,0.1,0.0,0.0
1257,1.0,1.8,1.7,31.1,9.1,3.2,16.5,0.1,0.0,0.0
1284,1.0,1.8,0.3,33.7,9.0,3.2,16.32,0.1,0.0,0.0
1293,0.9,2.1,1.3,34.2,8.9,3.0,16.19,0.1,0.0,0.0
1319,0.8,2.0,3.5,34.9,8.6,3.0,16.34,0.1,0.0,0.0
1345,1.0,2.0,1.2,35.3,9.4,3.2,16.22,0.1,0.0,0.0
1365,1.1,2.1,0.5,38.3,10.0,3.3,16.54,0.1,0.0,0.0
1393,1.0,1.9,2.6,40.4,9.9,3.5,17.06,0.1,0.0,0.0
1416,1.1,2.3,0.7,42.1,10.2,3.5,16.8,0.1,0.0,0.0
1421,1.1,2.2,2.0,41.5,10.1,3.6,16.95,0.2,0.0,0.0
1453,1.2,2.3,1.5,40.7,10.1,3.4,17.31,0.4,0.0,0.0
1467,1.3,2.3,0.9,41.6,10.5,3.9,18.04,0.5,0.0,0.0
1491,1.1,2.2,1.4,42.9,10.3,3.7,17.85,0.5,0.0,0.0
1516,1.4,1.8,1.7,43.8,11.4,4.0,18.04,0.5,0.0,0.0
1536,1.5,1.8,2.2,43.4,11.8,4.4,18.49,0.5,0.0,0.0
1553,1.3,1.7,0.4,43.2,12.6,4.6,18.63,0.5,0.0,0.0
1569,1.2,1.4,1.4,41.2,11.9,4.6,18.44,0.5,0.0,0.0
1588,1.3,1.5,0.9,38.7,11.4,4.2,18.19,0.5,0.1,0.1
1601,1.2,1.2,1.7,38.0,12.0,4.8,18.57,0.7,0.1,0.1
1634,1.5,1.2,0.3,37.8,13.1,4.9,18.8,0.6,0.1,0.1
1654,1.4,1.4,1.0,37.2,12.2,4.6,18.23,0.5,0.1,0.1
1664,1.3,1.4,0.8,36.9,12.1,4.3,17.6,0.4,0.1,0.1
1681,1.6,1.4,0.9,33.9,12.4,4.3,17.86,0.4,0.1,0.1
1704,1.5,1.3,1.5,32.9,11.9,4.5,17.88,0.4,0.1,0.1
1719,1.5,1.2,2.1,33.7,11.8,4.6,17.9,0.4,0.1,0.1
1740,1.7,1.2,1.0,34.1,10.6,4.1,17.8,0.5,0.1,0.1
1767,1.6,1.7,0.4,35.9,11.9,4.2,17.74,0.7,0.1,0.1
1780,1.5,1.7,1.7,37.4,12.4,4.2,17.78,0.7,0.0,0.0
1803,1.7,2.0,1.5,38.2,12.5,3.8,17.46,0.5,0.0,0.0
1824,1.8,2.1,1.5,39.2,11.6,3.9,17.12,0.4,0.0,0.0
1850,1.9,2.0,0.5,40.6,12.8,4.2,17.39,0.3,0.0,0.0
1870,2.1,1.8,0.7,40.3,12.0,4.2,17.87,0.3,0.0,0.0
1884,1.9,1.7,1.9,42.4,12.1,4.3,18.16,0.4,0.0,0.0
