ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
858,0.7,2.3,0.1,43.8,10.3,2.5,17.6,0.6,0.1,0.2
867,0.7,2.1,1.9,42.9,10.1,2.5,17.15,0.6,0.1,0.2
885,0.7,2.1,0.4,41.1,9.8,2.6,17.33,0.5,0.1,0.2
887,0.6,2.5,1.5,39.1,8.9,2.3,17.44,0.4,0.1,0.2
900,0.8,2.5,1.1,38.4,8.7,2.8,17.22,0.3,0.1,0.2
915,0.9,1.9,0.7,39.0,8.8,2.9,16.9,0.3,0.1,0.2
926,0.7,1.9,1.4,37.3,8.6,3.0,16.67,0.3,0.0,0.1
932,0.6,1.7,1.4,36.1,8.7,3.2,16.58,0.2,0.0,0.1
942,0.7,1.3,2.4,34.9,8.8,3.0,17.24,0.2,0.0,0.1
951,0.8,1.2,1.9,34.8,9.7,3.2,17.3,0.4,0.0,0.1
968,0.9,1.2,0.4,36.3,10.8,3.6,17.1,0.3,0.0,0.0
972,1.0,1.2,0.7,36.3,11.1,3.8,17.84,0.3,0.0,0.0
986,0.9,1.4,0.9,38.8,11.1,3.2,17.75,0.3,0.0,0.0
995,1.0,1.0,0.4,38.4,11.0,3.1,17.18,0.3,0.0,0.0
1009,0.8,1.2,0.8,38.7,10.3,2.8,17.29,0.3,0.0,0.0
1014,0.9,1.4,1.5,41.2,10.4,3.0,17.61,0.2,0.0,0.0
1024,1.0,1.4,0.4,42.2,10.4,3.1,17.61,0.2,0.0,0.1
1032,1.0,1.5,1.3,43.2,9.7,2.9,17.9,0.2,0.0,0.1
1043,1.0,1.6,0.8,42.4,10.3,3.5,17.34,0.2,0.0,0.1
1048,0.9,1.8,0.2,42.4,10.1,3.1,17.06,0.0,0.0,0.1
1065,0.8,1.9,0.7,40.4,8.7,2.8,17.47,0.0,0.0,0.1
1071,0.7,2.1,0.9,40.6,8.7,2.6,17.18,0.0,0.0,0.1
1078,0.9,2.2,2.4,37.6,8.8,3.0,17.42,0.0,0.0,0.1
1087,1.1,2.2,0.7,37.5,9.4,3.2,17.79,0.0,0.1,0.3
1107,1.2,2.0,1.8,35.6,9.1,3.2,17.56,0.0,0.1,0.3
1111,1.4,2.1,1.3,33.5,8.9,3.1,17.32,0.0,0.2,0.4
1124,1.5,2.0,0.6,31.5,9.2,2.9,16.92,0.0,0.2,0.3
1140,1.5,1.8,0.5,29.5,9.3,2.8,16.43,0.0,0.2,0.3
1142,1.5,1.8,1.2,30.0,8.3,2.5,16.46,0.0,0.2,0.3
1151,1.5,1.8,1.4,28.3,7.6,2.6,16.54,0.0,0.2,0.3
1165,1.7,1.7,1.2,29.6,8.6,2.8,15.9,0.0,0.2,0.3
1175,1.9,1.8,0.8,29.8,8.9,3.2,15.77,0.0,0.2,0.3
1189,1.8,1.5,0.7,30.3,8.5,3.0,15.93,0.0,0.2,0.3
1190,1.6,1.5,1.0,32.3,8.9,3.1,15.97,0.0,0.1,0.1
1208,1.5,1.5,0.5,33.4,9.4,3.1,16.09,0.1,0.1,0.1
1216,1.2,1.3,1.0,33.9,9.2,2.9,16.03,0.1,0.0,0.0
1225,1.0,1.1,2.9,36.2,9.7,3.2,16.75,0.1,0.0,0.0
1237,1.1,1.3,0.4,40.0,11.0,3.8,16.51,0.1,0.0,0.0
1248,1.0,1.5,0.4,39.4,11.2,3.5,16.37,0.1,0.0,0.0
1257,1.1,1.3,1.7,39.9,11.1,3.6,16.75,0.1,0.0,0.0
1263,1.1,1.5,1.9,39.5,10.5,3.7,16.75,0.1,0.0,0.0
1274,1.1,1.5,0.7,40.8,11.3,3.7,16.75,0.1,0.1,0.1
1284,1.0,1.6,0.3,44.4,11.9,3.6,16.46,0.1,0.1,0.1
1293,0.9,2.0,1.3,43.5,10.9,3.3,16.11,0.1,0.1,0.1
1301,1.0,1.9,1.3,42.4,10.7,3.2,15.6,0.0,0.1,0.1
1315,0.9,2.0,1.0,41.7,11.6,3.2,15.67,0.0,0.1,0.1
1319,1.1,2.3,3.5,40.3,11.1,3.1,15.28,0.0,0.1,0.1
1334,1.2,2.2,0.7,38.4,10.7,2.9,15.75,0.0,0.1,0.1
1345,1.4,2.0,1.2,40.0,10.6,3.0,16.02,0.0,0.1,0.1
1349,1.4,2.3,0.5,42.5,11.3,3.0,15.96,0.0,0.1,0.1
