ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
968,1.3,1.2,0.4,40.4,11.8,4.0,0.357,0.417,17.04,0.6,0.1,0.1,0.4
986,1.3,1.2,0.9,39.1,11.1,3.6,0.344,0.417,17.52,0.5,0.1,0.1,0.3
1009,1.4,1.1,0.8,36.3,9.8,3.6,0.363,0.44,16.99,0.4,0.1,0.1,0.2
1024,1.4,1.0,0.4,36.8,9.8,3.8,0.383,0.44,17.08,0.4,0.0,0.0,0.3
1032,1.3,0.9,1.3,36.6,9.2,3.8,0.416,0.417,17.28,0.3,0.0,0.0,0.4
1065,1.3,0.9,0.7,35.5,10.3,4.2,0.407,0.367,17.08,0.3,0.0,0.0,0.4
1078,1.2,1.1,2.4,36.2,9.9,3.5,0.337,0.338,17.09,0.3,0.0,0.0,0.4
1107,1.3,1.0,1.8,34.0,9.4,3.2,0.327,0.524,17.15,0.3,0.1,0.2,0.3
1124,1.6,1.3,0.6,34.4,9.3,3.3,0.342,0.549,17.23,0.2,0.2,0.3,0.3
1151,1.6,1.2,1.4,33.4,8.7,3.0,0.334,0.599,17.03,0.2,0.2,0.3,0.3
1189,1.6,1.3,0.7,34.5,8.8,2.9,0.325,0.565,16.66,0.0,0.2,0.3,0.3
1208,1.6,1.4,0.5,36.1,9.6,3.1,0.321,0.532,16.65,0.0,0.2,0.3,0.3
1225,1.6,1.4,2.9,37.5,9.8,3.1,0.312,0.515,16.72,0.0,0.2,0.3,0.3
1248,1.6,1.4,0.4,37.5,10.7,3.5,0.314,0.565,15.99,0.0,0.2,0.3,0.2
1263,1.7,1.2,1.9,36.3,10.7,3.5,0.314,0.632,16.26,0.0,0.2,0.3,0.1
1274,1.8,1.4,0.7,38.1,10.7,3.2,0.297,0.657,16.06,0.0,0.3,0.4,0.2
1301,1.8,1.3,1.3,41.0,11.4,3.4,0.312,0.636,16.07,0.0,0.3,0.4,0.2
1315,1.5,1.4,1.0,41.8,11.9,3.2,0.289,0.617,15.84,0.0,0.2,0.2,0.2
1334,1.3,1.4,0.7,41.6,12.2,3.3,0.288,0.642,15.69,0.0,0.1,0.1,0.1
1349,1.4,1.5,0.5,44.1,12.4,3.3,0.279,0.622,16.17,0.0,0.1,0.1,0.1
1375,1.3,1.6,1.5,41.8,11.7,3.2,0.288,0.588,16.48,0.0,0.1,0.1,0.1
1384,1.4,1.8,2.8,41.1,11.6,3.1,0.282,0.562,16.78,0.0,0.1,0.1,0.1
1402,1.5,1.7,1.0,41.9,12.9,3.8,0.308,0.595,16.89,0.0,0.1,0.1,0.1
1425,1.3,1.6,0.9,39.3,11.8,3.2,0.29,0.545,17.71,0.0,0.1,0.1,0.1
1434,1.2,1.7,1.5,42.5,12.5,3.4,0.272,0.512,17.65,0.0,0.1,0.1,0.1
1455,1.3,1.5,1.9,41.2,12.4,3.4,0.274,0.553,18.03,0.0,0.0,0.0,0.0
1486,1.5,1.6,1.9,39.7,12.9,4.1,0.308,0.537,18.12,0.0,0.0,0.0,0.0
1505,1.5,1.6,1.5,39.7,12.8,4.2,0.316,0.53,18.01,0.1,0.0,0.0,0.0
1525,1.5,1.6,1.3,39.6,13.7,4.2,0.299,0.52,18.28,0.1,0.0,0.0,0.0
1545,1.4,1.6,1.0,40.5,14.3,4.8,0.332,0.515,18.37,0.1,0.0,0.0,0.0
1573,1.4,1.5,0.8,43.0,15.0,5.0,0.33,0.532,17.96,0.2,0.0,0.0,0.0
1600,1.2,1.3,1.7,43.2,14.8,4.8,0.316,0.492,17.71,0.2,0.0,0.0,0.1
1614,1.1,1.3,2.2,43.4,14.9,4.6,0.303,0.492,17.86,0.2,0.0,0.0,0.1
1627,1.4,1.2,0.6,45.7,16.0,5.0,0.31,0.592,17.8,0.3,0.0,0.0,0.1
1645,1.4,1.4,1.6,44.2,15.7,4.8,0.302,0.575,17.39,0.3,0.0,0.0,0.1
1674,1.2,1.3,1.7,45.3,15.2,4.8,0.313,0.608,17.23,0.4,0.1,0.1,0.1
1692,1.2,1.2,1.1,45.7,15.1,4.5,0.298,0.625,17.05,0.4,0.1,0.1,0.1
1723,1.3,1.0,0.3,45.3,14.7,4.6,0.314,0.665,17.1,0.3,0.1,0.1,0.1
1735,1.2,0.8,1.8,45.0,13.3,4.5,0.344,0.708,18.06,0.4,0.1,0.1,0.1
1750,1.4,0.9,3.3,44.2,13.3,4.1,0.315,0.667,17.74,0.5,0.1,0.1,0.1
1786,2.0,0.8,0.4,42.8,13.0,4.4,0.346,0.717,17.62,0.4,0.2,0.2,0.1
1792,2.0,0.7,0.7,42.3,12.5,4.5,0.37,0.817,17.38,0.4,0.2,0.2,0.0
1812,2.0,0.7,0.5,40.3,11.4,4.3,0.384,0.817,17.06,0.4,0.2,0.2,0.0
1831,1.8,0.7,0.5,38.1,10.3,3.9,0.378,0.817,16.98,0.3,0.2,0.2,0.0
1860,1.7,0.5,0.9,38.0,10.4,4.1,0.395,0.847,17.48,0.3,0.2,0.2,0.0
1879,1.6,0.7,1.3,39.0,10.7,4.2,0.394,0.78,17.33,0.2,0.1,0.1,0.0
1892,1.6,0.8,1.2,39.5,10.5,4.0,0.385,0.797,17.52,0.3,0.1,0.1,0.0
