ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
104,0.4,1.6,0.2,40.4,9.2,2.7,18.2,0.0,0.2,0.3
113,0.455,1.636,0.3,39.545,8.727,2.545,17.9,0.0,0.182,0.273
127,0.417,1.75,1.5,39.0,8.25,2.333,17.342,0.0,0.167,0.25
132,0.538,1.846,0.5,39.077,8.538,2.615,17.223,0.077,0.154,0.231
143,0.571,1.786,1.4,38.214,8.286,2.643,17.85,0.143,0.143,0.214
151,0.533,1.733,0.7,38.6,8.4,2.533,17.5,0.133,0.133,0.2
159,0.5,1.688,0.4,40.125,8.312,2.5,17.444,0.125,0.125,0.188
165,0.471,1.706,2.1,41.059,8.235,2.471,17.559,0.118,0.118,0.176
176,0.5,1.611,0.9,42.389,8.667,2.5,17.528,0.111,0.167,0.222
194,0.526,1.684,1.0,42.421,9.0,2.632,17.716,0.105,0.158,0.211
198,0.6,1.65,0.2,41.55,8.8,2.65,17.5,0.1,0.15,0.2
207,0.571,1.619,1.3,40.762,8.571,2.571,17.771,0.095,0.143,0.19
224,0.636,1.591,0.6,42.0,8.818,2.727,17.727,0.136,0.136,0.182
234,0.652,1.609,0.7,41.565,8.783,2.739,17.861,0.13,0.13,0.174
242,0.625,1.667,0.9,42.083,8.75,2.833,17.758,0.125,0.125,0.167
257,0.6,1.64,0.7,41.84,8.56,2.8,17.44,0.12,0.12,0.16
261,0.577,1.654,0.9,41.769,8.538,2.769,17.438,0.115,0.115,0.154
267,0.593,1.593,0.7,41.259,8.556,2.741,17.667,0.111,0.111,0.148
283,0.571,1.607,0.1,41.607,8.536,2.714,17.632,0.107,0.107,0.143
292,0.552,1.724,1.1,41.172,8.276,2.621,17.376,0.103,0.103,0.138
308,0.567,1.733,0.3,41.333,8.3,2.567,17.523,0.1,0.1,0.133
313,0.548,1.774,0.5,41.452,8.258,2.548,17.603,0.097,0.097,0.129
324,0.531,1.75,0.7,41.781,8.25,2.531,17.706,0.094,0.094,0.125
335,0.545,1.697,0.5,41.485,8.212,2.545,17.709,0.091,0.091,0.121
340,0.529,1.765,0.7,41.265,8.206,2.5,17.724,0.088,0.088,0.118
360,0.514,1.771,1.2,41.514,8.171,2.429,17.6,0.114,0.086,0.114
367,0.528,1.722,0.9,41.417,8.222,2.444,17.625,0.111,0.083,0.111
376,0.514,1.703,0.5,41.622,8.297,2.405,17.643,0.135,0.081,0.108
1144,0.526,1.658,0.5,41.658,8.395,2.421,17.637,0.132,0.079,0.105
1151,0.513,1.641,0.5,41.41,8.385,2.385,17.682,0.128,0.077,0.103
1167,0.525,1.65,0.7,41.625,8.35,2.4,17.71,0.125,0.075,0.1
1171,0.537,1.659,1.2,41.122,8.293,2.366,17.671,0.122,0.073,0.098
1185,0.571,1.667,0.7,41.238,8.405,2.476,17.586,0.119,0.071,0.095
1199,0.581,1.674,0.9,40.977,8.372,2.535,17.586,0.116,0.07,0.093
1204,0.568,1.818,1.1,41.0,8.386,2.5,17.498,0.114,0.068,0.091
1214,0.556,1.822,0.6,41.156,8.556,2.489,17.458,0.111,0.067,0.089
1228,0.565,1.848,1.4,41.13,8.478,2.478,17.439,0.109,0.065,0.087
1234,0.574,1.851,0.0,41.064,8.532,2.532,17.617,0.106,0.085,0.106
1244,0.562,1.917,1.0,40.896,8.396,2.479,18.081,0.104,0.083,0.104
1256,0.592,1.898,1.1,40.857,8.429,2.449,18.276,0.122,0.102,0.122
1262,0.6,1.88,0.8,40.82,8.44,2.42,18.296,0.12,0.1,0.12
1272,0.608,1.902,0.4,40.922,8.471,2.412,18.229,0.118,0.098,0.118
1286,0.596,1.962,1.0,40.846,8.423,2.423,18.242,0.115,0.096,0.115
1295,0.585,1.962,0.8,40.547,8.377,2.396,18.174,0.132,0.094,0.113
1302,0.593,1.926,0.4,40.556,8.389,2.426,18.239,0.13,0.093,0.111
1311,0.582,1.927,0.6,40.218,8.345,2.4,18.265,0.145,0.091,0.109
1320,0.589,1.911,2.4,39.911,8.286,2.393,18.291,0.143,0.089,0.107
1330,0.614,1.93,0.3,40.105,8.509,2.421,18.256,0.158,0.088,0.105
1346,0.603,1.931,2.5,39.759,8.431,2.414,18.198,0.155,0.086,0.103
1352,0.627,1.932,0.8,40.051,8.627,2.458,18.203,0.169,0.102,0.119
1363,0.65,1.95,1.4,40.167,8.633,2.5,18.175,0.167,0.1,0.117
1370,0.639,2.0,1.7,40.115,8.656,2.525,18.041,0.164,0.098,0.115
1386,0.677,1.984,0.6,39.887,8.613,2.516,18.111,0.161,0.113,0.129
1397,0.667,2.032,0.6,39.587,8.571,2.492,18.121,0.159,0.111,0.127
1408,0.656,2.016,0.2,39.547,8.625,2.516,18.092,0.156,0.109,0.125
1410,0.646,2.077,1.2,39.246,8.554,2.477,18.149,0.154,0.108,0.123
1429,0.667,2.076,1.9,39.121,8.621,2.576,18.091,0.152,0.106,0.121
1442,0.701,2.09,0.6,38.94,8.612,2.597,18.055,0.149,0.104,0.119
1452,0.706,2.103,1.4,38.632,8.559,2.603,17.99,0.162,0.103,0.118
1457,0.725,2.101,0.8,38.536,8.594,2.638,17.949,0.159,0.101,0.116
1464,0.714,2.1,2.4,38.657,8.586,2.629,17.909,0.157,0.1,0.114
1474,0.718,2.127,0.8,38.803,8.718,2.746,17.866,0.155,0.099,0.113
1481,0.736,2.153,1.5,38.667,8.736,2.764,17.865,0.167,0.097,0.111
1491,0.74,2.192,2.2,38.685,8.822,2.781,17.805,0.164,0.096,0.11
1503,0.743,2.203,0.6,38.892,8.919,2.797,17.809,0.162,0.108,0.122
1511,0.733,2.187,1.0,38.933,8.973,2.773,17.852,0.16,0.107,0.12
